run_or_group,family,run_type,steady_state_status,admission_status,continuation_decision,priority,rationale,source
salt2_jin,salt2,nominal_mainline,hydraulic_stationary_heat_drifting,current_mainline_nominal_evidence,do_not_continue_for_hydraulic_closure; thermal refresh optional,low_optional,"Mdot and temperature series are steady, but total_Q is drifting; hydraulic closure can use current admitted row, thermal closure should carry caveat or refresh latest-window contract.",AGENT-244 steady_state_summary + July 8 presentation contract
salt3_jin,salt3,nominal_mainline,hydraulic_stationary_heat_drifting,current_mainline_nominal_evidence,do_not_continue_for_hydraulic_closure; thermal refresh optional,low_optional,"Mdot and temperature series are steady, but total_Q is drifting; hydraulic closure can use current admitted row, thermal closure should carry caveat or refresh latest-window contract.",AGENT-244 steady_state_summary + July 8 presentation contract
salt4_jin,salt4,nominal_mainline,all_representative_series_steady,current_mainline_nominal_evidence,do_not_continue_now,none,Salt mainline nominal row; AGENT-244 last-window series all steady.,AGENT-244 steady_state_summary + July 8 presentation contract
salt1_jin_nominal_continuation_corrected / job 3282992,salt1,nominal_live_continuation,steady in current AGENT-244 window but still running,pending_terminal_gate,continue_running_to_exit_then_gate,highest_for_low_Re_endpoint,Still RUNNING at 2026-07-09T17:46:28-05:00 and advancing to about Time=5040.975s; no terminal admission yet.,AGENT-242 memo + live squeue/sacct/log check
water1,water1,water_validation,mixed_with_drifting_series,validation_context_not_current_salt_closure_fit,continue_only_if_water_validation_is_needed,optional,Water validation context only.,AGENT-244 steady_state_summary
water2,water2,water_validation,mixed_with_drifting_series,validation_context_not_current_salt_closure_fit,continue_only_if_water_validation_is_needed,optional,Water validation context only.,AGENT-244 steady_state_summary
water3,water3,water_validation,mixed_with_drifting_series,validation_context_not_current_salt_closure_fit,continue_only_if_water_validation_is_needed,optional,Water validation context only.,AGENT-244 steady_state_summary
water4,water4,water_validation,steady_with_quasi_series,validation_context_not_current_salt_closure_fit,continue_only_if_water_validation_is_needed,optional,Water row is not the current Salt closure anchor; last-window mdot is quasi-steady for all Water rows and heat drifts for Water1-3.,AGENT-244 steady_state_summary
salt2_jin_lo10q_corrected,salt2,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,continue_first_wave,first_wave,"Clean full terminal window, correct mdot direction, no special-scrutiny flag, highest-leverage low-Q Salt2 row. Continue this selected row with a target long enough to satisfy the operating-point gate; rerun formal gate before any fit.",AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt2_jin_hi10q_corrected,salt2,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,continue_first_wave,first_wave,"Clean full terminal window, correct mdot direction, no special-scrutiny flag, paired high-Q row for minimal two-sided Salt2 bracket. Continue this selected row with a target long enough to satisfy the operating-point gate; rerun formal gate before any fit.",AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
