case_label,fluid,category,last_window_start_s,last_window_end_s,timeseries_status,mdot_verdict,heat_verdict,steady_series_count,quasi_series_count,drifting_series_count,admission_overlay,recommended_action,note,source_case_slug
salt1_jin_hi10q_corrected,salt1,corrected_q_perturbation,3756.33,4010.59,mixed_with_drifting_series,quasi-steady (bounded drift/oscillation),not steady (drifting),7,1,1,not_admitted_too_short,investigate_before_resubmit,Repair/verify diagnostic-only convergence monitor and Salt1 reference policy before rerun or rebuild; then formal gate.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt1_jin_lo10q_corrected,salt1,corrected_q_perturbation,6077,6377,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,hold_policy_then_continue,Resolve Salt1 reference/admission policy before spending allocation; then continue only if still useful.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt2_jin_hi10q_corrected,salt2,corrected_q_perturbation,9374,9674,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,continue_first_wave,Continue this selected row with a target long enough to satisfy the operating-point gate; rerun formal gate before any fit.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_hi10q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_jin_hi5q_corrected,salt2,corrected_q_perturbation,9480,9780,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,defer_midpoint,Do not resubmit in wave 1; revisit only if midpoint support is needed.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_hi5q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_jin_lo10q_corrected,salt2,corrected_q_perturbation,9991,10291,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,continue_first_wave,Continue this selected row with a target long enough to satisfy the operating-point gate; rerun formal gate before any fit.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_lo10q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_jin_lo5q_corrected,salt2,corrected_q_perturbation,9975,10275,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,defer_midpoint,Do not resubmit in wave 1; revisit only if midpoint support is needed.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_lo5q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt3_jin_hi10q_corrected,salt3,corrected_q_perturbation,7618,7637,mdot_drifting_not_steady,not steady (drifting),not steady (drifting),6,1,2,not_admitted_too_short,investigate_before_resubmit,Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_hi10q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt3_jin_hi5q_corrected,salt3,corrected_q_perturbation,7618,7639,mdot_drifting_not_steady,not steady (drifting),not steady (drifting),7,0,2,not_admitted_too_short,investigate_before_resubmit,Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_hi5q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt3_jin_lo10q_corrected,salt3,corrected_q_perturbation,9128,9428,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,defer_asymmetric_support,Defer until Salt3 high-Q side is repaired or an asymmetric-support plan is explicitly approved.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_lo10q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt3_jin_lo5q_corrected,salt3,corrected_q_perturbation,9089,9389,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,defer_asymmetric_support,Defer behind Salt2 wave and any Salt4 bracket; do not use alone for balanced response fitting.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_lo5q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
