phase,candidate_id,case_id,split_role,heater_lambda,cooler_candidate_id,coupled_run_status,elapsed_s,root_status,qhx_total_W,qambient_total_W,mdot_error_pct,tp_rmse_K,tw_rmse_K,all_probe_rmse_K,coupled_gate,source_path
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,completed,79.15827829,accepted,60.37929252,242.3153435,-3.003481449,17.17899494,59.4281335,50.20229259,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p05_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.05,HX_LUMPED_UA_NTU,completed,80.16182986,accepted,60.38078542,242.3138435,-3.196548096,17.16808538,59.44845953,50.21766903,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p10_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.1,HX_LUMPED_UA_NTU,completed,79.30547194,accepted,60.38227476,242.3123469,-3.390021441,17.15714561,59.46895699,50.23318346,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p15_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.15,HX_LUMPED_UA_NTU,completed,79.62336472,accepted,60.38376042,242.310854,-3.583906859,17.1461754,59.48962757,50.24883725,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p20_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.2,HX_LUMPED_UA_NTU,completed,79.54789686,accepted,60.38524248,242.3093649,-3.778202557,17.13517453,59.51047314,50.26463193,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p25_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.25,HX_LUMPED_UA_NTU,completed,79.12604271,accepted,60.38672068,242.3078794,-3.972915702,17.12414298,59.53149534,50.28056885,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p30_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.3,HX_LUMPED_UA_NTU,completed,79.58193859,accepted,60.38819503,242.3063974,-4.168046295,17.11308055,59.55269604,50.29664955,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p35_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.35,HX_LUMPED_UA_NTU,completed,79.34029534,accepted,60.38966553,242.3049193,-4.363596126,17.10198691,59.57407714,50.31287554,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p40_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.4,HX_LUMPED_UA_NTU,completed,78.73690288,accepted,60.39113211,242.3034454,-4.559570571,17.09086184,59.59564048,50.32924833,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p45_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.45,HX_LUMPED_UA_NTU,completed,78.70409448,accepted,60.39259462,242.3019752,-4.75596963,17.07970538,59.61738792,50.34576946,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
