phase,candidate_id,case_id,split_role,heater_lambda,cooler_candidate_id,sensor,kind,predicted_K,target_K,error_K,abs_error_K,prediction_source_segment,prediction_source_fraction,validation_excluded,source_path
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,TP1,TP,429.5575886,453.26,-23.70241136,23.70241136,top_horizontal_exit,1,no,Fluid build_validation_table with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,TP2,TP,nan,446.63,,,,nan,no,Fluid build_validation_table with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,TP3,TP,438.7369622,446.67,-7.933037808,7.933037808,left_lower_vertical,0,no,Fluid build_validation_table with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,TP4,TP,438.2691626,449.74,-11.47083737,11.47083737,left_lower_vertical,1,no,Fluid build_validation_table with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,TP5,TP,439.2058829,451.64,-12.43411711,12.43411711,test_section,1,no,Fluid build_validation_table with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,TP6,TP,432.9573283,456.72,-23.76267167,23.76267167,left_upper_vertical,1,no,Fluid build_validation_table with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,TW1,TW,428.5015812,443.86,-15.35841875,15.35841875,right_vertical,0.25,no,Fluid build_validation_table with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,TW10,TW,574.660281,389.74,184.920281,184.920281,cooled_incline_hx_active,0.5,no,Fluid build_validation_table with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,TW11,TW,429.0509761,448.41,-19.35902388,19.35902388,cooled_incline_post_hx,0.25,no,Fluid build_validation_table with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,TW2,TW,428.1324444,445.08,-16.94755561,16.94755561,right_vertical,0.5,no,Fluid build_validation_table with AGENT-511 heater source redistribution scenario
