case_id,qoi_label,unit,abs_medium_fine_delta,max_abs_temporal_uncertainty,mesh_delta_to_temporal_uq_ratio,temporal_uq_status,interpretation,use_status
salt_2,Q_wall_W,W,0.0056492925,0.0010252426,5.51020070762,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_2,mdot_exchange_positive_outward_proxy_kg_s,kg/s,7.30889889396e-06,6.157475194e-07,11.869960761,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_2,tau_recirc_proxy_s,s,364.68869363,6.38606992,57.1069058433,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_2,wall_core_bulk_temperature_contrast_K,K,0.0345222762626,0.000209096863,165.101837337,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_3,Q_wall_W,W,0.1254945494,0.0010252426,122.404735621,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_3,mdot_exchange_positive_outward_proxy_kg_s,kg/s,1.09957172697e-05,6.157475194e-07,17.8575096501,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_3,tau_recirc_proxy_s,s,174.217007575,6.38606992,27.2807861106,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_3,wall_core_bulk_temperature_contrast_K,K,0.0377355993409,0.000209096863,180.469466636,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_4,Q_wall_W,W,0.0957847624,0.0010252426,93.4264362406,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_4,mdot_exchange_positive_outward_proxy_kg_s,kg/s,1.72354045957e-05,6.157475194e-07,27.9910256277,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_4,tau_recirc_proxy_s,s,135.458800427,6.38606992,21.2116062185,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
salt_4,wall_core_bulk_temperature_contrast_K,K,0.0417994272722,0.000209096863,199.904612018,executed,mesh_delta_exceeds_temporal_uq,diagnostic_uncertainty_comparison_not_gci
