artifact,rows,fit_or_admission_candidate_rows,has_all_required_label_columns,present_label_columns,status_columns_present,inventory_reason
work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/cfd_boundary_condition_contract_no_radiation.csv,24,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/correction_proposal.csv,5,0,no,,fit_status,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/input_readiness_matrix.csv,19,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/candidate_parameters.csv,6,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_contract_interpretation.csv,3,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv,3,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/recommended_model.csv,2,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,18,12,no,provenance_author_title,fit_use_status,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv,18,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/separated_heat_loss_ledger.csv,207,0,no,provenance_author_title,fit_use_status,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv,33,12,no,provenance_author_title,fit_use_status,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv,90,60,no,property_mode,fit_use_status,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,3,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_input_contract.csv,15,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/blockers.csv,7,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/readiness_lanes.csv,11,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/residual_attribution_precursor.csv,6,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/source_manifest.csv,17,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/split_scorecard_precursor.csv,6,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/boundary_mode_scorecard.csv,24,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/hx_validation_guardrail_scorecard.csv,6,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/implementation_decision_table.csv,4,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_litrev_gate_reference_audit.csv,5,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/comparison_metric_contract.csv,8,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/fast_scan_reference/forward_v0_litrev_gate_reference_audit.csv,5,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_litrev_gate_reference_audit.csv,5,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_h1_proxy_rerun/h1_proxy_k_source.csv,33,12,no,,fit_use_status,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_heat_loss_path/control_volume_effective_thermal_table.csv,15,0,no,,fit_use_status,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_heat_loss_path/fit_parameter_summary.csv,6,0,no,,fit_status,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_heat_loss_path/uncertainty_readiness.csv,7,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/case_candidate_rows.csv,3,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/fit_protocol_status.csv,3,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/fitting_equations.csv,5,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_baseline_predictive_airside.csv,6,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_duty_scores.csv,24,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_fit_parameters.csv,8,3,no,,fit_status,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_litrev_gate_reference_audit.csv,5,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_model_forms.csv,3,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_primary_forward_scores.csv,6,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_validation_splits.csv,4,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/model_form_inventory.csv,4,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/required_runtime_inputs.csv,19,0,no,,,scorecard_or_status_csv
work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/validation_split_requirements.csv,5,0,no,,,scorecard_or_status_csv
