source_id,path,exists,role
source_property_labels,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv,yes,label_contract_input
source_property_coverage,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv,yes,coverage_gate_input
litrev_gate_contract,work_products/2026-07/2026-07-17/2026-07-17_litrev_gate_carryforward_ledger/target_package_gate_contract.csv,yes,gate_contract_input
final_predictive_scorecard_shell,work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell,yes,scorecard_reference_directory
scanned_scorecard_001,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/cfd_boundary_condition_contract_no_radiation.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_002,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/correction_proposal.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_003,work_products/2026-07/2026-07-13/2026-07-13_forward_predictive_model_research_plan/input_readiness_matrix.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_004,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/candidate_parameters.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_005,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_contract_interpretation.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_006,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_007,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/recommended_model.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_008,work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_009,work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_010,work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/separated_heat_loss_ledger.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_011,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_012,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_013,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_014,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_input_contract.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_015,work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/blockers.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_016,work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/readiness_lanes.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_017,work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/residual_attribution_precursor.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_018,work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/source_manifest.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_019,work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/split_scorecard_precursor.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_020,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/boundary_mode_scorecard.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_021,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/hx_validation_guardrail_scorecard.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_022,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/implementation_decision_table.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_023,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_litrev_gate_reference_audit.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_024,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/comparison_metric_contract.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_025,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/fast_scan_reference/forward_v0_litrev_gate_reference_audit.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_026,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/solve_case_full/forward_v0_litrev_gate_reference_audit.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_027,work_products/2026-07/2026-07-13/2026-07-13_predictive_h1_proxy_rerun/h1_proxy_k_source.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_028,work_products/2026-07/2026-07-13/2026-07-13_predictive_heat_loss_path/control_volume_effective_thermal_table.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_029,work_products/2026-07/2026-07-13/2026-07-13_predictive_heat_loss_path/fit_parameter_summary.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_030,work_products/2026-07/2026-07-13/2026-07-13_predictive_heat_loss_path/uncertainty_readiness.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_031,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/case_candidate_rows.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_032,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/fit_protocol_status.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_033,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/fitting_equations.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_034,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_baseline_predictive_airside.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_035,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_duty_scores.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_036,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_fit_parameters.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_037,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_litrev_gate_reference_audit.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_038,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_model_forms.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_039,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_primary_forward_scores.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_040,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_validation_splits.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_041,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/model_form_inventory.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_042,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/required_runtime_inputs.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_043,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/validation_split_requirements.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_044,work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/violations.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_045,work_products/2026-07/2026-07-13/2026-07-13_predictive_hydraulic_correction_candidates/candidate_rankings.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_046,work_products/2026-07/2026-07-13/2026-07-13_predictive_hydraulic_correction_candidates/diagnostic_momentum_corrected_rows.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_047,work_products/2026-07/2026-07-13/2026-07-13_predictive_hydraulic_correction_candidates/fit_safe_raw_pressure_rows.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_048,work_products/2026-07/2026-07-13/2026-07-13_predictive_hydraulic_correction_candidates/mdot_resistance_scaling.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_049,work_products/2026-07/2026-07-13/2026-07-13_predictive_hydraulic_gate/forward_v0_hydraulic_residuals.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_050,work_products/2026-07/2026-07-13/2026-07-13_predictive_hydraulic_gate/hydraulic_fit_safety_gate.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_051,work_products/2026-07/2026-07-13/2026-07-13_predictive_hydraulic_gate/hydraulic_gate_decisions.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_052,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_053,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/mode_contract.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_054,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/runtime_input_contract.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_055,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/validation_target_contract.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_056,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/violations.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_057,work_products/2026-07/2026-07-13/2026-07-13_predictive_parallel_execution_coordination/forward_v1_decision_table.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_058,work_products/2026-07/2026-07-13/2026-07-13_predictive_parallel_progress_and_next_plan/decision_gate_table.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_059,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/native_cfd_probe_family_contract.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_060,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/runtime_target_policy.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_061,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_blockers.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_062,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_063,work_products/2026-07/2026-07-13/2026-07-13_predictive_validation_split/admission_split_table.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_064,work_products/2026-07/2026-07-13/2026-07-13_predictive_validation_split/response_variable_contract.csv,yes,read_only_scanned_scorecard_or_gate_csv
scanned_scorecard_065,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,yes,read_only_scanned_scorecard_or_gate_csv
