enrichment_area,target_chapter_file,insertion_status,primary_evidence,claim_boundary,review_note
Motivation and contribution,reports/thesis_dossier/Chapters_and_sections/current/15_ch1_csem_motivation_and_contribution.md,inserted,"14_csem_narrative_integration_plan.md; 08_thesis_claim_ledger.md; current CSEM draft packet","CFD-to-1D closure/admission workflow is the contribution; CFD is not experimental validation","Use as opening contribution logic"
CFD evidence database,reports/thesis_dossier/Chapters_and_sections/current/16_ch3_csem_cfd_evidence_database.md,inserted,"3D Salt paper sections/tables; 10_uncertainty_chapter_package.md; claim ledger","CFD artifacts define reference targets, model-form needs, and diagnostic reductions, not unrestricted closure admissions","Keep evidence rights visible"
fluid+walls model form,reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md,inserted,"02_model_form_fluid_walls.md; 09_fluid_walls_segment_atlas.md; LitRev model_form_candidates.csv","Segment slots expose pressure/thermal/wall/source/recirculation state; slot existence is not coefficient admission","Use with F01/F02 diagrams"
Runtime leakage and split discipline,reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md,inserted,"03_split_policy_and_evidence_classes.md; first-key runtime audit; final scorecard shell","Runtime legality and split role travel with every closure-like row","Make this a methods contribution"
Thermal boundary and heat-loss accounting,reports/thesis_dossier/Chapters_and_sections/current/19_ch7_csem_pressure_thermal_predictive_results.md,inserted,"heat-loss Phase 1/2 packages; wall/test-section negative result; junction-aware ledgers","Heat paths remain separated before fitting; diagnostic wallHeatFlux is not runtime input","Thermal result is residual ownership plus blocked closure"
Pressure closure and negative results,reports/thesis_dossier/Chapters_and_sections/current/19_ch7_csem_pressure_thermal_predictive_results.md,inserted,"pressure-corner publication freeze; same-QOI synthesis; pressure extraction findings","Current corner/F6 rows remain diagnostic/section-effective, not component K or global multiplier","Negative pressure result is thesis-positive"
Recirculation-aware model validity,reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md,inserted,"upcomer exchange evidence preflight; upcomer onset/hybrid packages; thermal maps","Current upcomer rows block ordinary one-stream Nu/f_D/K but inform hybrid model variables","Keep as validity boundary"
Uncertainty and admission ledger,reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md,inserted,"10_uncertainty_chapter_package.md; .agent/BLOCKERS.md; source/property packages","Uncertainty qualifies or blocks claims; it never promotes blocked coefficients by itself","Connect blockers to rows"
Results chapter structure,reports/thesis_dossier/Chapters_and_sections/current/19_ch7_csem_pressure_thermal_predictive_results.md,inserted,"predictive first-key studies wave; heat-loss Phase 2; pressure synthesis; final scorecard shell","Report S0-S3 and negative results now; final M6 score remains absent","Do not wait for final model to write findings"
SAM/CSEM relevance,reports/thesis_dossier/Chapters_and_sections/current/20_ch8_csem_sam_limitations_conclusions.md,inserted,"11_sam_facing_interpretation.md; claim ledger; Ch6/Ch7 current sections","Transfer closure/admission metadata to systems-code construction; no SAM validation","Use in conclusions and future work"
