method_id,method_name,inputs,calculation,outputs,validation_checks,current_blocker_or_caveat
M1,Native field inventory,"case_id,time_window,path,p,p_rgh,wallHeatFlux,cellProcAddressing,faceProcAddressing,boundary","Read native OpenFOAM collated fields without mutation; record file existence size native-output flag and time-window alignment",source_field_audit.csv,"exists true, mutated false, exact time present","Only read-only parsing is allowed"
M2,Geometry mask application,"seeded CV cells, exchange-interface faces, trusted-wall faces, polyMesh addressing","Map global seed masks through processor addressing and restrict all reductions to those predeclared cells/faces","cell/face counts, coverage fractions","selected counts equal seeded contract counts where required","No replacement by visual/probe/endpoint proxies"
M3,Pressure reduction,"p,p_rgh,seeded CV cells, interface faces, trusted wall owner cells, volumes, areas","Compute volume-weighted seeded-CV averages and area-weighted interface/core/trusted-wall averages for p and p_rgh","pressure_reduction_summary.csv","pressure_basis_released true for Salt2-4 current coarse target windows","Component-loss interpretation still blocked by straight/developing reference and same-QOI UQ"
M4,Trusted-wall Qwall integration,"wallHeatFlux,trusted-wall faces, face areas, patch labels","Sum native outward wallHeatFlux over trusted-wall faces then define Q_wall_W = -native integral so positive adds heat to seeded fluid","trusted_wall_Q_wall_summary.csv","full face coverage, zero missing faces, small NCC patch-label mismatch below tolerance","Q_wall_W is diagnostic/extraction output, not predictive runtime heat-loss input"
M5,Interface sampled-field reduction,"U,T,rho,exchange-interface faces,outward area vectors","Record face-level seed/core U/T/rho; compute area averages and outward mdot proxy from rho U dot A","sampled_interface_fields.csv and sampled_field_summary.csv","face count and area match mask; finite values; nonharvest status retained","Limited extraction is not production harvest"
M6,Wall/core/bulk temperature contrast,"trusted wall T, interface core T, seeded CV volume-average T","Compute area/volume averages and contrasts: wall-core, core-seed, wall-bulk","sampled_field_summary.csv","finite Salt2-4 target rows","Validation TP/TW temperatures remain runtime-forbidden"
M7,Property/source basis audit,"case_config property mode labels, source-property ledgers, source/sink contracts","Check whether cp, viscosity, k, and source-envelope labels are row-specific and release-ready","source_basis_audit.csv, source_property_release_gate.csv, nominal_train_release_audit.csv","labels present but release_ready false where source envelope/cp basis blocked","cp_J_kg_K and row-level source/property basis need follow-on preflight"
M8,Thermal heat-path accounting,"thermal ledgers, heat-loss contracts, source/sink setup values","Assign each heat effect to heater, internal Nu, wall conduction, insulation/quartz, external convection, radiation, cooler/jacket, storage, or residual lane","thermal_accounting_traceability_ledger.csv","runtime forbidden inputs listed explicitly","Residual lane must not be hidden in internal Nu"
M9,Same-QOI uncertainty gate,"target-minus,target,target-plus rows by exact QOI label","Require same-label neighboring windows before temporal UQ; require same-label mesh family before GCI; only then allow production harvest review","same_qoi_uq_matrix.csv, production_readiness_gate.csv","current target rows present but neighbor rows absent","Production harvest and admission stay closed"
M10,Split/admission permission join,"case split policy, source-property release flags, protected-row audit","Join scientific reductions to partition labels and allowed/forbidden fit/model-selection flags","release/audit tables and thesis claim boundary rows","fit_allowed and model_selection_allowed false where release blocked","No protected scoring or freeze without trigger-gated candidate release"
