lane,extracted_quantity,source_field_or_artifact,source_path_example,reduction_or_definition,units,current_status,allowed_use,forbidden_use,guardrail
case_provenance,case_id_and_time_window,case package metadata and terminal-window contracts,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_exact_pressure_qwall_compute/source_field_audit.csv,Case label plus exact OpenFOAM time directory or retained time window used for all same-window reductions,case/time,released_for_provenance,join reductions to exact source/time and split role,claim a value without source path/time,Every table must preserve source path and time-window provenance
geometry_masks,seeded_cv_cells_interface_faces_trusted_wall_faces,seeded surface/input masks and polyMesh addressing,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/seeded_surface_input_manifest.csv,Use seed package to define recirculation CV cells exchange-interface faces trusted-wall faces and wall/core relation before field reduction,counts/ids,diagnostic_and_preflight_basis,define exact sampling domain and face/cell coverage,replace exact masks with visual or endpoint proxies,Geometry is fixed before field sampling
pressure,p_and_p_rgh_target_window,p p_rgh native collated fields plus cellProcAddressing,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_exact_pressure_qwall_compute/pressure_reduction_summary.csv,Volume average p/p_rgh over seeded CV and area averages on interface/core/trusted-wall owner basis,Pa,released_exact_target_window,pressure-basis evidence and later same-QOI UQ input,component K or F6 admission without same-basis subtraction and UQ,Keep p and p_rgh bases explicit
wall_heat_flux,Q_wall_W_and_native_wallHeatFlux_integral,wallHeatFlux native collated field on trusted wall faces,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_exact_pressure_qwall_compute/trusted_wall_Q_wall_summary.csv,Integrate wallHeatFlux over trusted wall faces; retain native outward sign and define Q_wall_W as positive into seeded fluid,W,released_exact_target_window,diagnostic heat-path evidence and later same-QOI UQ input,predictive runtime heat-loss input or source-side relabel without contract,Do not hide heat residual in internal Nu
sampled_interface_fields,U_T_rho_on_exchange_interface,U T rho native sampled fields,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_interface_fields.csv,Area-associated face samples over seeded/core sides and outward area-vector proxy for mdot_exchange,SI field units,limited_nonharvest_diagnostic,diagnose exchange direction magnitude and thermal contrast,production harvest or coefficient fit before sampler/UQ gates,Field samples are diagnostic until production and UQ gates pass
wall_core_temperature,T_wall_T_core_T_seeded_cv,T native sampled wall/core/CV values,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv,Trusted-wall area-average T interface core area-average T and seeded-CV volume-average T; report wall-core and core-bulk contrasts,K,limited_nonharvest_diagnostic,mechanism evidence for wall/core exchange and sensor projection,runtime validation-temperature input,TP/TW validation targets are score-only not runtime inputs
exchange_proxy,mdot_exchange_positive_outward_proxy,U rho and outward area-vector proxy,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv,Sum positive outward rho U dot A proxy over exchange interface,kg/s,target_window_proxy_ready,diagnostic recirculation/exchange evidence,ordinary upcomer mdot or admitted exchange coefficient before UQ,Gated separately from main-loop mdot
residence_proxy,tau_recirc_proxy,seeded CV volume and exchange proxy,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_same_qoi_neighbor_uq_execution/target_qoi_evidence.csv,Seeded recirculation volume divided by positive outward volumetric exchange proxy,s,target_window_proxy_ready,diagnostic residence-time scale,admitted storage or exchange coefficient without UQ,Proxy requires same-QOI uncertainty before production use
properties,cp_viscosity_k_property_mode,case_config/source-property policy labels,work_products/2026-07/2026-07-22/2026-07-22_source_property_nominal_train_release_preflight/nominal_train_release_audit.csv,Carry property mode labels such as Jin viscosity Parida cp Santini k and evaluate property formulas only when row-level source/property gate permits,mixed,labels_present_release_blocked,source/property provenance and future preflight,no broad source/property release or protected scoring,cp_J_kg_K remains a named release blocker
thermal_accounting,heat_path_lanes_and_runtime_inputs,thermal traceability ledger and setup source/sink tables,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/thermal_accounting_traceability_ledger.csv,Separate heater internal Nu wall conduction contact/layer insulation/quartz external convection radiation jacket/cooler storage and residual owners,mixed,contract_ready_no_candidate_release,thesis heat-loss accounting and candidate design,absorbing missing heat into internal Nu or runtime residual,Residual is its own lane
uncertainty,same_qoi_neighbor_uq_readiness,neighbor-window inventory and same-QOI matrix,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_same_qoi_neighbor_uq_execution/same_qoi_uq_matrix.csv,Require target-minus target and target-plus same-label windows before temporal UQ; mesh/GCI follows only after same-label evidence,mixed,fail_closed_currently,block or release production harvest,move to mesh/GCI or production with target-only values,UQ gates precede production harvest and admission
admission_split,fit_model_selection_release_flags,split/source/admission packets and source-property ledgers,work_products/2026-07/2026-07-22/2026-07-22_source_property_nominal_train_release_preflight/nominal_train_release_audit.csv,Track final partition source-property release readiness fit permission model-selection permission and protected-row release flags,flags,release_blocked,prevent runtime leakage and protected-row misuse,fitting tuning or scoring from diagnostic/protected rows,Use split status as metadata on every candidate row
