case_id,span,orientation,heating_cooling_signs,source_rows,fit_target_rows,mean_Re,mean_Pr,mean_Gz,min_Gz,max_Gz,mean_Ri,mean_Ra,x_from_reset_m,L_over_D_from_reset,hydraulic_entrance_L_over_D_0p05Re,thermal_entrance_L_over_D_0p05RePr,thermal_development_indicated_by_L_over_D,hydraulic_reset_status,thermal_reset_status,branch_lane_status,single_stream_allowed_rows,same_qoi_uq_blocked_rows,recirculation_blocked_rows,hydraulic_reset_variant_status,thermal_graetz_variant_status,blocking_reasons,quality_flags,mf07_gate
salt_2,lower_leg,mostly_horizontal,heating,5,5,55.491081799999996,38.1825606,122.566942,88.751519,174.35612,6.6302501,709642.416,0.35684162,16.352882,2.77455409,105.93957967940287,True,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,precheck_only_no_admission,5,5,0,diagnostic_reset_basis_available_no_coupled_closure,thermally_developing_diagnostic_only_missing_reset_or_same_qoi_uq,coarse_no_gci;same_QOI_UQ_missing,clean_celsius_basis_comparison;coarse_no_gci;historical_constant_cp_k_sensitivity;replication_plus_measured_k_candidate;source_supported_sensitivity_k_screening;thermal_deltaT_from_segment_when_available;updated_candidate_sensitivity,diagnostic_only
salt_2,right_leg,mostly_vertical_downcomer,cooling,5,5,61.0384682,34.3636098,118.6533534,86.936788,167.87702,1.9912334,233111.152,0.36576,16.766477,3.05192341,104.87510520072541,True,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,precheck_only_no_admission,5,5,0,diagnostic_reset_basis_available_no_coupled_closure,thermally_developing_diagnostic_only_missing_reset_or_same_qoi_uq,coarse_no_gci;same_QOI_UQ_missing,clean_celsius_basis_comparison;coarse_no_gci;historical_constant_cp_k_sensitivity;replication_plus_measured_k_candidate;source_supported_sensitivity_k_screening;thermal_deltaT_from_segment_when_available;updated_candidate_sensitivity,diagnostic_only
salt_2,left_lower_leg,mostly_horizontal,heating_expected,5,0,62.506691399999994,35.1774956,372.884776,272.49338,528.20914,0.39393219,49448.0712,0.12192,5.5888256,3.1253345699999997,109.94144308470288,True,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_for_single_stream_developing,0,5,5,blocked_single_stream_recirculation_invalid,blocked_single_stream_recirculation_invalid,coarse_no_gci;recirculation_invalid_single_stream;same_QOI_UQ_missing;source_envelope_not_fit,clean_celsius_basis_comparison;coarse_no_gci;historical_constant_cp_k_sensitivity;recirculation_invalid_single_f;replication_plus_measured_k_candidate;source_supported_sensitivity_k_screening;thermal_deltaT_default_1K_no_segment_match;updated_candidate_sensitivity,forbidden_as_single_stream_fit
salt_2,test_section_span,mostly_horizontal,heating_expected,5,5,60.5200426,35.1774956,425.720284,311.10404,603.05317,0.3586137,42198.8084,0.098072727,4.7396206,3.02600213,106.44717661366563,True,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,precheck_only_no_admission,5,5,0,diagnostic_reset_basis_available_no_coupled_closure,thermally_developing_diagnostic_only_missing_reset_or_same_qoi_uq,coarse_no_gci;same_QOI_UQ_missing,clean_celsius_basis_comparison;coarse_no_gci;historical_constant_cp_k_sensitivity;replication_plus_measured_k_candidate;source_supported_sensitivity_k_screening;thermal_deltaT_default_1K_no_segment_match;updated_candidate_sensitivity,diagnostic_only
salt_2,left_upper_leg,mostly_horizontal,cooling_expected,5,0,58.859501200000004,35.1774956,299.177634,218.63034,423.79945,0.44426422,49448.0712,0.14309042,6.5592798,2.94297506,103.52649222405974,True,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_for_single_stream_developing,0,5,5,blocked_single_stream_recirculation_invalid,blocked_single_stream_recirculation_invalid,coarse_no_gci;recirculation_invalid_single_stream;same_QOI_UQ_missing;source_envelope_not_fit,clean_celsius_basis_comparison;coarse_no_gci;historical_constant_cp_k_sensitivity;recirculation_invalid_single_f;replication_plus_measured_k_candidate;source_supported_sensitivity_k_screening;thermal_deltaT_default_1K_no_segment_match;updated_candidate_sensitivity,forbidden_as_single_stream_fit
salt_2,upper_leg,mostly_horizontal,cooling,5,5,57.1359734,36.3180162,120.1532416,87.491159,170.48177,1.4517552,156969.258,0.35687444,16.354078,2.85679867,103.75326037719846,True,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,precheck_only_no_admission,5,5,0,diagnostic_reset_basis_available_no_coupled_closure,thermally_developing_diagnostic_only_missing_reset_or_same_qoi_uq,coarse_no_gci;same_QOI_UQ_missing,clean_celsius_basis_comparison;coarse_no_gci;historical_constant_cp_k_sensitivity;replication_plus_measured_k_candidate;source_supported_sensitivity_k_screening;thermal_deltaT_from_segment_when_available;updated_candidate_sensitivity,diagnostic_only
salt_3,lower_leg,mostly_horizontal,heating,5,5,74.561798,31.5573266,136.919926,101.29112,192.88462,5.2979542,854489.03,0.35684162,16.352882,3.7280899,117.64855056846135,True,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,precheck_only_no_admission,5,5,0,diagnostic_reset_basis_available_no_coupled_closure,thermally_developing_diagnostic_only_missing_reset_or_same_qoi_uq,coarse_no_gci;same_QOI_UQ_missing,clean_celsius_basis_comparison;coarse_no_gci;historical_constant_cp_k_sensitivity;replication_plus_measured_k_candidate;source_supported_sensitivity_k_screening;thermal_deltaT_from_segment_when_available;updated_candidate_sensitivity,diagnostic_only
salt_3,right_leg,mostly_vertical_downcomer,cooling,5,5,84.9407164,28.369797600000002,137.497132,102.96319,192.66401,1.6049722,304621.486,0.36576,16.766477,4.24703582,120.48754661335003,True,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,precheck_only_no_admission,5,5,0,diagnostic_reset_basis_available_no_coupled_closure,thermally_developing_diagnostic_only_missing_reset_or_same_qoi_uq,coarse_no_gci;same_QOI_UQ_missing,clean_celsius_basis_comparison;coarse_no_gci;historical_constant_cp_k_sensitivity;replication_plus_measured_k_candidate;source_supported_sensitivity_k_screening;thermal_deltaT_from_segment_when_available;updated_candidate_sensitivity,diagnostic_only
salt_3,left_lower_leg,mostly_horizontal,heating_expected,5,0,72.3644938,35.1774956,431.691672,315.46775,611.51193,0.29391614,49448.0712,0.12192,5.5888256,3.6182246900000004,127.28008311228638,True,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_for_single_stream_developing,0,5,5,blocked_single_stream_recirculation_invalid,blocked_single_stream_recirculation_invalid,coarse_no_gci;recirculation_invalid_single_stream;same_QOI_UQ_missing;source_envelope_not_fit,clean_celsius_basis_comparison;coarse_no_gci;historical_constant_cp_k_sensitivity;recirculation_invalid_single_f;replication_plus_measured_k_candidate;source_supported_sensitivity_k_screening;thermal_deltaT_default_1K_no_segment_match;updated_candidate_sensitivity,forbidden_as_single_stream_fit
salt_3,test_section_span,mostly_horizontal,heating_expected,5,5,68.7087878,35.1774956,483.32293599999997,353.19838,684.65009,0.27822795,42198.8084,0.098072727,4.7396206,3.43543939,120.85015402579168,True,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,precheck_only_no_admission,5,5,0,diagnostic_reset_basis_available_no_coupled_closure,thermally_developing_diagnostic_only_missing_reset_or_same_qoi_uq,coarse_no_gci;same_QOI_UQ_missing,clean_celsius_basis_comparison;coarse_no_gci;historical_constant_cp_k_sensitivity;replication_plus_measured_k_candidate;source_supported_sensitivity_k_screening;thermal_deltaT_default_1K_no_segment_match;updated_candidate_sensitivity,diagnostic_only
