case_id,span,allowed_rows,recirc_blocked_rows,uq_blocked_rows,median_Re,median_Pr,median_Ri,median_Ra,median_Gz,x_from_reset_m,L_over_D_from_reset,laminar_hydraulic_entrance_L_over_D_0p05Re,thermal_entrance_L_over_D_0p05RePr,thermal_reset_status,hydraulic_reset_status,segment_classification,mf07_gate
salt_2,left_lower_leg,0,5,15,68.7837,23.5293,0.393932,43853.2,289.584,0.12192,5.5888256,3.43918,80.9216,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_2,left_upper_leg,0,5,15,64.7702,23.5293,0.444264,43853.2,232.342,0.14309042,6.5592798,3.23851,76.1999,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_2,lower_leg,0,0,15,61.1542,25.3565,6.63025,628742,94.8247,0.35684162,16.352882,3.05771,77.5329,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_2,right_leg,0,0,15,67.1232,23.0413,1.99123,206717,92.2441,0.36576,16.766477,3.35616,77.3304,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_2,test_section_span,0,0,15,66.5975,23.5293,0.358614,37424.2,330.616,0.098072727,4.7396206,3.32988,78.3497,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_2,upper_leg,0,0,15,62.9199,24.218,1.45176,139190,93.1751,0.35687444,16.354078,3.146,76.1897,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_3,left_lower_leg,0,5,15,79.6314,23.5293,0.293916,43853.2,335.253,0.12192,5.5888256,3.98157,93.6836,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_3,left_upper_leg,0,5,15,73.5132,23.5293,0.344875,43853.2,263.705,0.14309042,6.5592798,3.67566,86.4857,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_3,lower_leg,0,0,15,81.7228,21.3797,5.29795,756476,106.844,0.35684162,16.352882,4.08614,87.3603,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_3,right_leg,0,0,15,92.5335,19.5275,1.60497,268356,107.771,0.36576,16.766477,4.62668,90.3472,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_3,test_section_span,0,0,15,75.6086,23.5293,0.278228,37424.2,375.35,0.098072727,4.7396206,3.78043,88.9509,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_3,upper_leg,0,0,15,84.5917,20.3971,1.33353,194639,105.505,0.35687444,16.354078,4.22958,86.2715,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_4,left_lower_leg,0,5,15,93.7784,23.5293,0.211927,43853.2,394.813,0.12192,5.5888256,4.68892,110.327,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_4,left_upper_leg,0,5,15,84.4746,23.5293,0.26118,43853.2,303.025,0.14309042,6.5592798,4.22373,99.3814,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_4,lower_leg,0,0,15,111.852,17.7388,4.19639,931294,121.331,0.35684162,16.352882,5.5926,99.2059,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_4,right_leg,0,0,15,128.406,16.3361,1.25239,337330,125.11,0.36576,16.766477,6.42029,104.882,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_4,test_section_span,0,0,15,87.3283,23.5293,0.208561,37424.2,433.531,0.098072727,4.7396206,4.36642,102.739,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
salt_4,upper_leg,0,0,15,116.309,16.9459,1.18894,272555,120.518,0.35687444,16.354078,5.81546,98.5484,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,invalid_single_stream_due_to_recirculation,diagnostic_only_hybrid_or_guarded_path_required
