tested_model_form_id,case_id,split_group,sensor,prediction_source_segment,mapped_span,target_K,adjusted_predicted_K,signed_error_K,signed_error_percent_of_target,heating_cooling_signs,mean_Re,mean_Pr,mean_Gz,x_from_reset_m,L_over_D_from_reset,thermal_reset_status,single_stream_allowed_rows,recirculation_blocked_rows,expected_thermal_development_direction,direction_match_to_signed_residual,use_boundary
M3_as_is,salt_2,train,TP3,left_lower_vertical,left_lower_leg,447.213671156,437.100838112,-10.112833044,-2.2612978306,heating_expected,62.506691399999994,35.1774956,372.884776,0.12192,5.5888256,unknown_until_wall_material_or_heat_path_reset_mapped,0,5,positive_bulk_to_TP_offset_plausible,consistent_if_model_is_cold,diagnostic_residual_shape_only_no_fit_no_protected_scoring
M3_as_is,salt_2,train,TP4,left_lower_vertical,left_lower_leg,449.194764173,436.602714167,-12.592050006,-2.80324950563,heating_expected,62.506691399999994,35.1774956,372.884776,0.12192,5.5888256,unknown_until_wall_material_or_heat_path_reset_mapped,0,5,positive_bulk_to_TP_offset_plausible,consistent_if_model_is_cold,diagnostic_residual_shape_only_no_fit_no_protected_scoring
M3_as_is,salt_2,train,TP5,test_section,test_section_span,450.165559192,435.906479333,-14.259079859,-3.16751905334,heating_expected,60.5200426,35.1774956,425.720284,0.098072727,4.7396206,unknown_until_wall_material_or_heat_path_reset_mapped,5,0,positive_bulk_to_TP_offset_plausible,consistent_if_model_is_cold,diagnostic_residual_shape_only_no_fit_no_protected_scoring
M3_as_is,salt_2,train,TP6,left_upper_vertical,left_upper_leg,451.541286692,435.413984026,-16.127302666,-3.57161197465,cooling_expected,58.859501200000004,35.1774956,299.177634,0.14309042,6.5592798,unknown_until_wall_material_or_heat_path_reset_mapped,0,5,negative_bulk_to_TP_offset_plausible,opposes_negative_development_offset,diagnostic_residual_shape_only_no_fit_no_protected_scoring
M3_as_is,salt_2,train,TP1,top_horizontal_exit,upper_leg,450.599118072,428.233270182,-22.36584789,-4.9635800411,cooling,57.1359734,36.3180162,120.1532416,0.35687444,16.354078,unknown_until_wall_material_or_heat_path_reset_mapped,5,0,negative_bulk_to_TP_offset_plausible,opposes_negative_development_offset,diagnostic_residual_shape_only_no_fit_no_protected_scoring
D2_M3_sensor_kind_offsets_train,salt_2,train,TP3,left_lower_vertical,left_lower_leg,447.213671156,452.192260805,4.9785896491,1.11324630042,heating_expected,62.506691399999994,35.1774956,372.884776,0.12192,5.5888256,unknown_until_wall_material_or_heat_path_reset_mapped,0,5,positive_bulk_to_TP_offset_plausible,opposes_positive_development_offset,diagnostic_residual_shape_only_no_fit_no_protected_scoring
D2_M3_sensor_kind_offsets_train,salt_2,train,TP4,left_lower_vertical,left_lower_leg,449.194764173,451.69413686,2.4993726871,0.556411803174,heating_expected,62.506691399999994,35.1774956,372.884776,0.12192,5.5888256,unknown_until_wall_material_or_heat_path_reset_mapped,0,5,positive_bulk_to_TP_offset_plausible,opposes_positive_development_offset,diagnostic_residual_shape_only_no_fit_no_protected_scoring
D2_M3_sensor_kind_offsets_train,salt_2,train,TP5,test_section,test_section_span,450.165559192,450.997902026,0.8323428341,0.184897048898,heating_expected,60.5200426,35.1774956,425.720284,0.098072727,4.7396206,unknown_until_wall_material_or_heat_path_reset_mapped,5,0,positive_bulk_to_TP_offset_plausible,opposes_positive_development_offset,diagnostic_residual_shape_only_no_fit_no_protected_scoring
D2_M3_sensor_kind_offsets_train,salt_2,train,TP6,left_upper_vertical,left_upper_leg,451.541286692,450.505406719,-1.0358799729,-0.229409802255,cooling_expected,58.859501200000004,35.1774956,299.177634,0.14309042,6.5592798,unknown_until_wall_material_or_heat_path_reset_mapped,0,5,negative_bulk_to_TP_offset_plausible,opposes_negative_development_offset,diagnostic_residual_shape_only_no_fit_no_protected_scoring
D2_M3_sensor_kind_offsets_train,salt_2,train,TP1,top_horizontal_exit,upper_leg,450.599118072,443.324692875,-7.2744251969,-1.61438957715,cooling,57.1359734,36.3180162,120.1532416,0.35687444,16.354078,unknown_until_wall_material_or_heat_path_reset_mapped,5,0,negative_bulk_to_TP_offset_plausible,opposes_negative_development_offset,diagnostic_residual_shape_only_no_fit_no_protected_scoring
