branch_name,branch_type,component_spans,component_span_count,branch_total_length_m,time_sample_count,total_row_count,usable_row_count,masked_row_count,warning_fraction,thermal_warning_fraction,mean_mdot_mean_abs_kg_s,mean_bulk_positive_mass_flux_kg_s,mean_t_wall_area_avg_k,mean_bulk_temp_fluid_area_avg_k,mean_bulk_temp_area_weighted_k,mean_bulk_minus_wall_temp_k,mean_abs_bulk_minus_wall_temp_k,min_abs_bulk_minus_wall_temp_k,mean_wall_heat_per_length_w_m,mean_wall_heatflux_area_avg_w_m2,mean_effective_htc_w_m2_k,mean_effective_ua_per_m_w_m_k,mean_effective_thermal_resistance_k_m_w,mean_effective_htc_tp_endpoint_proxy_w_m2_k,mean_effective_ua_per_m_tp_endpoint_proxy_w_m_k,mean_effective_thermal_resistance_tp_endpoint_proxy_k_m_w,min_bulk_positive_mass_flux_kg_s,mean_area_ratio_to_reference,max_area_ratio_to_reference,thermal_status_breakdown_json,mean_branch_total_wall_heat_w,mean_branch_total_abs_wall_heat_w,usable_fraction,source_id,case_label
lower_leg,span_section,lower_leg,1,0.9004136306150922,5,460,345,115,0.8739130434782608,0.25,0.01369045282273076,0.013531883206813086,464.9278565764869,453.14417968869003,452.7660215791735,-11.78367688779662,13.592818397319746,0.319903381122117,264.6036014177233,3814.455109736771,234.34655905111703,16.32304958147679,0.1005750881712985,233.5251491537569,16.17731812136329,0.11591863872055276,0.0030831206323711927,1.4258824256107032,2.9195266054678455,"{""area_ratio_out_of_range"": 115, ""usable"": 345}",238.25268942636148,250.36437474956975,0.75,val_salt_test_2_coarse_mesh_laminar,Salt 2 val
right_leg,span_section,right_leg,1,0.9144000000000001,5,465,340,125,1.0,0.26881720430107525,0.013690487946108321,0.014214280656005926,448.46468549734,459.9404520578495,457.42956366118733,11.47576656050954,10.629033776406756,2.722603279309567,-24.290565536205193,-350.1420882113837,31.12603087790422,2.1585309771164916,0.4729721630448579,773.3180436823903,52.59888150518,0.06439164495330542,0.005475274416922062,1.4820533501328375,6.207896086691372,"{""area_ratio_out_of_range"": 125, ""usable"": 340}",-22.211293126306014,22.211293126306014,0.7311827956989247,val_salt_test_2_coarse_mesh_laminar,Salt 2 val
left_lower_leg,span_section,left_lower_leg,1,0.323501,5,170,160,10,1.0,0.058823529411764705,0.013690480220311085,0.01426589054281656,456.5105778896857,460.17327844018064,457.4510125963754,3.662700550494908,3.654705658661365,2.513470339974617,-25.76591554083859,-373.3548333514146,111.80750634709729,7.764647499083133,0.1461119885312405,74.33044919528086,5.148156472760467,0.21462803544074158,0.013926099741491713,1.0000000034395247,1.0000000037008279,"{""missing_wall_faces"": 10, ""usable"": 160}",-7.956422195950617,7.956422195950617,0.9411764705882353,val_salt_test_2_coarse_mesh_laminar,Salt 2 val
test_section_span,span_section,test_section_span,1,0.25127800000000006,5,135,135,0,1.0,0.0,0.01369049033279098,0.014097960792187267,456.34855974557297,459.85811941483394,457.5775260082144,3.509559669261134,3.4963630133645958,2.505136426900549,-37.74672428380323,-577.1701956695412,165.08984065987758,10.780942929361922,0.09439956157230255,753.5637611236065,48.62661893711268,0.029142811382851894,0.014000593718967,1.0080518102155136,1.1086994291205967,"{""usable"": 135}",-9.4849213845855,9.4849213845855,1.0,val_salt_test_2_coarse_mesh_laminar,Salt 2 val
left_upper_leg,span_section,left_upper_leg,1,0.37473599999999996,5,195,185,10,1.0,0.05128205128205128,0.013690480220349348,0.014119233286964517,456.3907130488081,459.44055430530517,457.3637096094803,3.0498412564968884,3.060376061145715,2.2397517026811897,-25.751745290920045,-372.9007617094764,123.64610419901696,8.510968737706175,0.11870343693562609,3179.7381718959446,219.0545371911988,0.009482622384349713,0.013689426377598226,1.000000003625496,1.0000000037008272,"{""missing_wall_faces"": 10, ""usable"": 185}",-9.269180785574822,9.269180785574822,0.9487179487179487,val_salt_test_2_coarse_mesh_laminar,Salt 2 val
upper_leg,span_section,upper_leg,1,0.9238969228247695,5,470,445,25,0.9042553191489362,0.05319148936170213,0.013690499894223796,0.013617682828445443,447.5815826891499,455.0443684159913,454.4283741383646,7.462785726842067,7.38236273401378,0.22225079753974342,-165.76753032592322,-2384.871731842062,299.6881125640456,20.96234571367323,0.06598918175219225,403.41247748798094,28.288944709468524,0.11284753524878188,0.013612039364646809,1.0104220853162138,1.0217621659261193,"{""missing_wall_faces"": 20, ""small_delta_t"": 5, ""usable"": 445}",-148.2117204894029,148.2117204894029,0.9468085106382979,val_salt_test_2_coarse_mesh_laminar,Salt 2 val
upcomer,derived_branch,"left_lower_leg, test_section_span, left_upper_leg",3,0.949515,5,500,480,20,1.0,0.04,0.013690482969926565,0.014163033925352928,456.41977767200643,459.8018242415924,457.4513637027806,3.382046569585538,3.381107257295825,2.2397517026811897,-29.03260436346211,-428.8438187048907,130.91210927546928,8.875848160952449,0.1213619745731736,1470.122076521314,100.39336973445783,0.08418771267383746,0.013689426377598226,1.002264574166948,1.1086994291205967,"{""missing_wall_faces"": 20, ""usable"": 480}",-26.71052436611094,26.71052436611094,0.96,val_salt_test_2_coarse_mesh_laminar,Salt 2 val
lower_leg,span_section,lower_leg,1,0.9004136306150922,4,368,276,92,0.8586956521739131,0.25,0.013162662028633206,0.01300880993898576,459.5591842247621,447.638094660291,447.24937900990864,-11.921089564470648,13.774597579224494,0.5802093440225349,263.1605799726402,3793.6266112690037,223.52233582763424,15.534016085838863,0.09878235338869422,231.3584366883954,16.018611550051567,0.11143704069342782,0.0030895296504586753,1.4258824256107032,2.9195266054678455,"{""area_ratio_out_of_range"": 92, ""usable"": 276}",236.953373247939,249.56694335719482,0.75,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin
right_leg,span_section,right_leg,1,0.9144000000000001,4,372,272,100,1.0,0.26881720430107525,0.013162758561186802,0.013736102521762062,443.0045392926732,454.6476663298361,451.84941707213454,11.643127037162564,10.809797254438347,2.75001133647595,-25.177706666218647,-362.92956031583344,31.75967753696583,2.2025218167744445,0.46275575771181077,1177.5556268165833,82.44685974741587,0.05889572804124935,0.005238158701040333,1.4820533501328375,6.207896086691372,"{""area_ratio_out_of_range"": 100, ""usable"": 272}",-23.022494975590384,23.022494975590384,0.7311827956989247,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin
left_lower_leg,span_section,left_lower_leg,1,0.323501,4,136,128,8,1.0,0.058823529411764705,0.013162731832169896,0.01379638730759562,450.7661031161846,454.8585928471504,451.8048414962984,4.092489730965765,4.084655641524719,2.882380628424869,-26.71548777258882,-387.11062648831404,101.91556349013581,7.07526827575043,0.15708605314730892,77.62679498427796,5.374511598240414,0.20388106535199388,0.013406383975022524,1.0000000034395247,1.0000000037008279,"{""missing_wall_faces"": 8, ""usable"": 128}",-8.249646691287523,8.249646691287523,0.9411764705882353,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin
