case_key,source_id,case_role,plane_location,span,station_label,representative_time_s,actual_plane_time_dir,actual_wall_time_dir,sampled_plane_file,sampled_wall_file,metric_status,face_count,wall_face_count,reverse_area_fraction,reverse_mass_fraction,secondary_velocity_fraction,bulk_T_K,forward_bulk_T_K,bulk_T_rule,wall_T_K,wallHeatFlux_W_m2,wallHeatFlux_available,Re,Pr,Ri,Gr,Ra,Gz,delta_T_wall_bulk_K,admission_status,quality_flags,source_paths
salt2_lo5q,viscosity_screening_salt_test_2_jin_coarse_mesh,holdout,upcomer_inlet,left_lower_leg,left_lower_leg__s00,10275,10275,10275,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_lo5q/postProcessing/upcomerMatchedPlaneSurfaces/10275/plane_upcomer_inlet.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_lo5q/postProcessing/upcomerMatchedWallBandSurfaces/10275/upcomerWallPatches.vtk,plane_and_wall_temperature_repaired_wallHeatFlux_blocked,1152,912,0.6177451405,0.5000044571,0.07456212539,453.2497773,453.2497773,forward_mass_flux_bulk_T_signed_flux_near_cancelled,446.9829827,,false,83.1101106,25.146137,70.00886497,7343.917593,179818.9436,44.3246515,-6.266794552,ready_for_f6_pressure_onset_review_not_internal_nu,wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
salt2_lo5q,viscosity_screening_salt_test_2_jin_coarse_mesh,holdout,upcomer_mid,test_section_span,test_section_span__s02,10275,10275,10275,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_lo5q/postProcessing/upcomerMatchedPlaneSurfaces/10275/plane_upcomer_mid.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_lo5q/postProcessing/upcomerMatchedWallBandSurfaces/10275/upcomerWallPatches.vtk,plane_and_wall_temperature_repaired_wallHeatFlux_blocked,1036,760,0.3692928784,0.5000060995,0.001000505845,442.9752451,442.9752451,forward_mass_flux_bulk_T_signed_flux_near_cancelled,449.3242467,,false,87.454516,24.79003436,45.11688157,7012.806,169790.3627,45.98112169,6.349001557,ready_for_f6_pressure_onset_review_not_internal_nu,wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
salt2_lo5q,viscosity_screening_salt_test_2_jin_coarse_mesh,holdout,upcomer_outlet,left_upper_leg,left_upper_leg__s04,10275,10275,10275,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_lo5q/postProcessing/upcomerMatchedPlaneSurfaces/10275/plane_upcomer_outlet.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_lo5q/postProcessing/upcomerMatchedWallBandSurfaces/10275/upcomerWallPatches.vtk,plane_and_wall_temperature_repaired_wallHeatFlux_blocked,2623,960,0.7901396438,0.5000621677,0.7514234306,452.2379399,452.2379399,forward_mass_flux_bulk_T_signed_flux_near_cancelled,449.1300789,,false,85.86111594,23.39390824,23.79729264,7352.530627,168780.8103,42.60097148,-3.107861057,ready_for_f6_pressure_onset_review_not_internal_nu,wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
salt2_hi5q,viscosity_screening_salt_test_2_jin_coarse_mesh,holdout,upcomer_inlet,left_lower_leg,left_lower_leg__s00,9780,0,0,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_hi5q/postProcessing/upcomerMatchedPlaneSurfaces/0/plane_upcomer_inlet.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_hi5q/postProcessing/upcomerMatchedWallBandSurfaces/0/upcomerWallPatches.vtk,incomplete,,912,,,,,,signed_mass_flux_bulk_T,447,,false,,,,,,,,blocked,plane_parse_failed:missing one of required fields U/rho/T;wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
salt2_hi5q,viscosity_screening_salt_test_2_jin_coarse_mesh,holdout,upcomer_mid,test_section_span,test_section_span__s02,9780,0,0,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_hi5q/postProcessing/upcomerMatchedPlaneSurfaces/0/plane_upcomer_mid.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_hi5q/postProcessing/upcomerMatchedWallBandSurfaces/0/upcomerWallPatches.vtk,incomplete,,760,,,,,,signed_mass_flux_bulk_T,447,,false,,,,,,,,blocked,plane_parse_failed:missing one of required fields U/rho/T;wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
salt2_hi5q,viscosity_screening_salt_test_2_jin_coarse_mesh,holdout,upcomer_outlet,left_upper_leg,left_upper_leg__s04,9780,0,0,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_hi5q/postProcessing/upcomerMatchedPlaneSurfaces/0/plane_upcomer_outlet.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt2_hi5q/postProcessing/upcomerMatchedWallBandSurfaces/0/upcomerWallPatches.vtk,incomplete,,960,,,,,,signed_mass_flux_bulk_T,447,,false,,,,,,,,blocked,plane_parse_failed:missing one of required fields U/rho/T;wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
salt4_lo5q,viscosity_screening_salt_test_4_jin_coarse_mesh,training,upcomer_inlet,left_lower_leg,left_lower_leg__s00,11695,0,0,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt4_lo5q/postProcessing/upcomerMatchedPlaneSurfaces/0/plane_upcomer_inlet.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt4_lo5q/postProcessing/upcomerMatchedWallBandSurfaces/0/upcomerWallPatches.vtk,incomplete,,912,,,,,,signed_mass_flux_bulk_T,475,,false,,,,,,,,blocked,plane_parse_failed:missing one of required fields U/rho/T;wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json
salt4_lo5q,viscosity_screening_salt_test_4_jin_coarse_mesh,training,upcomer_mid,test_section_span,test_section_span__s02,11695,0,0,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt4_lo5q/postProcessing/upcomerMatchedPlaneSurfaces/0/plane_upcomer_mid.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt4_lo5q/postProcessing/upcomerMatchedWallBandSurfaces/0/upcomerWallPatches.vtk,incomplete,,760,,,,,,signed_mass_flux_bulk_T,475,,false,,,,,,,,blocked,plane_parse_failed:missing one of required fields U/rho/T;wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json
salt4_lo5q,viscosity_screening_salt_test_4_jin_coarse_mesh,training,upcomer_outlet,left_upper_leg,left_upper_leg__s04,11695,0,0,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt4_lo5q/postProcessing/upcomerMatchedPlaneSurfaces/0/plane_upcomer_outlet.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt4_lo5q/postProcessing/upcomerMatchedWallBandSurfaces/0/upcomerWallPatches.vtk,incomplete,,960,,,,,,signed_mass_flux_bulk_T,475,,false,,,,,,,,blocked,plane_parse_failed:missing one of required fields U/rho/T;wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json
salt4_hi5q,viscosity_screening_salt_test_4_jin_coarse_mesh,training,upcomer_inlet,left_lower_leg,left_lower_leg__s00,11399,0,0,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt4_hi5q/postProcessing/upcomerMatchedPlaneSurfaces/0/plane_upcomer_inlet.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt4_hi5q/postProcessing/upcomerMatchedWallBandSurfaces/0/upcomerWallPatches.vtk,incomplete,,912,,,,,,signed_mass_flux_bulk_T,475,,false,,,,,,,,blocked,plane_parse_failed:missing one of required fields U/rho/T;wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json
salt4_hi5q,viscosity_screening_salt_test_4_jin_coarse_mesh,training,upcomer_mid,test_section_span,test_section_span__s02,11399,0,0,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt4_hi5q/postProcessing/upcomerMatchedPlaneSurfaces/0/plane_upcomer_mid.vtk,tmp/2026-07-14_pm5_corrected_q_matched_plane_unlock/recon/salt4_hi5q/postProcessing/upcomerMatchedWallBandSurfaces/0/upcomerWallPatches.vtk,incomplete,,760,,,,,,signed_mass_flux_bulk_T,475,,false,,,,,,,,blocked,plane_parse_failed:missing one of required fields U/rho/T;wallHeatFlux_missing_from_staged_wall_band_vtk,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json
