priority,artifact_or_packet,source_path,target_thesis_repo_area,why_send,it_must_include,blocker_or_caveat
1,Matrix and ledger reader guide,work_products/2026-07/2026-07-22/2026-07-22_thesis_matrix_ledger_study_dispatch/writer_use_protocol.md,evidence/index or evidence/writer_control_surface,Teaches external writer to use the matrix and ledger correctly,"matrix path, ledger path, crosswalk paths, no-overclaim rules",None
2,Chapter evidence completeness matrix,work_products/2026-07/2026-07-22/2026-07-22_thesis_outline_evidence_completeness_matrix/chapter_evidence_completeness_matrix.csv,evidence/writer_control_surface,Routes every outline section by ready/partial/blocked status,"section IDs, source packets, missing evidence, next tasks, writer actions",README in source packet is slightly stale; use actual CSV filename
3,Compact numerical claims ledger,work_products/2026-07/2026-07-22/2026-07-22_thesis_compact_numerical_claims_ledger/compact_numerical_claims_ledger.csv,evidence/writer_control_surface,Numerical backstop for every thesis number,"value, units, source path, split role, admission label, allowed claim, forbidden overclaim",Do not use numbers outside this ledger until added by packet update
4,Crosswalk bundle,work_products/2026-07/2026-07-22/2026-07-22_thesis_compact_numerical_claims_ledger,evidence/writer_control_surface,Allows chapter routing and source lookup,"chapter_number_targets.csv, forbidden_overclaim_matrix.csv, uncertainty_admission_labels.csv, source_number_index.csv",Keep all four together
5,Ch3 CFD provenance/QOI compact packet,work_products/2026-07/2026-07-22/2026-07-22_thesis_ch3_cfd_provenance_qoi_compact_packet,evidence/ch03_cfd_database,External writer needs compact CFD source provenance without raw outputs,"case provenance, retained windows, QoI dictionary, source path manifest, legal-use labels",No raw CFD/native output import
6,Governing equations/glossary packet,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary,evidence/governing_equations_glossary,Needed for model-form and definitions prose,"equation ledger, symbol glossary, sign conventions, model slots, runtime legality",Do not invent equations beyond packet
7,Ch7/Ch8 results negative packet,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch7_ch8_results,evidence/ch07_ch08_results_negative,Already compacted for external writer results and negative findings,"result status matrix, claim boundary ledger, figure/table targets, next-study queue",No final score or closure admission
8,Ch9 limits/SAM packet,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch9_limits_sam,evidence/ch09_limits_sam,Supports limitations and SAM/CSEM relevance,"SAM transfer ledger, limitations ledger, future-work queue, claim boundaries",No SAM validation/calibration claim
9,Figure asset selection packet,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_figure_asset_selection,evidence/figure_asset_selection,Small figure manifest for writer use,"candidate figure ledger, caption boundaries, copy/no-copy decisions",Run figure import count audit before asset copy
10,Sensor projection appendix packet,TODO-THESIS-SENSOR-PROJECTION-APPENDIX-TABLE-PACKET-2026-07-22,evidence/sensor_projection_appendix,Needed for appendix-ready TP/TW sensor/QOI table,"bounded/mapped/excluded classes, runtime-temperature bans, TW10 exclusion",Board row still open
11,Thermal residual-owner figure packet,TODO-THESIS-THERMAL-RESIDUAL-OWNER-FIGURE-PACKET-2026-07-22,evidence/ch07_thermal_residual_owner,Needed for visual thesis thermal results,"waterfall, heat-path table, D2/D3/D4 table, passive sensitivity panel",Board row still open
12,Pressure ordinary-basis failure packet,TODO-THESIS-PRESSURE-F6-ORDINARY-BASIS-FAILURE-PACKET-2026-07-22,evidence/ch07_pressure_negative,Needed for pressure negative-results section,"basis ladder, residual table, F6 gate waterfall, forbidden claims",Board row still open
13,S13 mesh/GCI upcomer exchange packet,TODO-THESIS-S13-MESH-GCI-UPCOMER-EXCHANGE-EVIDENCE-PACKET-2026-07-22,evidence/ch07_upcomer_exchange,Needed if active S13 rerun produces usable medium/fine rows,"same-label mesh QOI table, GCI disposition, production go/no-go",Trigger-gated on active S13 rerun
