study_id,source_path,claim_ids_or_key_numbers,thesis_use,admission_status,do_not_overclaim
CFD_LEGAL_USE,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/summary.json,"NUM-003 to NUM-005; 8 evidence classes; 16 case split rows; 6 forbidden runtime input rows",Ch3/Ch4/Ch6 evidence roles and runtime-leakage methodology,ready_context,Do not treat CFD diagnostics as runtime predictor inputs
MASTER_MODEL_SCOREBOARD,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/summary.json,"NUM-009 to NUM-013; 15 scoreboard rows; 43 glossary rows; 204 signed sensor-error rows",Ch5/Ch7/Ch8 model-form ladder and diagnostic comparison,diagnostic_support,Do not infer final model admission or final score
D2_TP_TW_PROJECTION,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/summary.json,"NUM-014 to NUM-017; TP RMSE 13.5673279702 K to 4.38159298515 K; TW RMSE 18.980361511 K to 12.5130610954 K",Ch7 thermal behavior and QOI projection result,diagnostic_no_correction_release,Do not release a runtime bulk-to-TP correction
MF12_BULK_TO_TP,work_products/2026-07/2026-07-22/2026-07-22_mf12_bulk_to_tp_formula_gate/summary.json,"NUM-018 to NUM-020; 4 formula rows; 10 sensor evidence rows",Ch5 candidate model forms and Ch7 projection caveat,blocked_no_correction_release,Do not use validation temperatures as runtime inputs
D3_WALL_SHAPE,work_products/2026-07/2026-07-22/2026-07-22_mf_d3_wall_shape_axial_mixing_gate/summary.json,"NUM-021 to NUM-024; transfer RMSE 8.38846755024 K; reduction 51.6919381995 percent",Ch7 residual shape and wall/axial-mixing evidence,diagnostic_not_admitted,Do not admit runtime wall-profile correction
D4_SOURCE_PLACEMENT,work_products/2026-07/2026-07-22/2026-07-22_mf_d4_segment_source_placement_evidence_gate/summary.json,"NUM-025 to NUM-028; transfer RMSE 7.94040349151 K; reduction 54.272279139 percent",Ch7 source-placement diagnostic and Ch8 next-study logic,diagnostic_not_admitted,Do not release source-bounded correction
PRESSURE_BASIS,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/summary.json,"NUM-029 to NUM-032; 3 section-effective rows; 0 component-K; 0 F6 fit rows",Ch7 pressure negative result and Ch8 blocked scorecard,pressure_admission_blocked,Do not admit component K or F6
PRESSURE_RESIDUAL_ROWS,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/section_effective_residual_values.csv,"NUM-033 to NUM-037; residuals -1.25366731683 Pa, -1.84957005859 Pa, -1.67833900273 Pa",Ch7 pressure-basis ladder and ordinary-basis failure narrative,not_admitted_for_component_K_or_F6,Do not clip negative residuals or infer ordinary single-stream loss
S13_QWALL,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_same_qoi_neighbor_uq_execution/target_qoi_evidence.csv,"NUM-038 to NUM-040; Qwall 23.1161370708 W, 25.3465488205 W, 28.1231837021 W",Ch7 upcomer heat-path diagnostics,S13_Qwall_diagnostic_only,Do not release Qwall as runtime heat source
S13_TAU_RECIRC_PROXY,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/s13_exchange_tau_proxy_table.csv,"NUM-041 to NUM-044; tau 868.807159089 s, 547.838912867 s, 301.390653047 s",Ch7 recirculation mechanism and single-stream invalidity,diagnostic_current_coarse_proxy,Do not claim mesh/GCI or exchange coefficient admission
