source_criterion_or_form,status,evidence,remaining_gap,thesis_use,forbidden_use
numeric reproducibility,pass,builder and validator scripts exist; runtime_audit.csv records phase runtimes,none for diagnostic addendum,diagnostic_negative_or_hypothesis_generator,admitted closure or final predictive score
split discipline,pass,Salt2 train_candidate fit only; Salt3/Salt4 transfer report only,do not describe Salt3/Salt4 as final protected validation from this package,diagnostic_negative_or_hypothesis_generator,admitted closure or final predictive score
construction assumptions,pass,"construction_assumptions.csv lists formula, basis, missing fields, and forbidden inputs for each tested form",source-bounded physical construction still needed for D3/D4/D1,diagnostic_negative_or_hypothesis_generator,admitted closure or final predictive score
per-sensor signed errors,pass,tested_model_form_sensor_errors.csv includes signed K and percent error for every finite TP/TW row,"figures should use signed errors, not only RMSE",diagnostic_negative_or_hypothesis_generator,admitted closure or final predictive score
publication claim boundary,pass_with_guardrail,README and assumptions label all fitted rows diagnostic_not_admitted,"publication text must call D1-D4 residual-shape diagnostics, not admitted closures",diagnostic_negative_or_hypothesis_generator,admitted closure or final predictive score
source-bounded physical admission,fail_closed,"missing_fields column records no independent Q_wall/passive wall term, no same-QOI UQ, no M0 baseline, no source/property release",execute successor board rows before claiming predictive model-form improvement,diagnostic_negative_or_hypothesis_generator,admitted closure or final predictive score
M2_as_is,diagnostic_claim_boundary,diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model",diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model"
M3_as_is,diagnostic_claim_boundary,diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model",diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model"
D1_M3_global_bias_offset_train,diagnostic_claim_boundary,diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model",diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model"
D2_M3_sensor_kind_offsets_train,diagnostic_claim_boundary,diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model",diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model"
D3_M3_wall_linear_shape_train,diagnostic_claim_boundary,diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model",diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model"
D4_M3_segment_offsets_min2_train,diagnostic_claim_boundary,diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model",diagnostic residual-shape and study-priority signal,"source-bounded closure, final score, admitted repair, or validation/holdout-tuned model"
