case_id,thermal_role,patch_count,total_Q_W,bc_types,radiation_semantics
salt1_hi10q,cooler_HX_removal,1,-113.478369488,externalTemperature,
salt1_hi10q,cooler_or_reducer_removal,2,-35.6851261432,externalTemperature,
salt1_hi10q,heater_source,3,255.53,rcExternalTemperature,
salt1_hi10q,heater_source_test_section,1,37,rcExternalTemperature,
salt1_hi10q,passive_wall_externalTemperature,7,0,externalTemperature,
salt1_hi10q,passive_wall_rcExternalTemperature,32,0,rcExternalTemperature,wallHeatFlux_total_includes_radiation_for_rcExternalTemperature
salt1_hi10q,thermal_constraint_or_coupled_wall,23,0,zeroGradient,
salt1_lo10q,cooler_HX_removal,1,-92.8459386719,externalTemperature,
salt1_lo10q,cooler_or_reducer_removal,2,-29.19692139,externalTemperature,
salt1_lo10q,heater_source,3,209.07,rcExternalTemperature,
salt1_lo10q,heater_source_test_section,1,37,rcExternalTemperature,
salt1_lo10q,passive_wall_externalTemperature,7,0,externalTemperature,
salt1_lo10q,passive_wall_rcExternalTemperature,32,0,rcExternalTemperature,wallHeatFlux_total_includes_radiation_for_rcExternalTemperature
salt1_lo10q,thermal_constraint_or_coupled_wall,23,0,zeroGradient,
salt1_nominal,cooler_HX_removal,1,-103.16215408,externalTemperature,
salt1_nominal,cooler_or_reducer_removal,2,-32.4410237666,externalTemperature,
salt1_nominal,heater_source,3,232.3,rcExternalTemperature,
salt1_nominal,heater_source_test_section,1,37,rcExternalTemperature,
salt1_nominal,passive_wall_externalTemperature,7,0,externalTemperature,
salt1_nominal,passive_wall_rcExternalTemperature,32,0,rcExternalTemperature,wallHeatFlux_total_includes_radiation_for_rcExternalTemperature
salt1_nominal,thermal_constraint_or_coupled_wall,23,0,zeroGradient,
