term,definition,allowed_use,forbidden_use,source_path
model slot,"A named mathematical place for a coefficient, source, sink, residual, or variable in the model architecture.","Use to define structure and where evidence attaches.","Treat the slot as an admitted coefficient because it has a symbol.",reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md
admitted,"Closure or term has passed split, source/property, runtime-input, uncertainty, and term-specific admission gates for its stated scope.","Use only with row/QOI/scope-specific evidence.","Apply globally or by implication.",reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md
diagnostic-only,"Evidence explains mechanism, residual ownership, model-form limits, or future study design but is not a predictive runtime input.","Use for CFD reductions, visuals, blocked candidates, negative results.","Use as closure coefficient or final score input.",reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md
blocked,"A row or quantity has a named unresolved blocker for the intended claim.","Use to make limitations and future work precise.","Rewrite as missing prose or hide inside a fitted multiplier.",reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md
fit-safe,"Eligible for fitting under the split and term-specific gates.","Use only for final training rows and released quantities.","Fit on holdout/external or diagnostic rows.",reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md
score-only,"May evaluate a frozen model but cannot fit/tune/select model form.","Use for holdout/testing and external-test roles.","Use to choose or tune coefficients.",reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md
runtime-legal,"Allowed as an input when running a predictive model because it is setup-known or previously admitted.","Use for geometry, property mode, setup heater/cooler/external boundary inputs, admitted coefficients.","Use target-derived CFD response from the scored row.",reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md
runtime leakage,"Use of prohibited target-derived or protected information as an input to a claimed predictive runtime model.","Use as a guardrail term and audit category.","Relax for convenience or to improve final score.",work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/equations_definitions_ledger.csv
section-effective pressure residual,"Pressure residual assigned to a section or cluster when component isolation/recovery requirements are not met.","Use for current recirculating corner/two-tap evidence.","Rename as ordinary component K/F6 admission.",work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch7_ch8_results/claim_boundary_ledger.csv
recirculation flag,"Segment-local marker that ordinary single-stream assumptions may be invalid due to reverse flow or exchange behavior.","Use to disable ordinary Nu/f_D/K language and motivate exchange-lane studies.","Treat the flag as an admitted exchange coefficient.",work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch7_ch8_results/result_status_matrix.csv
