eq_id,name,latex_form,plain_meaning,source_path,status_or_admission_boundary,writer_use
GE-01,Loop pressure root,"\Delta p_{\mathrm{drive}}(\dot{m},T) \approx \Delta p_{\mathrm{loss}}(\dot{m},T,\mathrm{geometry},\mathrm{closures})","Compact 1D natural-circulation pressure/root balance.",work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/equations_definitions_ledger.csv,"Architecture only; no coefficient admitted by this expression.","Use to introduce the reduced-loop pressure problem."
GE-02,Buoyancy drive,"\Delta p_{\mathrm{drive}}=\oint \rho(T(s),p(s),x,\mathrm{property\ lane})g\,dz(s)","Buoyancy head integrated around the loop using the chosen property lane.",reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md,"Property lane must be labeled before fitting or scoring.","Use to explain why temperature/property choices affect pressure closure."
GE-03,Pressure loss sum,"\Delta p_{\mathrm{loss}}=\sum_i\left[f_i\frac{L_i}{D_i}q_i+K_iq_i\right],\quad q_i=\frac{1}{2}\rho_iV_i^2","Segment-local distributed and local pressure-loss model slots.",reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md,"Symbols f_i and K_i are slots; current recirculating corner/upcomer evidence does not admit ordinary component coefficients.","Use with explicit caveat that notation is not admission."
GE-04,Pressure decomposition,"\Delta p_{\mathrm{static}}=\Delta p_{\mathrm{hyd}}+\Delta p_{\mathrm{kin}}+\Delta p_{\mathrm{dist,dev}}+\Delta p_{\mathrm{section/cluster}}+\Delta p_{\mathrm{transient}}+\Delta p_{\mathrm{res}}","Diagnostic pressure-basis decomposition separating hydrostatic, kinetic, developing, section/cluster, transient, and residual terms.",work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/equations_definitions_ledger.csv,"Diagnostic decomposition; component K/F6 admission remains gated.","Use for pressure-basis ladder and negative pressure results."
GE-05,Differential fluid energy balance,"\frac{d}{ds}\left[\dot{m}c_p(T)T\right]=q'_{\mathrm{heater}\to\mathrm{fluid},i}-q'_{\mathrm{cooler},i}-q'_{\mathrm{wall\ loss},i}+q'_{\mathrm{other},i}","Steady segment energy equation along loop coordinate s.",reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md,"Steady model form; residual ownership/admission handled separately.","Use in model-form chapter and glossary."
GE-06,Finite segment energy ledger,"\dot{m}\bar{c}_{p,i}(T_{\mathrm{out},i}-T_{\mathrm{in},i})=Q_{\mathrm{heater},i}-Q_{\mathrm{cooler},i}-Q_{\mathrm{wall\ loss},i}+Q_{\mathrm{other},i}+Q_{\mathrm{residual},i}","Finite control-volume heat ledger for one segment.",reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md,"Q_residual is an accounting lane, not a closure.","Use to explain heat-path attribution before fitting."
GE-07,Expanded segment thermal ledger,"\dot{m}\bar{c}_{p,i}(T_{\mathrm{out},i}-T_{\mathrm{in},i})=Q_{\mathrm{heater},i}-Q_{\mathrm{cooler},i}-Q_{\mathrm{passive},i}+Q_{\mathrm{test},i}+Q_{\mathrm{junction},i}+Q_{\mathrm{residual},i}","Thermal ledger separating heater, cooler, passive wall, test-section, junction, and residual owners.",work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/equations_definitions_ledger.csv,"Bookkeeping form; residual cannot be silently absorbed into Nu.","Use for Chapter 7 thermal residual-owner evidence."
GE-08,Wall-loss resistance form,"Q_{\mathrm{wall\ loss},i}=\frac{T_{\mathrm{drive},i}-T_{\mathrm{env},i}}{R_{\mathrm{int},i}+R_{\mathrm{wall},i}+R_{\mathrm{layer},i}+R_{\mathrm{ext},i}}","Compact passive wall/external boundary resistance path.",reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md,"Drive temperature and resistance owners must be named; realized CFD wallHeatFlux is not a predictive runtime input.","Use for wall/external boundary model form."
GE-09,Test-section source/loss slot,"q'_{\mathrm{test\ section}\to\mathrm{fluid}}=q'_{\mathrm{electrical\ deposition}}-\frac{T_{\mathrm{drive}}-T_{\mathrm{external}}}{R'_{\mathrm{quartz,external}}}","Bare-quartz test-section source/loss accounting slot.",reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md,"Term may have either sign; source-side accounting is pending unless admitted by later gate.","Use to prevent hiding test-section behavior inside passive heat loss."
GE-10,Heat-path balance ledger,"Q_{\mathrm{balance}}=Q_{\mathrm{heater\ to\ salt}}-Q_{\mathrm{jacket}}-Q_{\mathrm{passive}}-Q_{\mathrm{storage}}-Q_{\mathrm{exchange}}-Q_{\mathrm{res}}","Current heat-path attribution ledger used in reduction evidence.",work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/equations_definitions_ledger.csv,"Not an admitted heat-transfer closure.","Use in evidence/result descriptions when distinguishing heat-path owners."
