model_family,fit_form,grouping,coefficient_group,multiplier_correction,offset_bias_K,n_fit_rows,fit_status,coefficient_source,degrees_of_freedom,admissibility,interpretation,claim_boundary
F0_null_baseline,identity,none,identity,1.0,0.0,0,fixed_identity_no_fit,predeclared_baseline,0,baseline_only,No empirical bias/correction; reference score for all rows.,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F1_global_offset,offset,global,global,1.0,-88.74990007346516,32,mean_offset,Salt1_Salt2_train_support_fit_only,1,low_dof_diagnostic,Uniform additive temperature-reference or bulk/wall bias diagnostic.,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F2_global_affine,affine,global,global,0.3729829182408737,246.55192842685844,32,ols_affine,Salt1_Salt2_train_support_fit_only,2,low_dof_high_caution,One global multiplier plus offset; tests whether scale and reference bias transfer.,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F3_sensor_kind_offset,offset,sensor_kind,TP,1.0,-87.99937925765616,10,mean_offset,Salt1_Salt2_train_support_fit_only,1,low_dof_diagnostic,Separate TP/TW offsets; tests bulk-vs-wall reduction bias.,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F3_sensor_kind_offset,offset,sensor_kind,TW,1.0,-89.09104589883283,22,mean_offset,Salt1_Salt2_train_support_fit_only,1,low_dof_diagnostic,Separate TP/TW offsets; tests bulk-vs-wall reduction bias.,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F4_thermal_family_offset,offset,thermal_family,cooling_branch,1.0,-99.26428929822175,8,mean_offset,Salt1_Salt2_train_support_fit_only,1,moderate_dof_diagnostic,"Offsets by vertical loop, cooling branch, and heated lower-leg heat-path roles.",frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F4_thermal_family_offset,offset,thermal_family,heated_lower_leg,1.0,-75.0749909510962,6,mean_offset,Salt1_Salt2_train_support_fit_only,1,moderate_dof_diagnostic,"Offsets by vertical loop, cooling branch, and heated lower-leg heat-path roles.",frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F4_thermal_family_offset,offset,thermal_family,vertical_loop,1.0,-88.63514123658517,18,mean_offset,Salt1_Salt2_train_support_fit_only,1,moderate_dof_diagnostic,"Offsets by vertical loop, cooling branch, and heated lower-leg heat-path roles.",frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F5_thermal_family_offset_shared_multiplier,shared_affine,thermal_family,cooling_branch,0.3729829182408737,235.18617648994123,8,shared_multiplier_ols_affine_group_offset,Salt1_Salt2_train_support_fit_only,1_shared_multiplier_plus_group_offsets,moderate_dof_high_caution,One shared multiplier plus heat-path offsets; most flexible reduced-DOF family scored here.,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F5_thermal_family_offset_shared_multiplier,shared_affine,thermal_family,heated_lower_leg,0.3729829182408737,259.68524321240574,6,shared_multiplier_ols_affine_group_offset,Salt1_Salt2_train_support_fit_only,1_shared_multiplier_plus_group_offsets,moderate_dof_high_caution,One shared multiplier plus heat-path offsets; most flexible reduced-DOF family scored here.,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F5_thermal_family_offset_shared_multiplier,shared_affine,thermal_family,vertical_loop,0.3729829182408737,247.22560213697273,18,shared_multiplier_ols_affine_group_offset,Salt1_Salt2_train_support_fit_only,1_shared_multiplier_plus_group_offsets,moderate_dof_high_caution,One shared multiplier plus heat-path offsets; most flexible reduced-DOF family scored here.,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
