model_family,split_group,count,baseline_mae_K,corrected_mae_K,delta_mae_K,baseline_rmse_K,corrected_rmse_K,delta_rmse_K,corrected_bias_K,corrected_max_abs_error_K,selection_role,claim_boundary
F0_null_baseline,train_support_fit,32,88.74990007346516,88.74990007346516,0.0,90.38600374649211,90.38600374649211,0.0,88.74990007346516,150.4390416347385,train_support_ranking_only,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,legacy_validation_transfer_stress,16,103.14386473398748,103.14386473398748,0.0,104.45117083369718,104.45117083369718,0.0,103.14386473398748,159.1108342121526,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,legacy_holdout_transfer_stress,16,109.09946662499348,109.09946662499348,0.0,110.54136255575268,110.54136255575268,0.0,109.09946662499348,169.71345208656373,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,all_frozen_transfer_nonfit,32,106.12166567949048,106.12166567949048,0.0,107.5393879567216,107.5393879567216,0.0,106.12166567949048,169.71345208656373,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,all_scored_rows,64,97.4357828764778,97.4357828764778,0.0,99.33365400348254,99.33365400348254,0.0,97.4357828764778,169.71345208656373,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F1_global_offset,train_support_fit,32,88.74990007346516,12.349545324105238,-76.40035474935992,90.38600374649211,17.119722842699268,-73.26628090379285,-8.881784197001252e-15,61.689141561273345,train_support_ranking_only,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F1_global_offset,legacy_validation_transfer_stress,16,103.14386473398748,16.604641119217366,-86.53922361477012,104.45117083369718,21.876390810996494,-82.57478002270068,14.39396466052234,70.36093413868747,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F1_global_offset,legacy_holdout_transfer_stress,16,109.09946662499348,21.518154304864492,-87.58131232012899,110.54136255575268,27.03338818312232,-83.50797437263037,20.349566551528344,80.96355201309859,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F1_global_offset,all_frozen_transfer_nonfit,32,106.12166567949048,19.06139771204093,-87.06026796744955,107.5393879567216,24.59045090654937,-82.94893705017222,17.371765606025342,80.96355201309859,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F1_global_offset,all_scored_rows,64,97.4357828764778,15.705471518073086,-81.73031135840472,99.33365400348254,21.18696752721179,-78.14668647627074,8.685882803012666,80.96355201309859,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F2_global_affine,train_support_fit,32,88.74990007346516,8.501469998140214,-80.24843007532495,90.38600374649211,15.840364472328698,-74.5456392741634,-6.572520305780927e-14,58.28948374834158,train_support_ranking_only,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
