model_family,fit_form,grouping,admissibility,case,case_id,sensor,sensor_kind,prediction_source_segment,leg,thermal_family,fit_role,transfer_role,legacy_split_role,fit_allowed,score_allowed,row_usable,exclusion_reason,predicted_K,reference_K,baseline_residual_K,coefficient_group,multiplier_correction,offset_bias_K,corrected_prediction_K,corrected_residual_K,corrected_abs_error_K,coefficient_missing,source_path,claim_boundary
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TP1,TP,top_horizontal_exit,cooling_branch,cooling_branch,train_support_fit,fit_partition,train_support,True,True,True,,524.4485228409546,449.37,75.07852284095463,identity,1.0,0.0,524.4485228409546,75.07852284095463,75.07852284095463,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TP2,TP,,unmapped,unmapped,train_support_fit,fit_partition,train_support,True,True,False,missing_prediction_reference_or_mapped_segment,,443.27,,,,,,,,True,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TP3,TP,left_lower_vertical,upcomer,vertical_loop,train_support_fit,fit_partition,train_support,True,True,True,,528.7836316485078,441.37,87.41363164850782,identity,1.0,0.0,528.7836316485078,87.41363164850782,87.41363164850782,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TP4,TP,left_lower_vertical,upcomer,vertical_loop,train_support_fit,fit_partition,train_support,True,True,True,,527.9377063973268,446.40999999999997,81.52770639732682,identity,1.0,0.0,527.9377063973268,81.52770639732682,81.52770639732682,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TP5,TP,test_section,upcomer,vertical_loop,train_support_fit,fit_partition,train_support,True,True,True,,528.4684629028013,447.5,80.96846290280132,identity,1.0,0.0,528.4684629028013,80.96846290280132,80.96846290280132,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TP6,TP,left_upper_vertical,upcomer,vertical_loop,train_support_fit,fit_partition,train_support,True,True,True,,527.6244528150512,452.53,75.09445281505123,identity,1.0,0.0,527.6244528150512,75.09445281505123,75.09445281505123,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TW1,TW,right_vertical,downcomer,vertical_loop,train_support_fit,fit_partition,train_support,True,True,True,,522.2762929247504,440.0,82.27629292475035,identity,1.0,0.0,522.2762929247504,82.27629292475035,82.27629292475035,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TW10,TW,cooled_incline_hx_active,cooling_branch,cooling_branch,train_support_fit,fit_partition,train_support,True,True,True,,520.3176462369266,390.03,130.28764623692666,identity,1.0,0.0,520.3176462369266,130.28764623692666,130.28764623692666,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TW11,TW,cooled_incline_post_hx,cooling_branch,cooling_branch,train_support_fit,fit_partition,train_support,True,True,True,,523.399634461433,444.87,78.52963446143303,identity,1.0,0.0,523.399634461433,78.52963446143303,78.52963446143303,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TW2,TW,right_vertical,downcomer,vertical_loop,train_support_fit,fit_partition,train_support,True,True,True,,521.6112452120905,441.56999999999994,80.04124521209053,identity,1.0,0.0,521.6112452120905,80.04124521209053,80.04124521209053,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F0_null_baseline,identity,none,baseline_only,Salt 1,salt_1,TW3,TW,right_vertical,downcomer,vertical_loop,train_support_fit,fit_partition,train_support,True,True,True,,521.3344952360054,440.96999999999997,80.36449523600544,identity,1.0,0.0,521.3344952360054,80.36449523600544,80.36449523600544,False,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/validation_table.csv,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
