variable_id,variable_group,current_status,source_status,available_existing_rows,terminal_gated_rows,requires_new_sampler,admission_use_now,next_action,source_paths
recirculation_volume,exchange_cell_state,not_cleared_for_admission,requires_new_sampler_or_terminal,0,0,yes,false,Extract or admit V_recirc before opening exchange-state calibration.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
exchange_rate,exchange_cell_state,not_cleared_for_admission,requires_new_sampler_or_terminal,0,0,yes,false,Extract mdot_exchange and tau_recirc from a claimed terminal/sampler row.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
V_recirc,exchange_cell_state,missing_V_recirc,requires_new_sampler_or_terminal,0,36,yes,false,Do not fit exchange cells until an admitted volume definition exists.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
mdot_exchange,exchange_cell_state,missing_mdot_exchange,requires_new_sampler_or_terminal,0,36,yes,false,Do not infer exchange rate from RAF/RMF/SVF proxy metrics.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
tau_recirc,exchange_cell_state,missing_tau_recirc,requires_new_sampler_or_terminal,0,36,yes,false,Compute residence time only after V_recirc and mdot_exchange are both admitted.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
thermal_state,exchange_cell_state,not_cleared_for_admission,requires_new_sampler_or_terminal,0,0,yes,false,Require same-window T_main/T_recirc or enthalpy state before energy closure.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
T_main_T_recirc,exchange_energy_state,missing_T_recirc_or_same_window_enthalpy_state,requires_new_sampler_or_terminal,0,36,yes,false,Extract paired main/recirculation thermal states in the same window as exchange rates.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
wall_core_delta_T,exchange_energy_state,missing_wall_core_delta_T,requires_new_sampler_or_terminal,6,36,yes,false,Use present proxy rows as diagnostics only; require admitted wall/core field extraction for scoring.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
energy_residual,thermal_residual_attribution,available_existing_diagnostic,available_existing_diagnostic_only,27,0,no,false,Use for residual attribution narrative; do not absorb into internal Nu or exchange coefficient.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
pressure_residual_basis,pressure_residual_attribution,missing_or_partial_no_same_window_pressure_residual,requires_same_window_pressure_basis,0,36,yes,false,Do not score pressure residual until static p/p_rgh and straight-development subtraction are same-window.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
same_QOI_UQ,uncertainty_and_admission,blocked_missing_same_qoi_UQ,requires_same_qoi_mesh_time_uq,0,36,yes,false,Keep all exchange-cell rows diagnostic until same-QOI uncertainty exists.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
RAF_RMF_SVF,recirculation_guard_diagnostics,available_existing_diagnostic,available_existing_diagnostic_only,18,0,no,false,"Use to disable ordinary single-stream closure, not to fit exchange coefficients.",work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
secondary_flow_intensity,recirculation_guard_diagnostics,available_existing_diagnostic,available_existing_diagnostic_only,18,0,no,false,"Use as diagnostic recirculation severity, not as a predictive exchange variable.",work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
runtime_split_role,runtime_and_split_guard,available_existing_audit,available_existing_policy_only,3,0,no,false,Carry the no-runtime-leakage split audit into any later sampler or scorecard row.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/runtime_internal_nu_audit.csv
