lane_id,case_id,required_contract,readiness,blocking_reason,source_path
HS1_BASELINE_LOSO_SALT124,salt_1,Fluid EXPERIMENT_CASES nominal case,pass,,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py
HS1_PB2_LOSO_SALT124,salt_1,external_boundary_table role rows,fail,missing Salt1 external-boundary role rows,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
HS1_BASELINE_LOSO_SALT124,salt_2,Fluid EXPERIMENT_CASES nominal case,pass,,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py
HS1_PB2_LOSO_SALT124,salt_2,external_boundary_table role rows,pass,,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
HS1_BASELINE_LOSO_SALT124,salt_3,Fluid EXPERIMENT_CASES nominal case,pass,,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py
HS1_PB2_LOSO_SALT124,salt_3,external_boundary_table role rows,pass,,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
HS1_BASELINE_LOSO_SALT124,salt_4,Fluid EXPERIMENT_CASES nominal case,pass,,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py
HS1_PB2_LOSO_SALT124,salt_4,external_boundary_table role rows,pass,,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
HS1_BASELINE_LOSO_SALT124,salt2_lo5q,Fluid executable perturbation/external adapter,fail,no Fluid case adapter for this score-only row,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy;work_products/2026-07/2026-07-17/2026-07-17_salt2_pm5q_val_salt2_readiness_ledger;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress
HS1_BASELINE_LOSO_SALT124,salt2_hi5q,Fluid executable perturbation/external adapter,fail,no Fluid case adapter for this score-only row,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy;work_products/2026-07/2026-07-17/2026-07-17_salt2_pm5q_val_salt2_readiness_ledger;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress
HS1_BASELINE_LOSO_SALT124,val_salt2,Fluid executable perturbation/external adapter,fail,no Fluid case adapter for this score-only row,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy;work_products/2026-07/2026-07-17/2026-07-17_salt2_pm5q_val_salt2_readiness_ledger;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress
