figure_id,artifact_status,ready_now,chapter_target,source_basis,allowed_claim,blocked_or_forbidden_claim,next_action
F-01,current_svg_ready,true,Methodology / 3D-to-1D reduction,reports/thesis_dossier/figures/svg/F01_fluid_walls_loop_segment_atlas.svg,Loop-region atlas with local pressure thermal recirculation uncertainty and admission lanes,Do not imply all slots have admitted coefficients,Use as conceptual architecture figure
F-02,current_svg_ready,true,Methodology / model form,reports/thesis_dossier/figures/svg/F02_segment_local_ledger_inset.svg,Pressure and thermal ledgers are separate model slots,Do not collapse residuals into one heat-loss multiplier,Use as model-equation companion
F-03,current_svg_ready,true,Upcomer recirculation,reports/thesis_dossier/figures/svg/F03_upcomer_hybrid_schematic.svg,Upcomer needs throughflow plus recirculation/exchange lane,Do not admit ordinary upcomer Nu f_D K or exchange coefficient,Pair with F-03A diagnostic CFD visual
F-03A,external_existing_svg_candidates,true,Upcomer recirculation / negative results,reports/thesis_dossier/figures/source_manifest.csv,Velocity visuals support recirculation-dominated model-form selection,Do not use external/test visual as fit evidence or coefficient admission,Choose Salt4 nominal plus Salt2 external companion deliberately
F-03B,external_existing_svg_candidates,true,Upcomer vertical-flow diagnostic,reports/thesis_dossier/figures/figure_claim_crosswalk.csv,U_y-only arrows separate vertical-flow direction from magnitude,Do not treat glyph lengths as quantitative exchange coefficients,Use only as diagnostic companion if vertical sign is discussed
F-04,current_svg_ready,true,Junction-aware ledgers,reports/thesis_dossier/figures/svg/F04_junction_aware_vs_segment_only.svg,Junction/stub heat ownership shifts residual interpretation,Do not admit pressure corner K from current diagnostic rows,Use with explicit val_salt2 external-test label
F-05,current_svg_ready,true,Forward predictive model,reports/thesis_dossier/figures/svg/F05_model_form_ladder.svg,Model-form ladder can show blocked path to frozen candidate,Do not show M6 as completed final result,Keep S11/S15/S6 rows blocked until candidate release
F-06,current_svg_ready,true,SAM-facing interpretation / conclusion,reports/thesis_dossier/figures/svg/F06_sam_facing_flowchart.svg,SAM-facing outcome is closure/admission workflow,Do not claim SAM validation,Use in limitations/conclusion
F-07,pending_external_writer_packet,false,Ch6 / Ch7 predictive path status,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/README.md,Runtime contract split separation blocked gates and negative results can be shown as status panels,Do not duplicate active figtable packet or invent final scores,Wait for active figtable packet closeout then route through writer evidence packet
F-08,pending_data_overlay,false,Uncertainty / mesh / upcomer,work_products/2026-07/2026-07-22/2026-07-22_mesh_uncertainty/README.md,Mesh and upcomer onset blockers can be summarized as fail-closed evidence,Do not show formal GCI or admitted onset threshold,Use tables until a true same-label mesh family exists
