source_path,role,mutation_status
reports/thesis_dossier/Chapters_and_sections/current/12_thesis_figures_and_diagrams_plan.md,figure_plan_source_and_updated_target,mutated_by_task
reports/thesis_dossier/figures/README.md,figure_dossier_readme_and_use_rules,mutated_by_task
reports/thesis_dossier/figures/figure_claim_crosswalk.csv,figure_claim_caption_crosswalk,mutated_by_task
reports/thesis_dossier/figures/source_manifest.csv,figure_source_manifest,mutated_by_task
reports/thesis_dossier/figures/svg/F01_fluid_walls_loop_segment_atlas.svg,current_svg_source,read_only
reports/thesis_dossier/figures/svg/F02_segment_local_ledger_inset.svg,current_svg_source,read_only
reports/thesis_dossier/figures/svg/F03_upcomer_hybrid_schematic.svg,current_svg_source,read_only
reports/thesis_dossier/figures/svg/F04_junction_aware_vs_segment_only.svg,current_svg_source,read_only
reports/thesis_dossier/figures/svg/F05_model_form_ladder.svg,current_svg_source,read_only
reports/thesis_dossier/figures/svg/F06_sam_facing_flowchart.svg,current_svg_source,read_only
work_products/2026-07/2026-07-22/2026-07-22_mesh_uncertainty/README.md,current_mesh_fail_closed_context,read_only
work_products/2026-07/2026-07-22/2026-07-22_upcomer_onset/README.md,current_upcomer_onset_context,read_only
work_products/2026-07/2026-07-22/2026-07-22_model_form_bakeoff/README.md,current_model_form_bakeoff_context,read_only
work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/README.md,active_figtable_packet_context_read_only_do_not_edit,read_only
