source_id,base_case_id,variant_label,time_s,patch_name,leg_group,thermal_role,patch_order,q_min_w_m2,q_max_w_m2,q_total_w,q_avg_w_m2,imposed_q_w,ambient_like_component_w,patch_rank_in_leg,patch_count_in_leg,section_progress_0to1,areaAverage_T_k,areaAverage_Nu,areaAverage_wallHeatFlux_w_m2,latest_time,runtime_root,source_root,axial_field_extraction_error
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_left,junctions,junction,999,-512.1299859,-266.0077879,-1.149152108,-392.9369037,,1.149152108,1,21,0.0,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_left_left_extension,junctions,junction,999,-423.8014629,-244.5197564,-0.8464064278,-387.6646189,,0.8464064278,2,21,0.05,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_left_left_step,junctions,junction,999,0.0,0.0,0.0,0.0,,0.0,3,21,0.1,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_left_left_stub,junctions,junction,999,-11382.58156,-7813.074288,-5.353994736,-10596.47914,,5.353994736,4,21,0.15,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_left_lower_extension,junctions,junction,999,-252.8402046,-38.29409913,-0.263582445,-137.9703106,,0.263582445,5,21,0.2,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_left_lower_stub,junctions,junction,999,-1379.803956,-1370.089053,-0.532744558,-1377.16686,,0.532744558,6,21,0.25,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_right,junctions,junction,999,-412.7934974,-331.1115978,-1.151747559,-393.8244112,,1.151747559,7,21,0.3,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_right_lower_extension,junctions,junction,999,-370.2530715,-31.46781157,-0.60422727,-170.4727923,,0.60422727,8,21,0.35,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_right_lower_stub,junctions,junction,999,-904.1827887,-897.1319217,-0.3489932556,-902.1620944,,0.3489932556,9,21,0.4,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_right_right_extension,junctions,junction,999,-397.5402087,-240.7836991,-0.8107464351,-371.331901,,0.8107464351,10,21,0.45,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_right_right_step,junctions,junction,999,0.0,0.0,0.0,0.0,,0.0,11,21,0.5,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_lower_right_right_stub,junctions,junction,999,-10737.56407,-7700.238357,-5.114280125,-10122.04258,,5.114280125,12,21,0.55,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
val_salt_test_2_coarse_mesh_laminar,salt_test_2,,5293.0,junction_upper_left,junctions,junction,999,-455.3240273,-433.1417479,-1.198959482,-446.1575733,,1.198959482,13,21,0.6,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,
