proposed_claim_key,quantity,value,units,case_or_scope,split_role,source_path,allowed_thesis_claim,forbidden_overclaim,target_section,uncertainty_or_admission_label
S13-GCI-001,exact_label_qoi_rows,72,rows,Salt2/Salt3/Salt4 medium/fine S13,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_s13_mesh_gci_upcomer_exchange_evidence_packet/summary.json,Exact-label medium/fine S13 QOI rows were harvested for diagnostic mesh comparison,Do not call this production harvest or closure admission,Ch7/Ch8,diagnostic_mesh_evidence
S13-GCI-002,terminal_qoi_rows,24,rows,S13 medium/fine terminal QOI table,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_s13_mesh_gci_upcomer_exchange_evidence_packet/summary.json,Terminal S13 QOI rows are available for diagnostic table import,Do not release Qwall or source/property runtime inputs,Ch7,diagnostic_no_release
S13-GCI-003,medium_fine_delta_rows,12,rows,S13 mesh comparison,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_s13_mesh_gci_upcomer_exchange_evidence_packet/summary.json,Medium/fine delta rows exist and should be tabled,Do not infer formal three-level GCI,Ch7/Ch8,two_level_mesh_sensitivity
S13-GCI-004,accepted_same_label_gci_qois,0,count,S13 same-label GCI,all,work_products/2026-07/2026-07-22/2026-07-22_thesis_s13_mesh_gci_upcomer_exchange_evidence_packet/summary.json,Formal same-label GCI remains closed,Do not admit upcomer exchange coefficients or open S11/S15/S6,Ch8/Ch9,fail_closed_no_gci
PRESS-F6-001,section_effective_rows,3,rows,pressure F6 ordinary-basis failure packet,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_pressure_f6_ordinary_basis_failure_packet/summary.json,Section-effective pressure residual rows support pressure negative result,Do not convert section-effective residuals to ordinary component K,Ch7,diagnostic_section_effective
PRESS-F6-002,negative_signed_residual_rows,3,rows,pressure F6 ordinary-basis failure packet,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_pressure_f6_ordinary_basis_failure_packet/summary.json,Negative signed residual rows are part of the ordinary-basis failure evidence,Do not clip negative residuals or hide them in multipliers,Ch7/Ch8,negative_result
PRESS-F6-003,component_k_admitted_rows,0,count,pressure ordinary-basis review,all,work_products/2026-07/2026-07-22/2026-07-22_thesis_pressure_f6_ordinary_basis_failure_packet/summary.json,No ordinary component-K rows are admitted,Do not claim pressure coefficient admission,Ch8,fail_closed_no_component_k
PRESS-F6-004,salt2_section_effective_transfer_max_abs_error_pa,0.47046606946166093438399,Pa,Salt2 pressure diagnostic,external-test/reference,work_products/2026-07/2026-07-22/2026-07-22_thesis_pressure_f6_ordinary_basis_failure_packet/summary.json,Small section-effective transfer error may be reported as diagnostic context,Do not claim F3/Shah defeat or ordinary F6 validation,Ch7,diagnostic_not_admission
SRC-PROP-001,release_unblock_rows,15,rows,source/property unblock study,all,work_products/2026-07/2026-07-22/2026-07-22_thesis_source_property_release_unblock_study/summary.json,Source/property blockers are enumerated in 15 unblock rows,Do not release source/property values,Ch6/Ch8,fail_closed_release_audit
SRC-PROP-002,candidate_release_path_rows,6,rows,source/property unblock study,all,work_products/2026-07/2026-07-22/2026-07-22_thesis_source_property_release_unblock_study/summary.json,Candidate release paths are documented but not completed,Do not freeze a candidate from path documentation alone,Ch6/Ch8,no_freeze
SRC-PROP-003,atlas_release_ready_rows,0,count,source/property atlas and unblock study,all,work_products/2026-07/2026-07-22/2026-07-22_thesis_source_property_release_unblock_study/summary.json,No source/property release-ready rows exist,Do not claim candidate-specific source/property release,Ch6/Ch8,zero_release_ready
SRC-PROP-004,protected_rows_released,0,count,source/property unblock study,protected,work_products/2026-07/2026-07-22/2026-07-22_thesis_source_property_release_unblock_study/summary.json,No protected rows were released,Do not score protected validation holdout or external rows,Ch6/Ch8,protected_rows_closed
