case_id,validation_split_role,segment_id,patch_group,physical_role,mode,convection_active,radiation_active,layer_resistance_active,h_W_m2_K,Ta_K,Tsur_K,emissivity,area_m2,coverage_factor,wall_layer_resistance_status,drive_temperature_selector,radiation_policy,source_use_category,runtime_heat_flux_policy,runtime_temperature_policy,residual_policy,source_paths
salt_2,train,cooling_branch,ambient_wall,ambient_wall,predictive,true,true,true,4.045201782,299.19,299.19,0.95,0.03257168,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,setup_schema_or_diagnostic_not_fit_candidate,forbidden: realized wall heat flux is diagnostic only,forbidden: validation temperatures are score targets only,forbidden: heat residual cannot fill missing boundary fields,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,cooling_branch,cooler,cooler,document_only_source_sink_or_blocked,false,false,false,,,,,0.029778515,1.0,not_applicable_or_blocked_missing_metadata,fluid_segment_bulk_temperature_for_v1_setup_mode,not_applicable_or_blocked_missing_metadata,setup_schema_or_diagnostic_not_fit_candidate,forbidden: realized wall heat flux is diagnostic only,forbidden: validation temperatures are score targets only,forbidden: heat residual cannot fill missing boundary fields,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,downcomer,ambient_wall,ambient_wall,predictive,true,true,true,3.42388628,299.19,299.19,0.95,0.063435,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,setup_schema_or_diagnostic_not_fit_candidate,forbidden: realized wall heat flux is diagnostic only,forbidden: validation temperatures are score targets only,forbidden: heat residual cannot fill missing boundary fields,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,junction,junction_other,junction_other,predictive,true,true,true,9.621920204,299.19,299.19,0.95,0.042478796,1.0,mixed_available_grouped_row_future_split_needed,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,setup_schema_or_diagnostic_not_fit_candidate,forbidden: realized wall heat flux is diagnostic only,forbidden: validation temperatures are score targets only,forbidden: heat residual cannot fill missing boundary fields,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,lower_leg,ambient_wall,ambient_wall,predictive,true,true,true,3.945999179,299.19,299.19,0.95,0.016563776,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,setup_schema_or_diagnostic_not_fit_candidate,forbidden: realized wall heat flux is diagnostic only,forbidden: validation temperatures are score targets only,forbidden: heat residual cannot fill missing boundary fields,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,lower_leg,heater,heater,document_only_source_sink_or_blocked,false,false,true,,,,,0.045786417,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,setup_schema_or_diagnostic_not_fit_candidate,forbidden: realized wall heat flux is diagnostic only,forbidden: validation temperatures are score targets only,forbidden: heat residual cannot fill missing boundary fields,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,upcomer,ambient_wall,ambient_wall,predictive,true,true,true,3.703887805,299.19,299.19,0.95,0.050313118,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,setup_schema_or_diagnostic_not_fit_candidate,forbidden: realized wall heat flux is diagnostic only,forbidden: validation temperatures are score targets only,forbidden: heat residual cannot fill missing boundary fields,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,train,upcomer,test_section,test_section,document_only_source_sink_or_blocked,false,false,true,,,,,0.012258449,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,setup_schema_or_diagnostic_not_fit_candidate,forbidden: realized wall heat flux is diagnostic only,forbidden: validation temperatures are score targets only,forbidden: heat residual cannot fill missing boundary fields,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_3,validation,cooling_branch,ambient_wall,ambient_wall,predictive,true,true,true,4.117217539,299.79,299.79,0.95,0.032571682,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,setup_schema_or_diagnostic_not_fit_candidate,forbidden: realized wall heat flux is diagnostic only,forbidden: validation temperatures are score targets only,forbidden: heat residual cannot fill missing boundary fields,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt_3,validation,cooling_branch,cooler,cooler,document_only_source_sink_or_blocked,false,false,false,,,,,0.029778515,1.0,not_applicable_or_blocked_missing_metadata,fluid_segment_bulk_temperature_for_v1_setup_mode,not_applicable_or_blocked_missing_metadata,setup_schema_or_diagnostic_not_fit_candidate,forbidden: realized wall heat flux is diagnostic only,forbidden: validation temperatures are score targets only,forbidden: heat residual cannot fill missing boundary fields,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
