field_or_basis,unit_or_basis,needed_by,current_status,release_ready,blocker,next_required_extraction_or_gate
cp_J_kg_K,J/kg/K,S13 exchange enthalpy and thermal source/property formulas,documented as required but exact release row not ready,false,MF16 exact-field release-ready rows are zero,row-specific cp source path/property mode/split permission and same-window QOI use
viscosity_or_property_mode,Pa*s or named property mode,pressure/F6 Re friction and thermal property sensitivity,labels exist but no release-ready row,false,nominal train release-ready rows are zero,case/QOI property provenance and sensitivity label release
pressure_static_p,Pa,F6 endpoint pressure difference and pressure-basis ladder,diagnostic rows exist but no F6 admission,false,endpoint fields ready zero for CAND001 and ordinary candidate pairs zero,terminal source and endpoint sampler/readiness row
pressure_p_rgh_or_head_correction,Pa or m equivalent,section-effective lower-right and hydrostatic correction,section-effective evidence exists but component/F6 use closed,false,component isolation and same-QOI UQ absent,retain pressure-basis ladder and compute only after same-basis endpoints
setup_heater_power,W,thermal accounting and future setup model,document-only setup source,conditional_false,no candidate-specific source/property release,candidate-specific runtime contract
setup_cooler_sink_or_HX_metadata,W or UA/metadata,thermal accounting and future setup model,document-only setup sink,conditional_false,no candidate-specific source/property release,candidate-specific runtime contract
setup_test_section_power,W,thermal accounting and test-section source model,document-only setup source,conditional_false,no candidate-specific source/property release,candidate-specific runtime contract
signed_Q_wall_W,W,S13 wall heat path and exchange-cell energy balance,diagnostic temporal/current-coarse evidence only,false,same-label mesh/GCI and source/property release absent,active exact-label medium/fine sampler then post-sampler GCI gate
mdot_exchange_positive_outward_proxy_kg_s,kg/s,S13 exchange residence and recirculation cell,diagnostic temporal/current-coarse evidence only,false,same-label mesh/GCI and production harvest absent,active exact-label medium/fine sampler then same-label UQ/GCI
runtime_residual_or_missing_heat,W or K residual,none as runtime input,forbidden,false,missing heat cannot be absorbed into internal Nu,keep residual owner lane and source-bounded model gate
