qoi_family,qoi_name,time_window_gate,mesh_gci_gate,source_gate,admission_status,blocked_reason,phase_b_rationale,source_gate_reason,thesis_destination,next_task,source_paths,component_k_admitted,cluster_k_admitted,f6_fit_performed,clipped_k,global_multiplier_applied,closure_admitted
pressure,lower_right_corner_available_pressure_residual,blocked_missing_neighbor_window,blocked,blocked_pressure_basis_recirc_or_raw_sampler,blocked,blocked_missing_neighbor_window;missing_same_qoi_mesh_gci;blocked_pressure_basis_recirc_or_raw_sampler,Prior rows explicitly mark mesh/GCI support missing or blocked.,Pressure/F6 source gates remain diagnostic or raw-sampler blocked.,Chapter 6 same-QOI uncertainty table; Chapter 7 pressure-corner limitation,Run existing-artifact same-label/formula/sign time-window preflight for lower_leg__s04->right_leg__s00; queue compute-node sampling only if windows are absent,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/blocker_analysis.csv,false,false,false,false,false,false
pressure,corner_lower_right_section_effective_pressure_residual,blocked_missing_neighbor_window,blocked,blocked_pressure_basis_recirc_or_raw_sampler,blocked,blocked_missing_neighbor_window;missing_same_qoi_mesh_gci;blocked_pressure_basis_recirc_or_raw_sampler,Prior rows explicitly mark mesh/GCI support missing or blocked.,Pressure/F6 source gates remain diagnostic or raw-sampler blocked.,Chapter 6 pressure uncertainty gate; Chapter 7 pressure diagnostic caveat,Use pressure-corner same-QOI time/mesh inventory route; do not convert residual into component K,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/blocker_analysis.csv,false,false,false,false,false,false
pressure,F6_endpoint_pressure_delta,blocked_missing_neighbor_window,blocked,blocked_pressure_basis_recirc_or_raw_sampler,blocked,blocked_missing_neighbor_window;missing_same_qoi_mesh_gci;blocked_pressure_basis_recirc_or_raw_sampler,Prior rows explicitly mark mesh/GCI support missing or blocked.,Pressure/F6 source gates remain diagnostic or raw-sampler blocked.,Chapter 6 pressure/F6 uncertainty row; Chapter 7 F6 non-admission note,Claim raw F6 endpoint face sampler row that emits retained and neighboring windows before any F6 review,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/blocker_analysis.csv,false,false,false,false,false,false
pressure,F6_endpoint_face_raw_pressure_velocity,blocked_missing_neighbor_window,blocked,blocked_pressure_basis_recirc_or_raw_sampler,blocked,blocked_missing_neighbor_window;missing_same_qoi_mesh_gci;blocked_pressure_basis_recirc_or_raw_sampler,Prior rows explicitly mark mesh/GCI support missing or blocked.,Pressure/F6 source gates remain diagnostic or raw-sampler blocked.,Chapter 6 F6 uncertainty blocker table; Chapter 7 pressure limitation,Complete face sampler outputs across retained and neighboring windows with mesh-level labels; keep no-fit gate active,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/blocker_analysis.csv,false,false,false,false,false,false
recirculation,pm10_pressure_partial_residual_v1,blocked_missing_neighbor_window,blocked,blocked_missing_same_qoi_recirc_family,blocked,blocked_missing_neighbor_window;missing_same_qoi_mesh_gci;blocked_missing_same_qoi_recirc_family,Prior rows explicitly mark mesh/GCI support missing or blocked.,Recirculation QOIs lack same-QOI neighbor and mesh-family support.,Chapter 6 recirculation uncertainty gate; Chapter 7 source-envelope caveat,Wait for terminal same-QOI mesh family and neighboring retained windows; do not fit/select model from PM10 rows now,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/summary.json;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_5_frozen_scorecard_and_thesis_handoff/summary.json,false,false,false,false,false,false
recirculation,V_recirc_mdot_exchange_tau_recirc,blocked_missing_neighbor_window,blocked,blocked_missing_exchange_or_terminal_source,blocked,blocked_missing_neighbor_window;missing_exchange_or_terminal_mesh_family;blocked_missing_exchange_or_terminal_source,Exchange-state or terminal source QOIs are not harvested into a same-QOI mesh family.,Exchange-state or terminal-harvest source rows are not ready.,Chapter 6 recirculation uncertainty gate; Chapter 7 upcomer validity envelope,Extract or admit V_recirc; mdot_exchange; tau_recirc; paired thermal state; same-window pressure residual; same-QOI UQ in a separately claimed sampler/harvest row,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/summary.json;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_5_frozen_scorecard_and_thesis_handoff/summary.json,false,false,false,false,false,false
recirculation,terminal_source_family_exchange_QOIs,blocked_missing_neighbor_window,blocked,blocked_missing_exchange_or_terminal_source,blocked,blocked_missing_neighbor_window;missing_exchange_or_terminal_mesh_family;blocked_missing_exchange_or_terminal_source,Exchange-state or terminal source QOIs are not harvested into a same-QOI mesh family.,Exchange-state or terminal-harvest source rows are not ready.,Chapter 6 recirculation source-readiness note; Chapter 7 validity envelope,Wait for terminal monitor then claim harvest if terminal success; do not launch duplicate sampler from Phase A,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/summary.json;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_5_frozen_scorecard_and_thesis_handoff/summary.json,false,false,false,false,false,false
thermal,HTC_UA_prime_Nu_and_thermal_segment_closure,blocked_missing_neighbor_window,diagnostic_only,blocked_or_not_applicable_thermal_source_gate,diagnostic_only,blocked_missing_neighbor_window;two_level_or_incomplete_mesh_evidence;blocked_or_not_applicable_thermal_source_gate,Existing mesh evidence is useful for diagnostics but is incomplete for admission.,Thermal rows require policy/sign/source resolution or are ledger artifacts.,Chapter 6 thermal uncertainty rows; Chapter 7 heat-loss caveat,Resolve wallHeatFlux/enthalpy/UA sign convention and right-leg/downcomer policy then join exact retained and neighboring thermal windows before admission review,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv,false,false,false,false,false,false
thermal,internal_Nu_fit_by_segment,blocked_missing_neighbor_window,not_applicable,blocked_or_not_applicable_thermal_source_gate,not_applicable,blocked_missing_neighbor_window;mesh_gci_not_applicable_to_ledger_artifact;blocked_or_not_applicable_thermal_source_gate,"These rows are release/admission ledgers, not same-QOI retained mesh triplets.",Thermal rows require policy/sign/source resolution or are ledger artifacts.,Chapter 6 thermal uncertainty blocker; Chapter 7 ordinary upcomer disablement,Reopen only after matched-plane thermal/vector extraction; onset anchors; mesh/time uncertainty are admitted,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv,false,false,false,false,false,false
heat_loss,HX_cooler_candidate_and_final_predictive_heat_path,blocked_missing_neighbor_window,not_applicable,blocked_heat_loss_source_or_scorecard_gate,not_applicable,blocked_missing_neighbor_window;mesh_gci_not_applicable_to_ledger_artifact;blocked_heat_loss_source_or_scorecard_gate,"These rows are release/admission ledgers, not same-QOI retained mesh triplets.",Heat-loss rows are source/split/freeze blocked.,Chapter 6 heat-loss uncertainty; Chapter 7 final scorecard limitation,Separate setup-legal heat-loss terms from diagnostic replay and scorecard lanes; keep final freeze negative until hydraulic/cfd-pp/runtime gates pass,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/summary.json;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_5_frozen_scorecard_and_thesis_handoff/summary.json,false,false,false,false,false,false
