blocked_reason,row_count,phase_c_effect
blocked_cross_family_rollup,1,blocks_or_limits_admission
blocked_heat_loss_source_or_scorecard_gate,1,blocks_or_limits_admission
blocked_missing_exchange_or_terminal_source,3,blocks_or_limits_admission
blocked_missing_neighbor_window,12,blocks_or_limits_admission
blocked_missing_same_qoi_recirc_family,1,blocks_or_limits_admission
blocked_or_not_applicable_thermal_source_gate,2,blocks_or_limits_admission
blocked_pressure_basis_recirc_or_raw_sampler,4,blocks_or_limits_admission
mesh_gci_not_applicable_to_ledger_artifact,2,blocks_or_limits_admission
missing_exchange_or_terminal_mesh_family,3,blocks_or_limits_admission
missing_same_qoi_mesh_gci,5,blocks_or_limits_admission
two_level_or_incomplete_mesh_evidence,2,blocks_or_limits_admission
