gap_id,case_id,source_id,feature,feature_type,start_patch,end_patch,downstream_span,current_tap_length_proxy_m,current_basis,gap_type,needed_input,blocks,priority,source_path,quality_flags
TAP-GAP-001,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,corner_lower_left,bend/junction_corner,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,lower_leg,0.01755775,subtracted_minimum_dz_proxy_straight_loss,centerline_tap_length_missing;K_local_upper_bound;mesh_gci_missing;recirculation_single_stream_invalid,true centerline tap-to-tap length; mesh-family/GCI pressure terms; recirculation-aware exclusion labels where flagged,component_or_cluster_K_admission_for_fitting,P0_exclude_from_universal_fit,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent
TAP-GAP-002,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,corner_lower_right,bend/junction_corner,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,right_leg,0.017557749985416676,subtracted_minimum_dz_proxy_straight_loss,centerline_tap_length_missing;K_local_upper_bound;mesh_gci_missing,true centerline tap-to-tap length; mesh-family/GCI pressure terms; recirculation-aware exclusion labels where flagged,component_or_cluster_K_admission_for_fitting,P1_required_for_component_K,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
TAP-GAP-003,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,corner_upper_right,bend/junction_corner,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,upper_leg,0.017557750014583262,subtracted_minimum_dz_proxy_straight_loss,centerline_tap_length_missing;K_local_upper_bound;mesh_gci_missing,true centerline tap-to-tap length; mesh-family/GCI pressure terms; recirculation-aware exclusion labels where flagged,component_or_cluster_K_admission_for_fitting,P1_required_for_component_K,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
TAP-GAP-004,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,corner_upper_left,bend/junction_corner,ncc_pipeleg_upper_09_straight_end,ncc_pipeleg_left_01_upper_start,left_upper_leg,0.017557749999999706,subtracted_minimum_dz_proxy_straight_loss,centerline_tap_length_missing;K_local_upper_bound;mesh_gci_missing;recirculation_single_stream_invalid,true centerline tap-to-tap length; mesh-family/GCI pressure terms; recirculation-aware exclusion labels where flagged,component_or_cluster_K_admission_for_fitting,P0_exclude_from_universal_fit,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream
TAP-GAP-005,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_complex,connector_expansion_contraction,,,left_lower_leg,,,mesh_gci_missing,true centerline tap-to-tap length; mesh-family/GCI pressure terms; recirculation-aware exclusion labels where flagged,component_or_cluster_K_admission_for_fitting,P2_required_for_publication_admission,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci
TAP-GAP-006,salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,corner_lower_left,bend/junction_corner,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,lower_leg,0.01755775,subtracted_minimum_dz_proxy_straight_loss,centerline_tap_length_missing;K_local_upper_bound;mesh_gci_missing;recirculation_single_stream_invalid,true centerline tap-to-tap length; mesh-family/GCI pressure terms; recirculation-aware exclusion labels where flagged,component_or_cluster_K_admission_for_fitting,P0_exclude_from_universal_fit,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent
TAP-GAP-007,salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,corner_lower_right,bend/junction_corner,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,right_leg,0.017557749985416676,subtracted_minimum_dz_proxy_straight_loss,centerline_tap_length_missing;K_local_upper_bound;mesh_gci_missing,true centerline tap-to-tap length; mesh-family/GCI pressure terms; recirculation-aware exclusion labels where flagged,component_or_cluster_K_admission_for_fitting,P1_required_for_component_K,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
TAP-GAP-008,salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,corner_upper_right,bend/junction_corner,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,upper_leg,0.017557750014583262,subtracted_minimum_dz_proxy_straight_loss,centerline_tap_length_missing;K_local_upper_bound;mesh_gci_missing,true centerline tap-to-tap length; mesh-family/GCI pressure terms; recirculation-aware exclusion labels where flagged,component_or_cluster_K_admission_for_fitting,P1_required_for_component_K,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
TAP-GAP-009,salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,corner_upper_left,bend/junction_corner,ncc_pipeleg_upper_09_straight_end,ncc_pipeleg_left_01_upper_start,left_upper_leg,0.017557749999999706,subtracted_minimum_dz_proxy_straight_loss,centerline_tap_length_missing;K_local_upper_bound;mesh_gci_missing;recirculation_single_stream_invalid,true centerline tap-to-tap length; mesh-family/GCI pressure terms; recirculation-aware exclusion labels where flagged,component_or_cluster_K_admission_for_fitting,P0_exclude_from_universal_fit,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream
TAP-GAP-010,salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_complex,connector_expansion_contraction,,,left_lower_leg,,,mesh_gci_missing,true centerline tap-to-tap length; mesh-family/GCI pressure terms; recirculation-aware exclusion labels where flagged,component_or_cluster_K_admission_for_fitting,P2_required_for_publication_admission,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci
