k_row_id,join_key,source_id,case_id,feature,feature_type,downstream_span,adjacent_spans,K_apparent,K_local,q_ref_basis,tap_length_proxy_m,downstream_span_fit_use_status,fit_eligible,validation_eligible,admission_status,coefficient_name_allowed,required_next_action,quality_flags,source_bend_minor_loss_csv
K-001,viscosity_screening_salt_test_2_jin_coarse_mesh:corner_lower_left:lower_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_lower_left,bend/junction_corner,lower_leg,left_lower_leg;lower_leg,8.211480628569191,2.068513235146338,mean,0.01755775,fit_target,no,yes,diagnostic_only_recirculation_adjacent,no_universal_K_yet,Exclude from universal component K fitting; preserve as recirculation/branch diagnostic.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
K-002,viscosity_screening_salt_test_2_jin_coarse_mesh:corner_lower_right:right_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_lower_right,bend/junction_corner,right_leg,lower_leg;right_leg,16.503825877025502,8.747643945836534,mean,0.017557749985416676,fit_target,no,yes,blocked_tap_length_upper_bound,no_universal_K_yet,Extract true centerline tap-to-tap length and recompute straight-loss subtraction before fitting.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
K-003,viscosity_screening_salt_test_2_jin_coarse_mesh:corner_upper_right:upper_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_upper_right,bend/junction_corner,upper_leg,right_leg;upper_leg,15.923062359144723,6.959989290443755,mean,0.017557750014583262,fit_target,no,yes,blocked_tap_length_upper_bound,no_universal_K_yet,Extract true centerline tap-to-tap length and recompute straight-loss subtraction before fitting.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
K-004,viscosity_screening_salt_test_2_jin_coarse_mesh:corner_upper_left:left_upper_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_upper_left,bend/junction_corner,left_upper_leg,upper_leg;left_upper_leg,6.245177796682506,1.0660717239286341,mean,0.017557749999999706,not_fit_recirculation,no,yes,diagnostic_only_recirculation_adjacent,no_universal_K_yet,Exclude from universal component K fitting; preserve as recirculation/branch diagnostic.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
K-005,viscosity_screening_salt_test_2_jin_coarse_mesh:test_section_complex:left_lower_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_complex,connector_expansion_contraction,left_lower_leg,left_upper_leg;test_section_span;left_lower_leg,,,,,,no,yes,diagnostic_only_coarse_no_gci,no_universal_K_yet,Require mesh-family/GCI pressure evidence before admission.,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
K-006,viscosity_screening_salt_test_3_jin_coarse_mesh:corner_lower_left:lower_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_lower_left,bend/junction_corner,lower_leg,left_lower_leg;lower_leg,8.304110933357741,3.6337489304866963,mean,0.01755775,fit_target,no,yes,diagnostic_only_recirculation_adjacent,no_universal_K_yet,Exclude from universal component K fitting; preserve as recirculation/branch diagnostic.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
K-007,viscosity_screening_salt_test_3_jin_coarse_mesh:corner_lower_right:right_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_lower_right,bend/junction_corner,right_leg,lower_leg;right_leg,13.810210784371353,7.232679771356456,mean,0.017557749985416676,fit_target,no,yes,blocked_tap_length_upper_bound,no_universal_K_yet,Extract true centerline tap-to-tap length and recompute straight-loss subtraction before fitting.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
K-008,viscosity_screening_salt_test_3_jin_coarse_mesh:corner_upper_right:upper_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_upper_right,bend/junction_corner,upper_leg,right_leg;upper_leg,14.333759374743044,6.6732125324752225,mean,0.017557750014583262,fit_target,no,yes,blocked_tap_length_upper_bound,no_universal_K_yet,Extract true centerline tap-to-tap length and recompute straight-loss subtraction before fitting.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
K-009,viscosity_screening_salt_test_3_jin_coarse_mesh:corner_upper_left:left_upper_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_upper_left,bend/junction_corner,left_upper_leg,upper_leg;left_upper_leg,6.224711684075602,2.1319154340581776,mean,0.017557749999999706,not_fit_recirculation,no,yes,diagnostic_only_recirculation_adjacent,no_universal_K_yet,Exclude from universal component K fitting; preserve as recirculation/branch diagnostic.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
K-010,viscosity_screening_salt_test_3_jin_coarse_mesh:test_section_complex:left_lower_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,test_section_complex,connector_expansion_contraction,left_lower_leg,left_upper_leg;test_section_span;left_lower_leg,,,,,,no,yes,diagnostic_only_coarse_no_gci,no_universal_K_yet,Require mesh-family/GCI pressure evidence before admission.,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
K-011,viscosity_screening_salt_test_4_jin_coarse_mesh:corner_lower_left:lower_leg,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,corner_lower_left,bend/junction_corner,lower_leg,left_lower_leg;lower_leg,8.291311570464572,4.6563486384138955,mean,0.01755775,fit_target,no,yes,diagnostic_only_recirculation_adjacent,no_universal_K_yet,Exclude from universal component K fitting; preserve as recirculation/branch diagnostic.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
K-012,viscosity_screening_salt_test_4_jin_coarse_mesh:corner_lower_right:right_leg,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,corner_lower_right,bend/junction_corner,right_leg,lower_leg;right_leg,10.7252053702797,5.307153885802752,mean,0.017557749985416676,fit_target,no,yes,blocked_tap_length_upper_bound,no_universal_K_yet,Extract true centerline tap-to-tap length and recompute straight-loss subtraction before fitting.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
K-013,viscosity_screening_salt_test_4_jin_coarse_mesh:corner_upper_right:upper_leg,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,corner_upper_right,bend/junction_corner,upper_leg,right_leg;upper_leg,13.577588617003988,7.285125042276657,mean,0.017557750014583262,fit_target,no,yes,blocked_tap_length_upper_bound,no_universal_K_yet,Extract true centerline tap-to-tap length and recompute straight-loss subtraction before fitting.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
K-014,viscosity_screening_salt_test_4_jin_coarse_mesh:corner_upper_left:left_upper_leg,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,corner_upper_left,bend/junction_corner,left_upper_leg,upper_leg;left_upper_leg,6.6750308324628325,3.5105078437926305,mean,0.017557749999999706,not_fit_recirculation,no,yes,diagnostic_only_recirculation_adjacent,no_universal_K_yet,Exclude from universal component K fitting; preserve as recirculation/branch diagnostic.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
K-015,viscosity_screening_salt_test_4_jin_coarse_mesh:test_section_complex:left_lower_leg,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,test_section_complex,connector_expansion_contraction,left_lower_leg,left_upper_leg;test_section_span;left_lower_leg,,,,,,no,yes,diagnostic_only_coarse_no_gci,no_universal_K_yet,Require mesh-family/GCI pressure evidence before admission.,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
