case_key,display_label,salt_family,variant,split_role,admission_status,guardrail,postprocessing,postprocessing_exists
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,training,training_admissible,Keep Salt1 lower-Re caveat; nominal row not a perturbation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,true
salt1_lo10q,salt1_jin_lo10q_corrected,salt1,lo10q,training_perturbation,training_admissible_perturbed_q,Keep perturbed-Q label; do not collapse into nominal baseline,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,true
salt1_hi10q,salt1_jin_hi10q_corrected,salt1,hi10q,training_perturbation,training_admissible_perturbed_q,Older failed/not-admissible verdict superseded for thermal training; keep perturbed-Q label,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,true
salt4_nominal,salt4_jin,salt4,nominal,training,training_admissible_by_user_policy,Salt4 is training by user policy; do not report as untouched holdout,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh/postProcessing,true
salt4_lo5q,salt4_jin_lo5q_corrected,salt4,lo5q,training_perturbation,admitted_for_requested_split_role,Training perturbed-Q; keep q_ratio 0.95 label; PM5 pressure/upcomer remains blocked,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,true
salt4_hi5q,salt4_jin_hi5q_corrected,salt4,hi5q,training_perturbation,admitted_for_requested_split_role,Training perturbed-Q; keep q_ratio 1.05 label; PM5 pressure/upcomer remains blocked,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,true
salt2_lo5q,salt2_jin_lo5q_corrected,salt2,lo5q,holdout_perturbation,admitted_for_requested_split_role,Holdout row; do not use for fitting or model selection; PM5 pressure/upcomer remains blocked,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,true
salt2_hi5q,salt2_jin_hi5q_corrected,salt2,hi5q,holdout_perturbation,admitted_for_requested_split_role,Holdout row; do not use for fitting or model selection; PM5 pressure/upcomer remains blocked,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,true
salt2_jin_nominal,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,nominal,canonical_forward_train,admitted_or_usable_for_current_forward_split,canonical forward-v1 train row; keep separate from broader July 15 thermal-training table,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh/postProcessing,true
salt3_jin_nominal,viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,nominal,canonical_forward_validation,admitted_or_usable_for_current_forward_split,canonical forward-v1 validation row; not a fit row after model choice,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh/postProcessing,true
salt2_native_val,val_salt_test_2_coarse_mesh_laminar,salt2,native_validation_comparison,diagnostic_validation_comparison,context_row_not_current_forward_split,historical/native val_salt2 comparison; do not mix with Salt2 Jin train row,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar/postProcessing,true
salt1_jin_reference_not_val,viscosity_screening_salt_test_1_jin_coarse_mesh,salt1,nominal_reference,diagnostic_reference_not_val,diagnostic_context_only,included because user asked for Salt1 val; no val_salt_test_1 case was found,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh/postProcessing,true
