case_key,group,figure_type,path
salt1_nominal,temperature,full_timeseries,figures/salt1_nominal_TP_full.svg
salt1_nominal,temperature,last_window,figures/salt1_nominal_TP_last_window.svg
salt1_nominal,temperature,last_window_fluctuation,figures/salt1_nominal_TP_last_window_fluctuation.svg
salt1_nominal,temperature,clt_sem,figures/salt1_nominal_TP_clt_sem.svg
salt1_nominal,wall_temperature,full_timeseries,figures/salt1_nominal_TW_full.svg
salt1_nominal,wall_temperature,last_window,figures/salt1_nominal_TW_last_window.svg
salt1_nominal,wall_temperature,last_window_fluctuation,figures/salt1_nominal_TW_last_window_fluctuation.svg
salt1_nominal,wall_temperature,clt_sem,figures/salt1_nominal_TW_clt_sem.svg
salt1_nominal,mdot,full_timeseries,figures/salt1_nominal_mdot_full.svg
salt1_nominal,mdot,last_window,figures/salt1_nominal_mdot_last_window.svg
salt1_nominal,mdot,last_window_fluctuation,figures/salt1_nominal_mdot_last_window_fluctuation.svg
salt1_nominal,mdot,clt_sem,figures/salt1_nominal_mdot_clt_sem.svg
salt1_lo10q,temperature,full_timeseries,figures/salt1_lo10q_TP_full.svg
salt1_lo10q,temperature,last_window,figures/salt1_lo10q_TP_last_window.svg
salt1_lo10q,temperature,last_window_fluctuation,figures/salt1_lo10q_TP_last_window_fluctuation.svg
salt1_lo10q,temperature,clt_sem,figures/salt1_lo10q_TP_clt_sem.svg
salt1_lo10q,wall_temperature,full_timeseries,figures/salt1_lo10q_TW_full.svg
salt1_lo10q,wall_temperature,last_window,figures/salt1_lo10q_TW_last_window.svg
salt1_lo10q,wall_temperature,last_window_fluctuation,figures/salt1_lo10q_TW_last_window_fluctuation.svg
salt1_lo10q,wall_temperature,clt_sem,figures/salt1_lo10q_TW_clt_sem.svg
salt1_lo10q,mdot,full_timeseries,figures/salt1_lo10q_mdot_full.svg
salt1_lo10q,mdot,last_window,figures/salt1_lo10q_mdot_last_window.svg
salt1_lo10q,mdot,last_window_fluctuation,figures/salt1_lo10q_mdot_last_window_fluctuation.svg
salt1_lo10q,mdot,clt_sem,figures/salt1_lo10q_mdot_clt_sem.svg
salt1_hi10q,temperature,full_timeseries,figures/salt1_hi10q_TP_full.svg
salt1_hi10q,temperature,last_window,figures/salt1_hi10q_TP_last_window.svg
salt1_hi10q,temperature,last_window_fluctuation,figures/salt1_hi10q_TP_last_window_fluctuation.svg
salt1_hi10q,temperature,clt_sem,figures/salt1_hi10q_TP_clt_sem.svg
salt1_hi10q,wall_temperature,full_timeseries,figures/salt1_hi10q_TW_full.svg
salt1_hi10q,wall_temperature,last_window,figures/salt1_hi10q_TW_last_window.svg
salt1_hi10q,wall_temperature,last_window_fluctuation,figures/salt1_hi10q_TW_last_window_fluctuation.svg
salt1_hi10q,wall_temperature,clt_sem,figures/salt1_hi10q_TW_clt_sem.svg
salt1_hi10q,mdot,full_timeseries,figures/salt1_hi10q_mdot_full.svg
salt1_hi10q,mdot,last_window,figures/salt1_hi10q_mdot_last_window.svg
salt1_hi10q,mdot,last_window_fluctuation,figures/salt1_hi10q_mdot_last_window_fluctuation.svg
salt1_hi10q,mdot,clt_sem,figures/salt1_hi10q_mdot_clt_sem.svg
salt4_nominal,temperature,full_timeseries,figures/salt4_nominal_TP_full.svg
salt4_nominal,temperature,last_window,figures/salt4_nominal_TP_last_window.svg
salt4_nominal,temperature,last_window_fluctuation,figures/salt4_nominal_TP_last_window_fluctuation.svg
salt4_nominal,temperature,clt_sem,figures/salt4_nominal_TP_clt_sem.svg
salt4_nominal,wall_temperature,full_timeseries,figures/salt4_nominal_TW_full.svg
salt4_nominal,wall_temperature,last_window,figures/salt4_nominal_TW_last_window.svg
salt4_nominal,wall_temperature,last_window_fluctuation,figures/salt4_nominal_TW_last_window_fluctuation.svg
salt4_nominal,wall_temperature,clt_sem,figures/salt4_nominal_TW_clt_sem.svg
salt4_nominal,mdot,full_timeseries,figures/salt4_nominal_mdot_full.svg
salt4_nominal,mdot,last_window,figures/salt4_nominal_mdot_last_window.svg
salt4_nominal,mdot,last_window_fluctuation,figures/salt4_nominal_mdot_last_window_fluctuation.svg
salt4_nominal,mdot,clt_sem,figures/salt4_nominal_mdot_clt_sem.svg
salt4_lo5q,temperature,full_timeseries,figures/salt4_lo5q_TP_full.svg
salt4_lo5q,temperature,last_window,figures/salt4_lo5q_TP_last_window.svg
salt4_lo5q,temperature,last_window_fluctuation,figures/salt4_lo5q_TP_last_window_fluctuation.svg
salt4_lo5q,temperature,clt_sem,figures/salt4_lo5q_TP_clt_sem.svg
salt4_lo5q,wall_temperature,full_timeseries,figures/salt4_lo5q_TW_full.svg
salt4_lo5q,wall_temperature,last_window,figures/salt4_lo5q_TW_last_window.svg
salt4_lo5q,wall_temperature,last_window_fluctuation,figures/salt4_lo5q_TW_last_window_fluctuation.svg
salt4_lo5q,wall_temperature,clt_sem,figures/salt4_lo5q_TW_clt_sem.svg
salt4_lo5q,mdot,full_timeseries,figures/salt4_lo5q_mdot_full.svg
salt4_lo5q,mdot,last_window,figures/salt4_lo5q_mdot_last_window.svg
salt4_lo5q,mdot,last_window_fluctuation,figures/salt4_lo5q_mdot_last_window_fluctuation.svg
salt4_lo5q,mdot,clt_sem,figures/salt4_lo5q_mdot_clt_sem.svg
salt4_hi5q,temperature,full_timeseries,figures/salt4_hi5q_TP_full.svg
salt4_hi5q,temperature,last_window,figures/salt4_hi5q_TP_last_window.svg
salt4_hi5q,temperature,last_window_fluctuation,figures/salt4_hi5q_TP_last_window_fluctuation.svg
salt4_hi5q,temperature,clt_sem,figures/salt4_hi5q_TP_clt_sem.svg
salt4_hi5q,wall_temperature,full_timeseries,figures/salt4_hi5q_TW_full.svg
salt4_hi5q,wall_temperature,last_window,figures/salt4_hi5q_TW_last_window.svg
salt4_hi5q,wall_temperature,last_window_fluctuation,figures/salt4_hi5q_TW_last_window_fluctuation.svg
salt4_hi5q,wall_temperature,clt_sem,figures/salt4_hi5q_TW_clt_sem.svg
salt4_hi5q,mdot,full_timeseries,figures/salt4_hi5q_mdot_full.svg
salt4_hi5q,mdot,last_window,figures/salt4_hi5q_mdot_last_window.svg
salt4_hi5q,mdot,last_window_fluctuation,figures/salt4_hi5q_mdot_last_window_fluctuation.svg
salt4_hi5q,mdot,clt_sem,figures/salt4_hi5q_mdot_clt_sem.svg
salt2_lo5q,temperature,full_timeseries,figures/salt2_lo5q_TP_full.svg
salt2_lo5q,temperature,last_window,figures/salt2_lo5q_TP_last_window.svg
salt2_lo5q,temperature,last_window_fluctuation,figures/salt2_lo5q_TP_last_window_fluctuation.svg
salt2_lo5q,temperature,clt_sem,figures/salt2_lo5q_TP_clt_sem.svg
salt2_lo5q,wall_temperature,full_timeseries,figures/salt2_lo5q_TW_full.svg
salt2_lo5q,wall_temperature,last_window,figures/salt2_lo5q_TW_last_window.svg
salt2_lo5q,wall_temperature,last_window_fluctuation,figures/salt2_lo5q_TW_last_window_fluctuation.svg
salt2_lo5q,wall_temperature,clt_sem,figures/salt2_lo5q_TW_clt_sem.svg
salt2_lo5q,mdot,full_timeseries,figures/salt2_lo5q_mdot_full.svg
salt2_lo5q,mdot,last_window,figures/salt2_lo5q_mdot_last_window.svg
salt2_lo5q,mdot,last_window_fluctuation,figures/salt2_lo5q_mdot_last_window_fluctuation.svg
salt2_lo5q,mdot,clt_sem,figures/salt2_lo5q_mdot_clt_sem.svg
salt2_hi5q,temperature,full_timeseries,figures/salt2_hi5q_TP_full.svg
salt2_hi5q,temperature,last_window,figures/salt2_hi5q_TP_last_window.svg
salt2_hi5q,temperature,last_window_fluctuation,figures/salt2_hi5q_TP_last_window_fluctuation.svg
salt2_hi5q,temperature,clt_sem,figures/salt2_hi5q_TP_clt_sem.svg
salt2_hi5q,wall_temperature,full_timeseries,figures/salt2_hi5q_TW_full.svg
salt2_hi5q,wall_temperature,last_window,figures/salt2_hi5q_TW_last_window.svg
salt2_hi5q,wall_temperature,last_window_fluctuation,figures/salt2_hi5q_TW_last_window_fluctuation.svg
salt2_hi5q,wall_temperature,clt_sem,figures/salt2_hi5q_TW_clt_sem.svg
salt2_hi5q,mdot,full_timeseries,figures/salt2_hi5q_mdot_full.svg
salt2_hi5q,mdot,last_window,figures/salt2_hi5q_mdot_last_window.svg
salt2_hi5q,mdot,last_window_fluctuation,figures/salt2_hi5q_mdot_last_window_fluctuation.svg
salt2_hi5q,mdot,clt_sem,figures/salt2_hi5q_mdot_clt_sem.svg
salt2_jin_nominal,temperature,full_timeseries,figures/salt2_jin_nominal_TP_full.svg
