source_path,role_in_dispatch,mutation_status,notes
.agent/BOARD.md,board_state,edited_additive,"Added next-study dispatch row and successor rows; no existing active row rewritten."
.agent/BLOCKERS.md,blocker_context,read_only,"Open blockers define S8-S10 priorities."
.agent/STATE.md,current_state_context,read_only,"Used to confirm generated current-state and recent activity."
work_products/2026-07/2026-07-21/2026-07-21_thesis_research_studies_board_dispatch/README.md,prior_study_dispatch,read_only,"S0-S6 package that this dispatch extends."
work_products/2026-07/2026-07-21/2026-07-21_thesis_predictive_study_figure_table_package/README.md,figure_table_context,read_only,"Shows final scorecard remains blocked and current visuals are mostly ready-now."
work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s4_recirculation_guard_upcomer_hybrid/README.md,recirculation_guard_context,read_only,"Basis for ordinary upcomer closure disablement."
work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s5_source_property_split_release/README.md,release_gate_context,read_only,"Basis for S11 source/property refresh rules."
reports/thesis_dossier/README.md,front_door,edited_additive,"Linked the new dispatch package."
reports/thesis_dossier/Chapters_and_sections/current/README.md,current_section_front_door,edited_additive,"Linked the new dispatch package."
native CFD/OpenFOAM outputs,solver_outputs,not_touched,"No native output mutation."
registry/admission state,global_state,not_touched,"No registry or admission mutation."
scheduler state,compute_state,not_touched,"No scheduler action."
Fluid source tree and external repos,external_code,not_touched,"No Fluid or external edit."
