case_id,path_id,description,fixed_mdot_kg_s,root_found,temperature_periodicity_error_K,model_Tmean_K,cfd_Tmean_K,Tmean_error_K,model_loop_delta_T_K,cfd_loop_delta_T_K,loop_delta_T_error_K,qhx_total_W,qambient_total_W,source_total_W,prescribed_loss_total_W,modeling_status
salt_2,P0_fixed_mdot_current_1d_contract,Current 1D thermal contract at CFD mdot.,0.01318,True,0.0,512.526,450.3,62.226,11.196,12.1,-0.904,46.292,256.408,302.7,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_2,P1_cfd_cooler_duty_only,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.,0.01318,True,-0.0,456.519,450.3,6.219,12.238,12.1,0.138,136.351,166.35,302.7,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_2,P2_heater_wallflux_no_test_source,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.,0.01318,True,0.0,481.807,450.3,31.507,10.607,12.1,-1.493,39.262,204.256,243.519,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_2,P3_source_plus_test_section_sink,Use heater wallHeatFlux and treat the test section as a negative local source so internal ambient losses remain active.,0.01318,True,-0.0,478.673,450.3,28.373,10.663,12.1,-1.437,38.544,199.294,237.839,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_2,P4_full_patch_ledger_prescribed,Prescribe heater wallHeatFlux plus all CFD patchwise heat losses mapped to 1D parent segments.,0.01318,False,0.007,282.004,450.3,-168.296,12.612,12.1,0.512,0.0,243.393,243.519,243.393,fixed_Q_full_ledger_replay_mean_T_indeterminate_without_temperature_dependent_boundary_network
salt_3,P0_fixed_mdot_current_1d_contract,Current 1D thermal contract at CFD mdot.,0.01497,True,-0.0,527.686,463.7,63.986,11.062,12.2,-1.138,49.663,284.837,334.5,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_3,P1_cfd_cooler_duty_only,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.,0.01497,True,0.0,468.153,463.7,4.453,12.091,12.2,-0.109,150.77,183.731,334.5,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_3,P2_heater_wallflux_no_test_source,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.,0.01497,True,-0.0,497.547,463.7,33.847,10.465,12.2,-1.735,42.728,230.426,273.155,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_3,P3_source_plus_test_section_sink,Use heater wallHeatFlux and treat the test section as a negative local source so internal ambient losses remain active.,0.01497,True,0.0,492.026,463.7,28.326,10.557,12.2,-1.643,41.456,221.153,262.61,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_3,P4_full_patch_ledger_prescribed,Prescribe heater wallHeatFlux plus all CFD patchwise heat losses mapped to 1D parent segments.,0.01497,False,0.013,268.847,463.7,-194.853,12.463,12.2,0.263,0.0,272.869,273.155,272.869,fixed_Q_full_ledger_replay_mean_T_indeterminate_without_temperature_dependent_boundary_network
salt_4,P0_fixed_mdot_current_1d_contract,Current 1D thermal contract at CFD mdot.,0.01698,False,0.137,544.226,479.2,65.026,11.116,12.3,-1.184,53.472,317.811,374.6,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_4,P1_cfd_cooler_duty_only,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.,0.01698,True,0.0,481.897,479.2,2.697,12.126,12.3,-0.174,169.227,205.374,374.6,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_4,P2_heater_wallflux_no_test_source,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.,0.01698,True,0.0,516.137,479.2,36.937,10.476,12.3,-1.824,46.963,263.522,310.487,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_4,P3_source_plus_test_section_sink,Use heater wallHeatFlux and treat the test section as a negative local source so internal ambient losses remain active.,0.01698,True,0.0,507.879,479.2,28.679,10.606,12.3,-1.694,45.048,248.668,293.718,0.0,lightweight_fixed_mdot_thermal_replay_not_full_hydraulic_solution
salt_4,P4_full_patch_ledger_prescribed,Prescribe heater wallHeatFlux plus all CFD patchwise heat losses mapped to 1D parent segments.,0.01698,False,0.003,530.242,479.2,51.042,12.496,12.3,0.196,0.0,310.408,310.487,310.408,fixed_Q_full_ledger_replay_mean_T_indeterminate_without_temperature_dependent_boundary_network
