path,qoi_label,mesh_level,path_or_text_level_hit,csv_rows_with_label_and_level,strict_same_label_mesh_rows,candidate_status
work_products/2026-07/2026-07-21/2026-07-21_candidate_uq_s13_geometry_recovery/README.md,Q_wall_W,fine,true,0,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_candidate_uq_s13_geometry_recovery/candidate_uq_repair_targets.csv,Q_wall_W,fine,true,1,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_candidate_uq_s13_geometry_recovery/geometry_source_recovery_decision.csv,Q_wall_W,coarse,true,15,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_candidate_uq_s13_geometry_recovery/geometry_source_recovery_decision.csv,Q_wall_W,fine,true,15,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_candidate_uq_s13_geometry_recovery/qoi_prerequisite_matrix.csv,Q_wall_W,fine,true,5,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_candidate_uq_s13_geometry_recovery/uq_admission_decision.csv,Q_wall_W,fine,true,1,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_heatloss_upcomer_sampler_design/dry_run_emission_matrix.csv,Q_wall_W,fine,true,3,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_seeded_heat_path_lane_release/downstream_gate.csv,Q_wall_W,fine,true,0,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_seeded_heat_path_lane_release/sampler_refresh_gate.csv,Q_wall_W,fine,true,0,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_geometry_contract/geometry_source_ledger.csv,Q_wall_W,coarse,true,18,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_interface_wall_source_recovery/interface_wall_source_release_gate.csv,Q_wall_W,fine,true,3,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampled_field_qwall_contract_from_seeded_vtk/README.md,Q_wall_W,fine,true,0,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampled_field_qwall_contract_from_seeded_vtk/field_availability.csv,Q_wall_W,fine,true,0,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampled_field_qwall_contract_from_seeded_vtk/field_availability_matrix.csv,Q_wall_W,fine,true,0,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampled_field_qwall_uq_unblock/README.md,Q_wall_W,fine,true,0,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampled_field_qwall_uq_unblock/same_qoi_uq_prerequisite_table.csv,Q_wall_W,fine,true,0,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampled_field_qwall_uq_unblock/same_qoi_uq_prerequisite_table.csv,mdot_exchange_positive_outward_proxy_kg_s,fine,true,0,0,context_or_incomplete_candidate_only
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampled_field_qwall_uq_unblock/same_qoi_uq_prerequisite_table.csv,tau_recirc_proxy_s,fine,true,0,0,context_or_incomplete_candidate_only
