qoi_label,path,exists,exact_label_hit,mesh_language_hit,accepted_same_label_mesh_family_row,search_interpretation
Q_wall_W,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_label_mesh_family_inventory_and_generation_contract/same_label_mesh_family_inventory.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
mdot_exchange_positive_outward_proxy_kg_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_label_mesh_family_inventory_and_generation_contract/same_label_mesh_family_inventory.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
tau_recirc_proxy_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_label_mesh_family_inventory_and_generation_contract/same_label_mesh_family_inventory.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
wall_core_bulk_temperature_contrast_K,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_label_mesh_family_inventory_and_generation_contract/same_label_mesh_family_inventory.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
Q_wall_W,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_label_mesh_family_inventory_and_generation_contract/generation_contract.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
mdot_exchange_positive_outward_proxy_kg_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_label_mesh_family_inventory_and_generation_contract/generation_contract.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
tau_recirc_proxy_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_label_mesh_family_inventory_and_generation_contract/generation_contract.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
wall_core_bulk_temperature_contrast_K,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_label_mesh_family_inventory_and_generation_contract/generation_contract.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
Q_wall_W,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/qwall_exchange_mesh_gci_gate_matrix.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
mdot_exchange_positive_outward_proxy_kg_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/qwall_exchange_mesh_gci_gate_matrix.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
tau_recirc_proxy_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/qwall_exchange_mesh_gci_gate_matrix.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
wall_core_bulk_temperature_contrast_K,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/qwall_exchange_mesh_gci_gate_matrix.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
Q_wall_W,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/missing_mesh_family_blocker_table.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
mdot_exchange_positive_outward_proxy_kg_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/missing_mesh_family_blocker_table.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
tau_recirc_proxy_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/missing_mesh_family_blocker_table.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
wall_core_bulk_temperature_contrast_K,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/missing_mesh_family_blocker_table.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
Q_wall_W,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/same_qoi_temporal_uq_summary.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
mdot_exchange_positive_outward_proxy_kg_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/same_qoi_temporal_uq_summary.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
tau_recirc_proxy_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/same_qoi_temporal_uq_summary.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
wall_core_bulk_temperature_contrast_K,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/same_qoi_temporal_uq_summary.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
Q_wall_W,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/same_qoi_temporal_uq_case_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
mdot_exchange_positive_outward_proxy_kg_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/same_qoi_temporal_uq_case_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
tau_recirc_proxy_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/same_qoi_temporal_uq_case_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
wall_core_bulk_temperature_contrast_K,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/same_qoi_temporal_uq_case_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
Q_wall_W,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/heat_flow_match_diagnostics.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
mdot_exchange_positive_outward_proxy_kg_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/heat_flow_match_diagnostics.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
wall_core_bulk_temperature_contrast_K,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_qoi_neighbor_uq_after_target_plus/heat_flow_match_diagnostics.csv,true,true,true,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
Q_wall_W,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/target_plus_qoi_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
mdot_exchange_positive_outward_proxy_kg_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/target_plus_qoi_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
tau_recirc_proxy_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/target_plus_qoi_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
wall_core_bulk_temperature_contrast_K,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/target_plus_qoi_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
Q_wall_W,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/same_qoi_neighbor_window_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
mdot_exchange_positive_outward_proxy_kg_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/same_qoi_neighbor_window_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
tau_recirc_proxy_s,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/same_qoi_neighbor_window_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
wall_core_bulk_temperature_contrast_K,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/same_qoi_neighbor_window_rows.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
Q_wall_W,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_three_case_cell_vtk_manifest/three_case_cell_vtk_validation_join.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
Q_wall_W,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_three_case_cell_vtk_manifest/source_sink_wall_loss_readiness.csv,true,true,false,false,curated artifact names the exact QOI label but does not contain an accepted same-label coarse/medium/fine mesh-family row
