case_id,mode_id,part,model_Tmean_K,cfd_Tmean_K,Tmean_error_K,loop_delta_error_K,temperature_periodicity_error_K,interpretation
salt_2,M1_full_cfd_segment_heat_flux_pressure_root,part1,373.282174312,450.3,-77.0178256879,-3.58915930037,0.00453711434506,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_2,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,268.213814361,450.3,-182.086185639,0.512090850886,0.00672348365384,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_2,M2_cfd_heater_test_section_cooler_pressure_root,part2,426.391704039,450.3,-23.9082959608,-1.55721973878,2.20200035983e-09,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_2,M3_cfd_heater_cooler_pressure_root,part3,431.959437383,450.3,-18.3405626168,-2.05754475644,-1.27698740471e-09,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_3,M1_full_cfd_segment_heat_flux_pressure_root,part1,268.796669525,463.7,-194.903330475,0.368534254495,0.0135367436253,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_3,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,530.09721448,463.7,66.3972144801,0.262537096871,0.0134225810416,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_3,M2_cfd_heater_test_section_cooler_pressure_root,part2,436.907310845,463.7,-26.7926891551,-1.70650875862,-1.73457692654e-09,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_3,M3_cfd_heater_cooler_pressure_root,part3,446.779882571,463.7,-16.9201174292,-2.38066705784,7.18273440725e-10,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_4,M1_full_cfd_segment_heat_flux_pressure_root,part1,266.422578501,479.2,-212.777421499,17.87715749,0.00790795406374,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_4,M1b_full_cfd_segment_heat_flux_fixed_mdot,part1,268.96308901,479.2,-210.23691099,0.196062344035,0.00327460553643,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_4,M2_cfd_heater_test_section_cooler_pressure_root,part2,448.796748684,479.2,-30.4032513165,-1.9274621001,-2.91345259029e-09,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
salt_4,M3_cfd_heater_cooler_pressure_root,part3,463.689977386,479.2,-15.5100226135,-2.79165447383,-2.94284063784e-09,Large Tmean offsets indicate a reference-state/start-temperature or energy distribution issue before probe-level fitting.
