case_id,mode_id,kind,n,mean_error_K,rmse_K,bias_fraction_of_rmse
salt_2,M1_full_cfd_segment_heat_flux_pressure_root,TP,5,-74.1481351231,74.2455688255,0.998687683265
salt_2,M1_full_cfd_segment_heat_flux_pressure_root,TW,10,-75.8277183837,76.6445246355,0.989342927551
salt_2,M1b_full_cfd_segment_heat_flux_fixed_mdot,TP,5,-178.102101076,178.177334902,0.999577758719
salt_2,M1b_full_cfd_segment_heat_flux_fixed_mdot,TW,10,-180.679974576,181.086334931,0.997755985533
salt_2,M2_cfd_heater_test_section_cooler_pressure_root,TP,5,-20.5472341895,20.9977644603,0.978543893489
salt_2,M2_cfd_heater_test_section_cooler_pressure_root,TW,10,-23.1842871676,25.8373342637,0.897317305686
salt_2,M3_cfd_heater_cooler_pressure_root,TP,5,-15.0914226931,15.6490991249,0.964363671842
salt_2,M3_cfd_heater_cooler_pressure_root,TW,10,-17.6424155189,20.9549296417,0.841921963973
salt_3,M1_full_cfd_segment_heat_flux_pressure_root,TP,5,-190.68191417,190.750154638,0.999642252094
salt_3,M1_full_cfd_segment_heat_flux_pressure_root,TW,10,-192.50952636,192.922076267,0.997861572325
salt_3,M1b_full_cfd_segment_heat_flux_fixed_mdot,TP,5,70.5898422849,70.7713724054,0.997434978094
salt_3,M1b_full_cfd_segment_heat_flux_fixed_mdot,TW,10,66.8290517331,68.0042884171,0.982718197465
salt_3,M2_cfd_heater_test_section_cooler_pressure_root,TP,5,-23.2136972631,23.5973356863,0.983742299201
salt_3,M2_cfd_heater_test_section_cooler_pressure_root,TW,10,-25.1344762418,27.8147944027,0.903636959449
salt_3,M3_cfd_heater_cooler_pressure_root,TP,5,-13.4850396806,14.0600104586,0.959105949484
salt_3,M3_cfd_heater_cooler_pressure_root,TW,10,-15.3197968177,19.3315846149,0.792474963786
salt_4,M1_full_cfd_segment_heat_flux_pressure_root,TP,5,-204.130200375,204.432770056,0.998519955092
salt_4,M1_full_cfd_segment_heat_flux_pressure_root,TW,10,-211.138089492,211.913525536,0.996340790224
salt_4,M1b_full_cfd_segment_heat_flux_fixed_mdot,TP,5,-206.399336262,206.458182935,0.999714970499
salt_4,M1b_full_cfd_segment_heat_flux_fixed_mdot,TW,10,-207.707681757,208.131111803,0.99796556102
salt_4,M2_cfd_heater_test_section_cooler_pressure_root,TP,5,-27.2441619806,27.5357216333,0.989411584827
salt_4,M2_cfd_heater_test_section_cooler_pressure_root,TW,10,-28.6669600174,31.3059199003,0.915704125889
salt_4,M3_cfd_heater_cooler_pressure_root,TP,5,-12.5313987993,13.0560668814,0.959814231431
salt_4,M3_cfd_heater_cooler_pressure_root,TW,10,-13.8673771213,18.6225154707,0.744656496226
