case_id,span,leg_class,Re,x_plus,L_m,D_m,q_dyn_Pa,dp_span_Pa,dp_minor_attributed_Pa,dp_pipe_only_Pa,minor_fraction_pct,f_corrected_over_flam,f3shah_ratio,phi_original,phi_pipe_only,phi_reduction_pct,n_adjacent_corners,valid
salt_2,left_lower_leg,upcomer,71.13,0.0786,0.1219,0.02181,0.2034,1.5864,0.2498,1.3367,15.74,1.5512,1.7485,0.8872,0.7475,15.74,1,True
salt_2,left_upper_leg,upcomer,66.65,0.0984,0.1431,0.02181,0.1803,1.1779,0.199,0.9789,16.89,1.0369,1.6788,0.6176,0.5133,16.89,1,True
salt_2,lower_leg,heater,68.0,0.2405,0.3568,0.02182,0.1851,7.5947,0.6321,6.9626,8.32,2.6656,1.45,1.8384,1.6854,8.32,2,True
salt_2,right_leg,downcomer,61.16,0.2741,0.3658,0.02181,0.1867,7.1884,0.6822,6.5062,9.49,2.1941,1.423,1.5418,1.3955,9.49,2,True
salt_2,upper_leg,cooler,62.71,0.2608,0.3569,0.02182,0.18,6.7085,0.4988,6.2096,7.44,2.2334,1.4331,1.5584,1.4426,7.44,2,True
salt_3,left_lower_leg,upcomer,96.77,0.0578,0.1219,0.02181,0.2711,1.7912,0.3284,1.4628,18.33,1.7872,1.8492,0.9665,0.7893,18.33,1,True
salt_3,left_upper_leg,upcomer,88.44,0.0742,0.1431,0.02181,0.2312,0.9936,0.2513,0.7423,25.29,0.9056,1.7671,0.5125,0.3829,25.29,1,True
salt_3,lower_leg,heater,90.2,0.1813,0.3568,0.02182,0.2383,7.5074,0.747,6.7604,9.95,2.7154,1.5137,1.7939,1.6154,9.95,2,True
salt_3,right_leg,downcomer,84.75,0.1978,0.3658,0.02181,0.2588,8.9197,0.7735,8.1462,8.67,2.7217,1.4932,1.8228,1.6647,8.67,2,True
salt_3,upper_leg,cooler,83.86,0.195,0.3569,0.02182,0.2342,6.7166,0.6062,6.1105,9.02,2.2975,1.4965,1.5353,1.3967,9.02,2,True
salt_4,left_lower_leg,upcomer,134.88,0.0414,0.1219,0.02181,0.3737,2.1895,0.4319,1.7576,19.73,2.2092,1.9599,1.1272,0.9048,19.73,1,True
salt_4,left_upper_leg,upcomer,119.83,0.0547,0.1431,0.02181,0.3034,0.8725,0.3508,0.5217,40.21,0.8209,1.8671,0.4396,0.2629,40.21,1,True
salt_4,lower_leg,heater,122.6,0.1334,0.3568,0.02182,0.3132,7.6969,0.8691,6.8278,11.29,2.8788,1.592,1.8083,1.6041,11.29,2,True
salt_4,right_leg,downcomer,118.0,0.1421,0.3658,0.02181,0.3548,10.5136,0.8889,9.6248,8.45,3.2589,1.5751,2.0691,1.8941,8.45,2,True
salt_4,upper_leg,cooler,114.88,0.1424,0.3569,0.02182,0.3118,6.7616,0.8025,5.959,11.87,2.3804,1.5746,1.5118,1.3324,11.87,2,True
