source_id,case_label,span_name,hydraulic_classification,field_row_count,usable_fraction,min_abs_delta_t_wall_bulk_k,mean_abs_delta_t_wall_bulk_k,mean_nu_local_signed,enthalpy_residual_mean,enthalpy_sign_consistency_fraction,readiness_status,readiness_reason
val_water_test_1_coarse_mesh_laminar,Water 1,left_lower_leg,excluded,5760,0.475,0.0002839990565348671,0.4154063327443817,3.3263715487249046,0.5562258647615638,0.8,blocked_hydraulic_exclusion,hydraulic branch is already excluded in the water evidence subset
val_water_test_2_coarse_mesh_laminar,Water 2,left_lower_leg,excluded,5760,0.575,0.0009959375243511204,0.47070266792747567,5.636935827710296,0.9585176461176316,0.6,blocked_hydraulic_exclusion,hydraulic branch is already excluded in the water evidence subset
val_water_test_3_coarse_mesh_laminar,Water 3,left_lower_leg,excluded,5760,0.69375,0.0005480805756405971,0.510239530783773,5.78519412890648,1.2960462729268785,0.4,blocked_hydraulic_exclusion,hydraulic branch is already excluded in the water evidence subset
val_water_test_4_coarse_mesh_laminar,Water 4,left_lower_leg,excluded,5760,0.7125,0.0005933811364116082,0.5571921224868335,8.959928089512083,2.3060236760297004,0.2,blocked_hydraulic_exclusion,hydraulic branch is already excluded in the water evidence subset
val_water_test_1_coarse_mesh_laminar,Water 1,left_upper_leg,contextual_only,6480,1.0,0.21407975793408696,0.7080991868136798,4.353960623409284,0.43256425980621244,1.0,closure_rebuild_candidate,thermal support exists and closure is moderate enough for the next rebuild pass
val_water_test_2_coarse_mesh_laminar,Water 2,left_upper_leg,contextual_only,6480,1.0,0.23450823190626124,0.8425181065948802,4.717374934010072,0.4490925394750655,1.0,closure_rebuild_candidate,thermal support exists and closure is moderate enough for the next rebuild pass
val_water_test_3_coarse_mesh_laminar,Water 3,left_upper_leg,contextual_only,6480,1.0,0.26281074234606194,0.8438177018443729,5.640713311298861,0.4232360619657946,1.0,closure_rebuild_candidate,thermal support exists and closure is moderate enough for the next rebuild pass
val_water_test_4_coarse_mesh_laminar,Water 4,left_upper_leg,contextual_only,6480,0.9888888888888889,0.1416263880625479,0.6439561414306507,11.175306024282165,0.709559235658931,1.0,support_present_context_only,thermal support exists but closure is not strong enough for candidate-grade use
val_water_test_1_coarse_mesh_laminar,Water 1,lower_leg,contextual_only,260,0.46153846153846156,0.5794403299890973,3.3502170096694073,10.435473601825304,0.3601417115013336,1.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
val_water_test_2_coarse_mesh_laminar,Water 2,lower_leg,contextual_only,260,0.46153846153846156,0.6940011544093636,3.9425787267280166,11.539257730807595,0.3439028712095936,1.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
val_water_test_3_coarse_mesh_laminar,Water 3,lower_leg,contextual_only,260,0.46153846153846156,0.7791586540477624,4.354711372133535,12.526141823189946,0.3967150644318568,1.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
val_water_test_4_coarse_mesh_laminar,Water 4,lower_leg,contextual_only,260,0.46153846153846156,0.8158276423944244,5.16460250075387,14.236665258110017,0.4386988744418675,1.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
val_water_test_1_coarse_mesh_laminar,Water 1,right_leg,water_family_candidate,250,0.16,0.34846741742865106,0.8640843102893278,3.831406281715248,6.733786161709965,1.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
val_water_test_2_coarse_mesh_laminar,Water 2,right_leg,water_family_candidate,250,0.16,0.5040181226833624,0.8888648549719931,4.365873917705613,9.060239801868443,0.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
val_water_test_3_coarse_mesh_laminar,Water 3,right_leg,water_family_candidate,250,0.16,0.6401888332923704,1.0070226526598445,4.472817651995286,8.790071169986641,0.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
val_water_test_4_coarse_mesh_laminar,Water 4,right_leg,water_family_candidate,250,0.16,0.8017044570280518,1.1971646384489574,5.153243325986444,8.361161434305165,0.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
val_water_test_1_coarse_mesh_laminar,Water 1,test_section_span,water_family_candidate,4860,1.0,0.20946837370144067,0.8369125950478572,8.0327594566223,2.5729258663870374,0.0,closure_rebuild_priority,thermal support is strong but enthalpy-vs-wall sign consistency is poor
val_water_test_2_coarse_mesh_laminar,Water 2,test_section_span,water_family_candidate,4860,1.0,0.38710352574571516,1.0041959288642934,8.97863369074805,2.6560031552638983,0.0,closure_rebuild_priority,thermal support is strong but enthalpy-vs-wall sign consistency is poor
val_water_test_3_coarse_mesh_laminar,Water 3,test_section_span,water_family_candidate,4860,1.0,0.34930280280275383,1.111674301986793,9.728436917727672,2.6679759302295323,0.0,closure_rebuild_priority,thermal support is strong but enthalpy-vs-wall sign consistency is poor
val_water_test_4_coarse_mesh_laminar,Water 4,test_section_span,water_family_candidate,4860,1.0,0.26275543146300606,1.3274119219183425,12.34615964860332,1.6059910001927167,0.0,closure_rebuild_priority,thermal support is strong but enthalpy-vs-wall sign consistency is poor
val_water_test_1_coarse_mesh_laminar,Water 1,upper_leg,water_family_candidate,11910,0.8293870696893367,1.15844938477494e-05,1.7462849133215956,10.49887823154435,2.0028218410733603,0.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
val_water_test_2_coarse_mesh_laminar,Water 2,upper_leg,water_family_candidate,11910,0.8809403862300588,0.00016201169074747668,2.1156686909338647,11.587302525180483,2.014839416105005,0.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
val_water_test_3_coarse_mesh_laminar,Water 3,upper_leg,water_family_candidate,11910,0.8806045340050378,3.0467459794181195e-05,2.3910964350058084,12.16704629604558,1.930389728876067,0.0,blocked_by_support_or_closure,"thermal support fraction, delta-T support, or closure consistency is too weak"
