blocker_id,blocker,severity,why_it_blocks_prediction,current_evidence,minimum_resolution
B1,cooler_HX_predictive_duty,HIGH,"cooler duty mismatch is first order; supplied cooler duty is not a fully predictive model","AGENT-270: CFD cooler-duty replay drops mean abs Tmean error from 63.746 K to 4.456 K","fit and validate low-dimensional UA/epsilon-NTU or explicitly scope imposed-cooler mode"
B2,heater_transfer_efficiency,HIGH,"heater imposed input is not identical to heat delivered to fluid","AGENT-279: heater realized/imposed ratio about 0.918126","fit one global/family eta_heater or implement physical heater/wall source model"
B3,test_section_source_sink_contract,HIGH,"current pure-source treatment conflicts with realized CFD net sink","AGENT-279 and AGENT-263: setup +37 W but realized wallHeatFlux is net sink","represent test section as imposed source plus external loss"
B4,wall_layer_external_drive,HIGH,"CFD external boundary uses wall/near-wall temperature; 1D bulk drive over-removes heat","AGENT-279 N2 hA/Ta replay mean abs Tmean error 22.650 K vs N1 4.934 K","extract wall/shell/bulk temperatures and implement E0/E1/E2 mapping test"
B5,radiation_inseparability,MED_HIGH,"cannot separately fit convection and radiation from current rcExternalTemperature wallHeatFlux","AGENT-264: emissivity/Tsur affect heat flux but no separate qr/radiation ledger","controlled radiation rerun or keep combined external effective boundary"
B6,thermal_mesh_and_reconstructed_T,HIGH,"thermal h/Nu/UA rows cannot support thesis-strength fitting without clean mesh/time gates","AGENT-270: 0 fit candidates; AGENT-284: thermal GCI lane blocked","clean thermal extraction and mesh comparison for at least Salt2 first"
B7,hydraulic_closure_fit_safety,MED_HIGH,"mdot prediction depends on pressure/friction/minor losses, and not all spans are fit-safe","AGENT-262: limited pressure-gradient fit-safe spans; momentum-corrected rows diagnostic","use pressure-only admitted rows and quantify residual before thermal coupling claims"
B8,sensor_location_and_local_state,MEDIUM,"sensor temperature prediction is local and should not be judged before energy/branch parity","Fluid README marks current sensor coordinates provisional","confirm sensor map and delay local sensor claims until branch heat parity passes"
B9,validation_split_identifiability,HIGH,"no credible predictive claim without held-out cases and parameter identifiability","AGENT-270: 0 validation rows for fit parameters","define train/validation split after admission gates and limit parameter count"
B10,Fluid_external_boundary_API_gap,MEDIUM,"current Fluid API does not accept full patch/role h/Ta/Tsur/layer boundary dictionaries","AGENT-271 B4 contract-only; AGENT-279 uses repo-local approximation","add first-class external boundary rows or a tested repo-local adapter"
