input_family,input_item,available_today,current_source,predictive_runtime_input,readiness,blocker,next_gate
geometry,loop segment geometry,yes,Fluid geometry.py and existing geometry references,yes,usable,"sensor and sub-segment mapping still provisional for local probe claims",confirm sensor/station locations and section mapping
properties,salt/wall/insulation/material properties,yes,Fluid materials.py and CFD dictionaries,yes,usable_with_sensitivity_needed,"HITEC property uncertainty and temperature dependence need sensitivity bounds",run property sensitivity task before thesis claims
heater,heater electrical/input power,yes,case registry and CFD boundary dictionaries,yes,usable,"imposed heater power differs from realized heat transfer to fluid",fit or bound global heater transfer efficiency after source contract review
heater,heater heat transferred to fluid,yes,CFD realized wallHeatFlux diagnostics,no,diagnostic_only,"realized wallHeatFlux is a validation/comparison output not a predictive input",replace with eta_heater_global or wall/source model
test_section,37 W test-section setup source,yes,Fluid/CFD setup contract,yes_but_under_review,blocked_model_form,"CFD realized test-section wall flux is net sink in Salt2-4",model as source plus external loss and validate section heat parity
cooler,cooler imposed duty,yes,CFD externalTemperature imposed duty and realized wallHeatFlux,yes_for_intermediate_mode,usable_for_imposed_cooler_mode,"not fully predictive if cooler duty is supplied rather than solved",separate imposed-cooler mode from predictive-HX mode
cooler,HX UA or epsilon-NTU parameters,partial,Fluid predictive_airside_hx and AGENT-270 fit scaffold,yes,highest_priority_fit,"current predictive HX under-removes heat; cooler duty mismatch is first order",fit low-dimensional HX parameter against admitted training rows and hold out cases
ambient,ambient Ta/Tsur,yes,CFD patch dictionaries and Fluid scenarios,yes,usable,"Ta/Tsur values vary by case and radiation handling is inseparable",define scenario contract and radiation policy per run class
external_wall,patch-level h and layer metadata,yes,AGENT-263 patch table,yes_with_api_work,partial,"Fluid lacks first-class patch/role external-boundary dictionary injection",implement external boundary row API or repo-local equivalent
external_wall,wall-layer driving temperature,partial,AGENT-281 mapping recommendations,no,blocked,"CFD boundary acts at wall/near-wall state; 1D bulk driving temperature overcools in N2",extract T_wall_inner/T_wall_shell/T_path_bulk and test E0/E1/E2 mappings
radiation,emissivity/Tsur contribution,metadata_yes_output_no,AGENT-264 rcExternalTemperature audit,yes_but_inseparable,blocked,"emissivity/Tsur affect heat flux but no separate radiation ledger exists",controlled rerun or source/output term before separating convection and radiation
internal_htc,baseline internal Nu/HTC law,yes,Fluid solver.py,yes,usable_baseline,"may not represent developing/recirculating mixed-convection wall layer",hold at baseline until external/HX/source residuals are separated
internal_htc,CFD effective h/Nu rows,partial,AGENT-270 and prior thermal extraction,no,diagnostic_only,"0 fit-candidate thermal rows; mesh/time/recirculation gates not passed",repair/extract thermal mesh rows and apply sign/support gates
hydraulics,pressure/friction/minor-loss closure,yes,Fluid and July pressure packages,yes,partial,"fit-safe pressure-gradient spans limited; recirculation/upcomer remains difficult",use pressure-only fit-safe rows and keep thermal admission separate
mdot,measured/CFD mdot,yes,CFD/latest-window tables,no,validation_target,"fixed-mdot replays use mdot diagnostically but predictive model must solve it",run pressure-rooted forward mode and score mdot as output
sensors,TP/TW sensor prediction infrastructure,yes,Fluid README/geometry.py,yes,partial,"coordinates are provisional; local sensor temperatures require energy parity first",confirm sensor coordinates and compare only after section heat parity
validation,held-out Salt cases,partial,AGENT-270 heldout scaffold and Salt1 terminal harvest context,no,blocked,"no admitted fitted thermal corrections yet and limited heldout split",define train/validation split after terminal/admission gates
uncertainty,time-window uncertainty,partial,AGENT-272/273/275 uncertainty story,no,partial,"must be attached to fitted correction scoring",link forward predictions to late-window uncertainty rows
uncertainty,mesh uncertainty,partial,AGENT-284 hydraulic GCI; thermal lane blocked,no,blocked_for_thermal,"0 publication-ready Closure-QOI GCI rows and thermal fine extraction pending",complete thermal extraction/GCI before thesis-strength thermal claims
