observation_id,source_id,case_id,run_class,observable_type,span,qoi_name,value,units,time_window_start_s,time_window_end_s,source_path,fit_eligible,validation_eligible,quality_flags,gate_verdict,needs_special_gate_scrutiny,notes
viscosity_screening_salt_test_2_jin_coarse_mesh:lower_leg:distributed_friction_pa,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,pressure_span_term,lower_leg,distributed_friction_pa,7.594737594921601,Pa,,,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,True,True,,admitted_mainline,False,pressure ledger lacks explicit extraction window; join to source-window audit before final fitting
viscosity_screening_salt_test_2_jin_coarse_mesh:lower_leg:development_loss_pa,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,pressure_span_term,lower_leg,development_loss_pa,1.282016419920414,Pa,,,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,False,True,,admitted_mainline,False,pressure ledger lacks explicit extraction window; join to source-window audit before final fitting
viscosity_screening_salt_test_2_jin_coarse_mesh:lower_leg:minor_loss_pa,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,pressure_span_term,lower_leg,minor_loss_pa,0.49951598888872795,Pa,,,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,False,True,,admitted_mainline,False,pressure ledger lacks explicit extraction window; join to source-window audit before final fitting
viscosity_screening_salt_test_2_jin_coarse_mesh:lower_leg:f_debuoyed,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,pressure_span_term,lower_leg,f_debuoyed,2.5088765096488217,dimensionless,,,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,True,True,,admitted_mainline,False,pressure ledger lacks explicit extraction window; join to source-window audit before final fitting
viscosity_screening_salt_test_2_jin_coarse_mesh:right_leg:distributed_friction_pa,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,pressure_span_term,right_leg,distributed_friction_pa,7.188434048086719,Pa,,,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,True,True,,admitted_mainline,False,pressure ledger lacks explicit extraction window; join to source-window audit before final fitting
viscosity_screening_salt_test_2_jin_coarse_mesh:right_leg:development_loss_pa,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,pressure_span_term,right_leg,development_loss_pa,1.385941057806892,Pa,,,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,False,True,,admitted_mainline,False,pressure ledger lacks explicit extraction window; join to source-window audit before final fitting
viscosity_screening_salt_test_2_jin_coarse_mesh:right_leg:minor_loss_pa,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,pressure_span_term,right_leg,minor_loss_pa,0.764693936138507,Pa,,,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,False,True,,admitted_mainline,False,pressure ledger lacks explicit extraction window; join to source-window audit before final fitting
viscosity_screening_salt_test_2_jin_coarse_mesh:right_leg:f_debuoyed,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,pressure_span_term,right_leg,f_debuoyed,2.2959982845973337,dimensionless,,,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,True,True,,admitted_mainline,False,pressure ledger lacks explicit extraction window; join to source-window audit before final fitting
viscosity_screening_salt_test_2_jin_coarse_mesh:left_lower_leg:distributed_friction_pa,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,pressure_span_term,left_lower_leg,distributed_friction_pa,1.5864238159062247,Pa,,,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,False,True,recirculation,admitted_mainline,False,pressure ledger lacks explicit extraction window; join to source-window audit before final fitting
viscosity_screening_salt_test_2_jin_coarse_mesh:left_lower_leg:development_loss_pa,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,mainline_jin_continuation,pressure_span_term,left_lower_leg,development_loss_pa,0.7655269557534745,Pa,,,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,False,True,recirculation,admitted_mainline,False,pressure ledger lacks explicit extraction window; join to source-window audit before final fitting
