case_key,source_id,run_class,case_latest_processor_time_s,prior_contract_requested_start_s,prior_contract_requested_end_s,prior_contract_latest_retained_time_s,prior_contract_status,latest_window_status,prior_package_root,case_root
salt1_jin_june18_mainline,viscosity_screening_salt_test_1_jin_coarse_mesh,mainline_jin_continuation,3756.33125,0.0,3756.33,3756.33125,checkpoint_short_window_18,prior_extraction_older_than_case_latest,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt1_jin_june25_basecont,viscosity_screening_salt_test_1_jin_coarse_mesh,normal_relaunch_base_continuation,4026.15625,0.0,3756.33,3756.33125,checkpoint_short_window_18,prior_extraction_older_than_case_latest,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt2_jin_mainline,viscosity_screening_salt_test_2_jin_coarse_mesh,mainline_jin_continuation,7915.0,2428.0,2431.0,5397.0,checkpoint_full_window_20,prior_extraction_older_than_case_latest,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt3_jin_mainline,viscosity_screening_salt_test_3_jin_coarse_mesh,mainline_jin_continuation,7618.0,2511.0,2514.0,5286.0,checkpoint_full_window_20,prior_extraction_older_than_case_latest,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt4_jin_mainline,viscosity_screening_salt_test_4_jin_coarse_mesh,mainline_jin_continuation,10000.0,2079.0,2082.0,8123.0,checkpoint_full_window_20,prior_extraction_older_than_case_latest,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt1_jin_hi10q_corrected,salt1_jin_hi10q_corrected,corrected_salt_q_perturbation,4010.590361446,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt1_jin_lo10q_corrected,salt1_jin_lo10q_corrected,corrected_salt_q_perturbation,5908.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt2_jin_hi10q_corrected,salt2_jin_hi10q_corrected,corrected_salt_q_perturbation,9356.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_jin_hi5q_corrected,salt2_jin_hi5q_corrected,corrected_salt_q_perturbation,9447.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_jin_lo10q_corrected,salt2_jin_lo10q_corrected,corrected_salt_q_perturbation,9859.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_jin_lo5q_corrected,salt2_jin_lo5q_corrected,corrected_salt_q_perturbation,9854.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt3_jin_hi10q_corrected,salt3_jin_hi10q_corrected,corrected_salt_q_perturbation,7637.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt3_jin_hi5q_corrected,salt3_jin_hi5q_corrected,corrected_salt_q_perturbation,7639.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt3_jin_lo10q_corrected,salt3_jin_lo10q_corrected,corrected_salt_q_perturbation,9103.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt3_jin_lo5q_corrected,salt3_jin_lo5q_corrected,corrected_salt_q_perturbation,9070.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt4_jin_hi10q_corrected,salt4_jin_hi10q_corrected,corrected_salt_q_perturbation,11242.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt4_jin_hi5q_corrected,salt4_jin_hi5q_corrected,corrected_salt_q_perturbation,11129.0,,,,,no_prior_contract,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
