case_key,case_id,source_id,run_class,fit_use_status,job_id,job_state,needs_special_gate_scrutiny,recommendation,case_root,latest_processor_time_s,retained_numeric_time_count,t_boundary_exists,bc_type_counts_json,unique_thickness_m,has_1p4in_insulation_layer,insulation_label,rc_external_patch_count,emissivity_patch_count,q_patch_count,has_radiation_properties,has_qr_or_G_field,radiation_label
salt1_jin_june18_mainline,salt_1,viscosity_screening_salt_test_1_jin_coarse_mesh,mainline_jin_continuation,held_salt1_qualification_required,,,,,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,3756.33125,18,True,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",0.001651|0.0022|0.003175|0.006096|0.03556,True,contains_0.03556m_1.4in_layer,36,36,7,False,False,surface_emissivity_bc_present_no_volume_radiation_field
salt1_jin_june25_basecont,salt_1,viscosity_screening_salt_test_1_jin_coarse_mesh,normal_relaunch_base_continuation,held_salt1_qualification_required_latest_candidate,,,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,4026.15625,60,True,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",0.001651|0.0022|0.003175|0.006096|0.03556,True,contains_0.03556m_1.4in_layer,36,36,7,False,False,surface_emissivity_bc_present_no_volume_radiation_field
salt2_jin_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,mainline_jin_continuation,fit_admissible_current_mainline,,,,,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,7915.0,67,True,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",0.001651|0.0022|0.003175|0.006096|0.03556,True,contains_0.03556m_1.4in_layer,36,36,7,False,False,surface_emissivity_bc_present_no_volume_radiation_field
salt3_jin_mainline,salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,mainline_jin_continuation,fit_admissible_current_mainline,,,,,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,7618.0,66,True,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",0.001651|0.0022|0.003175|0.006096|0.03556,True,contains_0.03556m_1.4in_layer,36,36,7,False,False,surface_emissivity_bc_present_no_volume_radiation_field
salt4_jin_mainline,salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,mainline_jin_continuation,fit_admissible_current_mainline,,,,,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,10000.0,74,True,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",0.001651|0.0022|0.003175|0.006096|0.03556,True,contains_0.03556m_1.4in_layer,36,36,7,False,False,surface_emissivity_bc_present_no_volume_radiation_field
salt1_jin_hi10q_corrected,salt_1,salt1_jin_hi10q_corrected,corrected_salt_q_perturbation,held_until_formal_gate,3275448,RUNNING,True,hold_for_coordinator_review,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,4010.590361446,39,True,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",0.001651|0.0022|0.003175|0.006096|0.03556,True,contains_0.03556m_1.4in_layer,36,36,7,False,False,surface_emissivity_bc_present_no_volume_radiation_field
salt1_jin_lo10q_corrected,salt_1,salt1_jin_lo10q_corrected,corrected_salt_q_perturbation,held_until_formal_gate,3275448,RUNNING,True,hold_for_coordinator_review,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,5908.0,39,True,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",0.001651|0.0022|0.003175|0.006096|0.03556,True,contains_0.03556m_1.4in_layer,36,36,7,False,False,surface_emissivity_bc_present_no_volume_radiation_field
salt2_jin_hi10q_corrected,salt_2,salt2_jin_hi10q_corrected,corrected_salt_q_perturbation,held_until_formal_gate,3275449,RUNNING,False,hold_running_wait_for_formal_gate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,9356.0,88,True,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",0.001651|0.0022|0.003175|0.006096|0.03556,True,contains_0.03556m_1.4in_layer,36,36,7,False,False,surface_emissivity_bc_present_no_volume_radiation_field
salt2_jin_hi5q_corrected,salt_2,salt2_jin_hi5q_corrected,corrected_salt_q_perturbation,held_until_formal_gate,3275449,RUNNING,False,hold_running_wait_for_formal_gate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,9447.0,88,True,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",0.001651|0.0022|0.003175|0.006096|0.03556,True,contains_0.03556m_1.4in_layer,36,36,7,False,False,surface_emissivity_bc_present_no_volume_radiation_field
salt2_jin_lo10q_corrected,salt_2,salt2_jin_lo10q_corrected,corrected_salt_q_perturbation,held_until_formal_gate,3275448,RUNNING,False,hold_running_wait_for_formal_gate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,9859.0,88,True,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",0.001651|0.0022|0.003175|0.006096|0.03556,True,contains_0.03556m_1.4in_layer,36,36,7,False,False,surface_emissivity_bc_present_no_volume_radiation_field
