join_key,source_id,case_id,feature,feature_type,downstream_span,adjacent_spans,K_apparent,K_local_old_dz_proxy,K_local_centerline,delta_K_local_centerline_minus_proxy,feature_total_pressure_loss_pa,old_adjacent_straight_loss_subtracted_pa,centerline_adjacent_straight_loss_subtracted_pa,q_ref_local_pa,tap_length_proxy_m,centerline_tap_length_m,centerline_length_status,fit_eligible,validation_eligible,admission_status,coefficient_name_allowed,required_next_action,quality_flags,source_bend_minor_loss_csv
viscosity_screening_salt_test_2_jin_coarse_mesh:corner_lower_left:lower_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_lower_left,bend/junction_corner,lower_leg,left_lower_leg;lower_leg,8.211480628569191,2.068513235146338,-33.9229454105,-35.9914586456,0.49951598888872795,0.37368540109087495,2.5630967716,0.06083141536628894,0.01755775,0.120428071876,resolved_from_existing_mesh_centerline,no,yes,diagnostic_only_recirculation_adjacent,no_universal_K_yet,Exclude from universal component K fitting; preserve as recirculation/branch diagnostic.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
viscosity_screening_salt_test_2_jin_coarse_mesh:corner_lower_right:right_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_lower_right,bend/junction_corner,right_leg,lower_leg;right_leg,16.503825877025502,8.747643945836534,-49.8511935701,-58.598837516,0.764693936138507,0.3593775973257073,3.07451625954,0.04633434343263493,0.017557749985416676,0.15020855004,resolved_from_existing_mesh_centerline,no,yes,blocked_mesh_gci_after_tap_refresh,no_universal_K_yet,Carry centerline-length K as diagnostic; require mesh-family/GCI pressure evidence before fit admission.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
viscosity_screening_salt_test_2_jin_coarse_mesh:corner_upper_right:upper_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_upper_right,bend/junction_corner,upper_leg,right_leg;upper_leg,15.923062359144723,6.959989290443755,-63.9000046029,-70.8599938934,0.5996790416038161,0.3375586270047289,3.00621948304,0.03766103705920717,0.017557750014583262,0.156365282797,resolved_from_existing_mesh_centerline,no,yes,blocked_mesh_gci_after_tap_refresh,no_universal_K_yet,Carry centerline-length K as diagnostic; require mesh-family/GCI pressure evidence before fit admission.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
viscosity_screening_salt_test_2_jin_coarse_mesh:corner_upper_left:left_upper_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_upper_left,bend/junction_corner,left_upper_leg,upper_leg;left_upper_leg,6.245177796682506,1.0660717239286341,-28.6095419427,-29.6756136666,0.397984716988182,0.3300474592911758,2.22117707818,0.06372672323269885,0.017557749999999706,0.118161406024,resolved_from_existing_mesh_centerline,no,yes,diagnostic_only_recirculation_adjacent,no_universal_K_yet,Exclude from universal component K fitting; preserve as recirculation/branch diagnostic.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
viscosity_screening_salt_test_2_jin_coarse_mesh:test_section_complex:left_lower_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_complex,connector_expansion_contraction,left_lower_leg,left_upper_leg;test_section_span;left_lower_leg,,,,,,,,0.20336177441512363,,,blocked_requires_raw_two_tap_extraction,no,yes,blocked_missing_centerline_tap_length,no_universal_K_yet,Run raw two-tap extraction or add endpoint mapping before recomputing K.,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
viscosity_screening_salt_test_3_jin_coarse_mesh:corner_lower_left:lower_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_lower_left,bend/junction_corner,lower_leg,left_lower_leg;lower_leg,8.304110933357741,3.6337489304866963,-23.7297596348,-27.3635085653,0.656791856335483,0.3693900231152213,2.53363490504,0.07909237504247926,0.01755775,0.120428071876,resolved_from_existing_mesh_centerline,no,yes,diagnostic_only_recirculation_adjacent,no_universal_K_yet,Exclude from universal component K fitting; preserve as recirculation/branch diagnostic.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
viscosity_screening_salt_test_3_jin_coarse_mesh:corner_lower_right:right_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_lower_right,bend/junction_corner,right_leg,lower_leg;right_leg,13.810210784371353,7.232679771356456,-42.4613158707,-49.6939956421,0.8372878613242898,0.39878369422962623,3.41163990486,0.060628173921271795,0.017557749985416676,0.15020855004,resolved_from_existing_mesh_centerline,no,yes,blocked_mesh_gci_after_tap_refresh,no_universal_K_yet,Carry centerline-length K as diagnostic; require mesh-family/GCI pressure evidence before fit admission.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
viscosity_screening_salt_test_3_jin_coarse_mesh:corner_upper_right:upper_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_upper_right,bend/junction_corner,upper_leg,right_leg;upper_leg,14.333759374743044,6.6732125324752225,-53.8893086366,-60.5625211691,0.7097390466380116,0.3793135541355117,3.37807925912,0.049515205891387776,0.017557750014583262,0.156365282797,resolved_from_existing_mesh_centerline,no,yes,blocked_mesh_gci_after_tap_refresh,no_universal_K_yet,Carry centerline-length K as diagnostic; require mesh-family/GCI pressure evidence before fit admission.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
viscosity_screening_salt_test_3_jin_coarse_mesh:corner_upper_left:left_upper_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_upper_left,bend/junction_corner,left_upper_leg,upper_leg;left_upper_leg,6.224711684075602,2.1319154340581776,-21.3192822486,-23.4511976827,0.5025792250818311,0.3304497416344269,2.22388438677,0.0807393579958983,0.017557749999999706,0.118161406024,resolved_from_existing_mesh_centerline,no,yes,diagnostic_only_recirculation_adjacent,no_universal_K_yet,Exclude from universal component K fitting; preserve as recirculation/branch diagnostic.,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
viscosity_screening_salt_test_3_jin_coarse_mesh:test_section_complex:left_lower_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,test_section_complex,connector_expansion_contraction,left_lower_leg,left_upper_leg;test_section_span;left_lower_leg,,,,,,,,0.27114189012083084,,,blocked_requires_raw_two_tap_extraction,no,yes,blocked_missing_centerline_tap_length,no_universal_K_yet,Run raw two-tap extraction or add endpoint mapping before recomputing K.,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
