join_key,source_id,case_id,feature,start_patch,end_patch,downstream_span,current_tap_length_proxy_m,centerline_tap_length_m,length_ratio_vs_proxy,start_station_label,end_station_label,length_basis,centerline_length_status,mesh_stations_source,quality_flags
viscosity_screening_salt_test_2_jin_coarse_mesh:corner_lower_left:lower_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_lower_left,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,lower_leg,0.01755775,0.120428071876,6.85896950784,left_lower_leg__s00,lower_leg__s00,mesh_centerline_endpoint_chord_between_fitting_end_stations,resolved_from_existing_mesh_centerline,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent
viscosity_screening_salt_test_2_jin_coarse_mesh:corner_lower_right:right_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_lower_right,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,right_leg,0.017557749985416676,0.15020855004,8.55511384798,lower_leg__s04,right_leg__s00,mesh_centerline_endpoint_chord_between_fitting_end_stations,resolved_from_existing_mesh_centerline,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
viscosity_screening_salt_test_2_jin_coarse_mesh:corner_upper_right:upper_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_upper_right,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,upper_leg,0.017557750014583262,0.156365282797,8.90576996863,right_leg__s04,upper_leg__s04,mesh_centerline_endpoint_chord_between_fitting_end_stations,resolved_from_existing_mesh_centerline,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
viscosity_screening_salt_test_2_jin_coarse_mesh:corner_upper_left:left_upper_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_upper_left,ncc_pipeleg_upper_09_straight_end,ncc_pipeleg_left_01_upper_start,left_upper_leg,0.017557749999999706,0.118161406024,6.72987176741,upper_leg__s00,left_upper_leg__s04,mesh_centerline_endpoint_chord_between_fitting_end_stations,resolved_from_existing_mesh_centerline,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream
viscosity_screening_salt_test_2_jin_coarse_mesh:test_section_complex:left_lower_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_complex,,,left_lower_leg,,,,,,missing_feature_endpoint_mapping,blocked_requires_raw_two_tap_extraction,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci
viscosity_screening_salt_test_3_jin_coarse_mesh:corner_lower_left:lower_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_lower_left,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,lower_leg,0.01755775,0.120428071876,6.85896950784,left_lower_leg__s00,lower_leg__s00,mesh_centerline_endpoint_chord_between_fitting_end_stations,resolved_from_existing_mesh_centerline,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent
viscosity_screening_salt_test_3_jin_coarse_mesh:corner_lower_right:right_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_lower_right,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,right_leg,0.017557749985416676,0.15020855004,8.55511384798,lower_leg__s04,right_leg__s00,mesh_centerline_endpoint_chord_between_fitting_end_stations,resolved_from_existing_mesh_centerline,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
viscosity_screening_salt_test_3_jin_coarse_mesh:corner_upper_right:upper_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_upper_right,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,upper_leg,0.017557750014583262,0.156365282797,8.90576996863,right_leg__s04,upper_leg__s04,mesh_centerline_endpoint_chord_between_fitting_end_stations,resolved_from_existing_mesh_centerline,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
viscosity_screening_salt_test_3_jin_coarse_mesh:corner_upper_left:left_upper_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_upper_left,ncc_pipeleg_upper_09_straight_end,ncc_pipeleg_left_01_upper_start,left_upper_leg,0.017557749999999706,0.118161406024,6.72987176741,upper_leg__s00,left_upper_leg__s04,mesh_centerline_endpoint_chord_between_fitting_end_stations,resolved_from_existing_mesh_centerline,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream
viscosity_screening_salt_test_3_jin_coarse_mesh:test_section_complex:left_lower_leg,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,test_section_complex,,,left_lower_leg,,,,,,missing_feature_endpoint_mapping,blocked_requires_raw_two_tap_extraction,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci
