source_key,author_title_or_source,chapter_use,tamu_overlap,allowed_claim,do_not_claim
NIST_TN2206,Lin/NIST fitting-loss methods and review,pressure-tap and coefficient-naming discipline,direct extraction method not coefficient source,justify section/cluster/component K naming requirements,universal TAMU component K admission
CsizmadiaHos2014,Csizmadia and Hos corrected element pressure-drop decomposition,attached-pipe correction method,directly relevant to CFD section extraction,justify straight-loss subtraction before element naming,component K when disturbances are retained
PatinoJaramillo2022Coeff,Patino-Jaramillo low-Re planar tee coefficients,split-dependent low-Re tee precedent,physics-relevant but not circular TAMU geometry,justify split/path dependence and reduced-static basis,universal circular-pipe TAMU tee K
PatinoJaramillo2022Flow,Patino-Jaramillo planar tee flow fields,recirculation-map precedent,topology precedent not threshold source,motivate recirculation flags and invalid single-stream policy,universal recirculation threshold
AlTameemiRicco2018,Al-Tameemi and Ricco sharp miter elbow K(Re),bend Re-dependence screening,geometry likely not matched,show Re-independent bend K is unsafe,direct TAMU smooth-bend/corner K
SalehiIdemSleiti2017,Salehi Idem Sleiti close-coupled elbow cluster loss,cluster-K method and sensitivity,methodologically relevant to close-coupled TAMU regions,justify cluster_K when recovery regions overlap,import HVAC numerical coefficients to HITEC
ShahLondon1971_Shah1978,Shah and London/Shah entry friction,reference friction and development discipline,direct reference after convention gates,use 64/Re only as reference/convention when gates pass,automatic active closure from long L/D alone
MuzychkaYovanovich2004_2009,Muzychka and Yovanovich combined-entry models,developing friction/heat-transfer candidate,possible straight-section model source after gates,use as candidate after Re/Pr/Gz/Ri/reset checks,use through recirculation or invalid source envelope
EvertsMeyer2020_EvertsMahdavi2023,Everts mixed-convection entrance studies,mixed-convection gate discipline,method relevance not HITEC constants,justify not using long L/D alone as developed proof,import water constants as HITEC closure
VDIHeatAtlas2010,VDI Heat Atlas resistance-network framework,heat-loss path separation,direct method for heat ledger separation,separate internal convection wall conduction external convection radiation jacket residual,hide heat residual in internal Nu or global UA
Podila2023,Podila molten-salt loop CFD with CHT,CFD diagnostic precedent,method precedent only,use verified CFD-derived section quantities with caution labels,transfer coefficients outside simulated envelope
Delafosse_Tajsoleiman_exchange_sources,CFD compartment/exchange-flow analogues,throughflow plus recirculation/exchange architecture,architecture relevant for persistent local exchange,use as MF-04 evidence requirement precedent,import universal exchange coefficient
HooperDarby,Hooper two-K and Darby three-K equations,missing fitting-loss screening,broad sensitivity only,scope missing-K magnitude when fitting class is known,treat as admitted recirculation-resolved TAMU closure
