gate_id,gate_group,refreshed_status,blocks_final_forward_v1,admitted_now,required_landing_artifact,current_evidence,source_artifact,do_not_claim
input_contract_and_split,input_hygiene,pass_locked,no,salt_2=train;salt_3=validation;salt_4=holdout,documented split revision only if current split changes,Strict input contract remains active; no validation/holdout fitting.,work_products/2026-07/2026-07-14/2026-07-14_final_forward_v1_scorecard_gate/summary.json,Do not revise split after inspecting validation or holdout residuals.
fluid_reset_development_api,implementation,api_implemented_evidence_blocked,yes,MinorLosses.reset_development_k_by_segment,reset_development_pressure_scorecard.csv,"Fluid can accept reset/development K separately, but no admitted reset/development pressure evidence exists.",work_products/2026-07/2026-07-14/2026-07-14_fluid_reset_development_api/summary.json,Do not call H1 launchable from API support alone.
hydraulic_h1_pressure_evidence,hydraulics,blocked_zero_fit_rows,yes,diagnostic hydraulic tap refresh only,fit-admissible component/cluster K or F6 pressure scorecard,component_fit_admissible_rows=0; h1_faithful_launchable=False,work_products/2026-07/2026-07-14/2026-07-14_forward_v1_pm5_hydraulic_delta/summary.json,Do not tune thermal terms while mdot/hydraulic guardrail is unresolved.
mdot_temperature_residual_audit,residual_attribution,diagnostic_evidence_landed,no,residual attribution evidence only,forward_v1_residual_attribution_scorecard.csv,model_result_rows=16; sensor_error_rows=204; heat_score_rows=23,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/summary.json,Do not treat CFD-informed heat-flux modes as setup-only predictive closure.
salt1_training_conflict_resolution,cfd_admission,resolved_context_training_evidence,no,Salt1 hi10q conflict removed; Salt1 remains outside current Salt2/Salt3/Salt4 score split,documented split revision before Salt1 affects final scorecard rows,salt1_hi10q_conflict_removed=True; salt1_patch_rows=207,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/summary.json,Do not collapse perturbed-Q Salt1 rows into nominal Salt1 or Salt2/Salt3/Salt4 split rows.
pm5_matched_pressure_upcomer_metrics,cfd_pp_hydraulic_thermal,pending_terminal,yes,none,pm5_corrected_q_matched_pressure_upcomer_metrics.csv,job 3295901 sacct_state=PENDING; parsed_files_present=0,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/pm5_upcomer_job_harvest_status.csv,"Do not infer F6, onset, or internal-Nu evidence from terminal harvest alone."
perturbation_split_policy,split_policy,blocked_pending_policy,yes_if_expanding_training_data,0 independent +/-5Q training expansion rows,perturbation_split_policy_update.csv,pm5_harvest_rows=4; independent_training_expansion_rows=0,work_products/2026-07/2026-07-14/2026-07-14_forward_v1_pm5_hydraulic_delta/summary.json,Do not add +/-5Q rows as independent training rows.
thermal_internal_nu,thermal,blocked_no_fit_rows,yes_for_thermal_closure_claims,baseline/literature/default internal Nu only,thermal admission gate with fit-admissible rows plus matched-plane extraction,Final gate still rejects fitted internal-Nu consumption; diagnostic upcomer Nu remains validation-only.,work_products/2026-07/2026-07-14/2026-07-14_final_forward_v1_scorecard_gate/summary.json,Do not fit or consume diagnostic internal-Nu rows as closure data.
boundary_hx_wall_radiation,boundary_hx,blocked_setup_only_outputs_missing,yes,"architecture, diagnostics, and score targets only",setup_only_boundary_hx_outputs.csv,Imposed cooler duty and realized wallHeatFlux remain diagnostic/runtime-disallowed for final predictive HX.,work_products/2026-07/2026-07-14/2026-07-14_final_forward_v1_scorecard_gate/forward_v1_gate_checklist.csv,Do not call imposed cooler duty or realized wallHeatFlux replay final predictive HX.
sensor_map_policy,sensors,partial_provisional_only,yes_for_complete_sensor_claim,diagnostic post-solve sensor residuals only,sensor exclusion or coordinate upgrade policy,AGENT-360 produced sensor residual audit; sensor temperatures are still targets only.,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/summary.json,Do not use sensor temperatures as runtime inputs or sensor-wise corrections.
