case_id,target_time_window_s,required_qoi_or_gate,basis,current_status,pass_now,needed_for,blocker,next_artifact
salt_2,7915,throughflow_endpoint_face_masks,geometry/source-bounded CV,missing,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),same face-closed inlet/outlet masks as Q_source/Q_wall CV,same-window endpoint sampler manifest plus source/property release gate
salt_2,7915,endpoint_face_area_vectors,geometry/source-bounded CV,missing,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),signed area vectors with explicit inward/outward convention,same-window endpoint sampler manifest plus source/property release gate
salt_2,7915,rho_U_dot_n_surface_integral,same-window surface fields,missing_same_basis,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),inlet/outlet mdot and continuity mismatch,same-window endpoint sampler manifest plus source/property release gate
salt_2,7915,T_bulk_mixing_cup_in_out,same-window surface fields,missing_same_basis,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),mass-flux or enthalpy-flux weighted endpoint temperatures,same-window endpoint sampler manifest plus source/property release gate
salt_2,7915,cp_J_kg_K,source/property release,no_release,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),same-label mesh/GCI and source/property release missing,same-window endpoint sampler manifest plus source/property release gate
salt_2,7915,storage_dE_dt_W,storage/loss lane,not_bounded,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),steady/open-CV residual still needs storage/drift evidence or explicit negligible bound,same-window endpoint sampler manifest plus source/property release gate
salt_2,7915,other_named_losses_W,storage/loss lane,not_bounded,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),all non-wall/source heat paths need named owners before residual value release,same-window endpoint sampler manifest plus source/property release gate
salt_2,7915,same_qoi_uq,same-window UQ,not_ready,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),same-window endpoint and heat-flow QOI uncertainty not executed,same-window endpoint sampler manifest plus source/property release gate
salt_3,7618,throughflow_endpoint_face_masks,geometry/source-bounded CV,missing,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),same face-closed inlet/outlet masks as Q_source/Q_wall CV,same-window endpoint sampler manifest plus source/property release gate
salt_3,7618,endpoint_face_area_vectors,geometry/source-bounded CV,missing,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),signed area vectors with explicit inward/outward convention,same-window endpoint sampler manifest plus source/property release gate
salt_3,7618,rho_U_dot_n_surface_integral,same-window surface fields,missing_same_basis,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),inlet/outlet mdot and continuity mismatch,same-window endpoint sampler manifest plus source/property release gate
salt_3,7618,T_bulk_mixing_cup_in_out,same-window surface fields,missing_same_basis,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),mass-flux or enthalpy-flux weighted endpoint temperatures,same-window endpoint sampler manifest plus source/property release gate
salt_3,7618,cp_J_kg_K,source/property release,no_release,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),same-label mesh/GCI and source/property release missing,same-window endpoint sampler manifest plus source/property release gate
salt_3,7618,storage_dE_dt_W,storage/loss lane,not_bounded,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),steady/open-CV residual still needs storage/drift evidence or explicit negligible bound,same-window endpoint sampler manifest plus source/property release gate
salt_3,7618,other_named_losses_W,storage/loss lane,not_bounded,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),all non-wall/source heat paths need named owners before residual value release,same-window endpoint sampler manifest plus source/property release gate
salt_3,7618,same_qoi_uq,same-window UQ,not_ready,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),same-window endpoint and heat-flow QOI uncertainty not executed,same-window endpoint sampler manifest plus source/property release gate
salt_4,10000,throughflow_endpoint_face_masks,geometry/source-bounded CV,missing,False,H_throughflow = mdot_throughflow * cp * (T_out_bulk - T_in_bulk),same face-closed inlet/outlet masks as Q_source/Q_wall CV,same-window endpoint sampler manifest plus source/property release gate
