priority,action_id,evidence_lane,dependency,current_status,next_step,minimum_acceptance,source_path
10,f6:ordinary_nonrecirculating_pressure_rows,ordinary_or_hybrid_f6,f6-friction-re-correction,missing,Non-recirculating or low-reverse-flow pressure rows for upcomer/test-section-relevant spans.,"RAF < 0.01 and RMF < 0.01, valid same-window pressure loss, Re/Ri/property extraction, and split-safe scoring.",work_products/2026-07/2026-07-15/2026-07-15_f6_internal_nu_admission_review_and_forward_unblock/f6_fit_candidate_table.csv
20,f6:hybrid_pressure_residual_movement,ordinary_or_hybrid_f6,f6-friction-re-correction,missing,Explicit recirculation-modeled pressure residual movement against F3_shah_apparent.,"Validation/holdout improvement without realized CFD mdot, validation temperatures, or hidden global multiplier.",work_products/2026-07/2026-07-16/2026-07-16_recirc_feature_admission_and_hybrid_contract/hybrid_1d_model_contract.csv
30,f6:hybrid_thermal_geometry_features,ordinary_or_hybrid_f6,f6-friction-re-correction,partial,"Same-window wall-core or wall-bulk Delta T, Gz, RAF/RMF/SVF, and pressure metrics.",Features extracted on the same retained window and section definitions as the pressure/onset evidence.,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
40,f6:mesh_time_uncertainty,ordinary_or_hybrid_f6,f6-friction-re-correction,missing,"Mesh/time uncertainty for reverse-flow, Ri, pressure residual, and any admitted hybrid metric.",Coarse/medium/fine or documented time-window bounds before coefficient promotion.,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
50,f6:cfd_anchor_follow_on,ordinary_or_hybrid_f6,f6-friction-re-correction,blocked_pending_3299610_3299620_harvest_status,Salt3 Q x insulation onset anchors from AGENT-478 after current Salt4 high-heat jobs are usable.,At least one low-reverse/non-recirculating anchor or bounded transition pair with required output contract.,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
60,pm10:terminal_harvest_and_pm5_style_postprocess,future_holdout_recirc_or_transition,jobs 3293924 and 3295438 terminal,4 blocked cases,"After terminal completion, run PM5-style scratch-copy matched-plane/wall-band postprocessing and terminal admission.","U, T, wallHeatFlux, Re/Pr/Ri/Gr/Ra/Gz, wall-core Delta T, RAF/RMF/SVF, pressure residuals, steady-window status, UQ.",work_products/2026-07/2026-07-17/2026-07-17_salt_pm10_terminal_admission_readiness/pm10_case_readiness.csv
70,high_heat:terminal_harvest_nonrecirc_anchor,ordinary_f6_anchor_or_onset_bracket,jobs 3299610 and 3299620 terminal,4 blocked cases,"When terminal, harvest the high-heat cases and test whether RAF/RMF falls below 0.01.",At least one low-reverse/non-recirculating anchor or a bounded transition pair with same-window pressure/thermal/UQ.,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv
80,study:onset_bracketing_q_x_insulation_matrix,transition_classifier,after high-heat harvest shows remaining gap,proposed_not_staged_here,Use the Salt3 Q x insulation matrix to bracket the recirculation onset boundary.,"Each case emits U, T, wallHeatFlux, dimensionless groups, wall-core Delta T, RAF/RMF/SVF, secondary velocity, steady status, and UQ.",work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
90,study:nonrecirculating_f6_anchor,ordinary_f6_single_stream,choose high-Re/high-insulation or high-Q case after terminal high-heat evidence,needed_if_no_existing_low_reverse_anchor,Design one CFD case expressly to achieve RAF < 0.01 and RMF < 0.01.,"Low reverse-flow gate plus same-window pressure loss, properties, time window, and mesh/time bounds.",work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
100,study:hybrid_closure_residual_test,recirculation_modeled_f6_onset,only after features and uncertainty exist,not_scoreable_today,Score named section-effective or onset/mixing penalty against F3 on validation/holdout.,Improves pressure residuals without hidden global multiplier or split leakage.,work_products/2026-07/2026-07-17/2026-07-17_f6_friction_re_correction_unblock/f6_admission_contract.md
