model_family,litrev_form_or_lesson,provenance_author_title,tried_status,evidence_class,current_ethan_evidence,current_status,next_action
property_modes,"Separate replication and updated property modes before closure fitting","Reis Seo and Hassan, Molten Salt Flow Visualization; Sohal et al., Engineering Database; Jin et al., Accurate Viscosity Measurement; Parida and Basu, Specific Heat Capacity; Santini et al., Thermal Conductivity",tried_diagnostic,sensitivity,"work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/README.md","Property sensitivity package exists; calibration remains blocked until the active property lane is declared for each scorecard.","Keep replication and updated-property modes separate in every fit/score table."
pressure_ledger,"Use dp_hyd + dp_kin + dp_dist_dev + dp_minor + dp_reset + dp_transient + dp_res rather than one global pressure coefficient","Shah, Hydrodynamic Entry Length; Muzychka and Yovanovich, Laminar Developing Flow Pressure Drop; Lin et al., Measurement Methods for Pipe Fittings",partially_tried_needs_gate,diagnostic,"work_products/2026-07/2026-07-14/2026-07-14_hydraulic_reset_k_admission_contract/README.md","Ledger architecture and reset/K contracts exist; component/cluster K currently has 0 fit-admissible rows.","Refresh with admitted pressure evidence and raw two-tap extraction before any hydraulic fit is admitted."
fully_developed_friction_reference,"Keep f_D=64/Re as reference only","Shah and London, Laminar Flow Forced Convection Heat Transfer and Flow Friction",tried_rejected_or_demoted,reference,"operational_notes/maps/literature-synthesis-and-gates.md","Fully developed friction as an active default is demoted; it remains a diagnostic/reference column.","Retain reference output; do not use as default active closure unless branch evidence proves fully developed flow."
developing_redeveloping_friction,"Use reset-distance-dependent developing/redeveloping pressure loss","Shah, Hydrodynamic Entry Length; Muzychka and Yovanovich, Laminar Developing Flow Pressure Drop",partially_tried_needs_gate,blocked,"work_products/2026-07/2026-07-14/2026-07-14_hydraulic_reset_k_admission_contract/README.md","Reset/development contract exists, but Fluid needs first-class reset/development support and admitted pressure rows.","Implement reset/development API and score against admitted pressure-loss evidence."
component_cluster_k,"Separate component K, cluster K, and branch-apparent losses","Lin et al., State-of-the-Art Review on Pipe Fitting Losses; Patino-Jaramillo et al., Planar Tee Pressure Loss; Salehi et al., Close-Coupled Elbows",partially_tried_needs_gate,blocked,"work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/README.md","Tap-length refresh improved preserved-corner lengths, but component/cluster K still has 0 fit-admissible rows.","Extract raw two-tap connector rows and admit component/cluster K before launching H1 faithful fit."
f6_phi_re,"Use phi(Re) / F6 as bounded hydraulic candidate after Re-variation evidence","LitRev reset/named-loss gate plus hydraulic F6 candidate packages",partially_tried_needs_gate,blocked,"work_products/2026-07/2026-07-14/2026-07-14_h1_faithful_gap_and_f6_decision/README.md","F6 selected as next bounded candidate, but blocked until admitted Re-variation rows exist.","Use terminal corrected-Q/admitted Re-variation rows with pressure-loss primary metric and mdot guardrail."
h1_localized_fixed_k,"Do not treat localized fixed K alone as faithful reset/redevelopment closure","Lin et al., Pipe Fitting Loss Methods; Muzychka and Yovanovich, Developing Pressure Drop",tried_rejected_or_demoted,diagnostic,"work_products/2026-07/2026-07-14/2026-07-14_localized_fixed_k_forward_score/README.md","Localized fixed-K-only scoring worsened mdot and does not unlock hydraulic or forward-v1 blockers.","Retire current H1 forms as proxy-only until reset/redevelopment API and admitted K evidence exist."
forced_developing_nu,"Use forced developing Nu only when buoyancy/recirculation gates allow single-stream internal convection","Muzychka and Yovanovich, Laminar Forced Convection in Combined Entry Region; Everts and Meyer, Laminar Entrance Lengths",partially_tried_needs_gate,blocked,"work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/README.md","Internal Nu has 0 fit-admissible rows; upcomer is validation-only/diagnostic and recirculating.","Require matched plane extraction and ordinary/transition anchors before reopening upcomer Nu fitting."
chen_2017_mixed_nu,"Treat Chen 2017 low-Re molten-salt mixed Nu as conditional on TAMU source-envelope overlap","Chen et al., Characteristics of Laminar Convective Heat Transfer of Molten Salt in Concentric Tube",partially_tried_needs_gate,blocked,"work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/README.md","Source-envelope gate exists; current internal-Nu gates do not admit a Chen-based active closure.","Only evaluate branches with inside overlap and valid single-stream/matched-plane evidence."
nonuniform_heating_inclination,"Use nonuniform heating and inclination papers as diagnostics unless geometry/range matches","Chen et al., Multi-Sided Heating Pipes; Yang et al., Inclined Tube Single Surface Heating; Shen et al., Non-Uniform Heat Flux",not_tried,diagnostic,"reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md","Recorded as diagnostic model forms; no current active TAMU closure or scorecard consumes them directly.","Add branch metadata for heating pattern, orientation, axial/transverse buoyancy, and wall heat-flux reconstruction."
