shortcut,demoted_to,reason,current_evidence,allowed_use,forbidden_use
"One global friction multiplier",rejected,"Hides reset, component, cluster, branch-apparent, buoyancy, and property effects in one coefficient","work_products/2026-07/2026-07-14/2026-07-14_hydraulic_reset_k_admission_contract/README.md","Use separated pressure ledger and named losses","Do not tune one multiplier to close mdot"
"Fully developed f_D=64/Re as default active closure",reference,"LitRev treats it as a smooth-pipe limiting value; branch reset/development evidence is required for active use","operational_notes/maps/literature-synthesis-and-gates.md","Report as diagnostic/reference column","Do not assume long L/D proves fully developed flow"
"Universal K for fittings",rejected,"K depends on geometry, pressure basis, velocity basis, flow split, development, and recovery; current component/cluster K has 0 fit-admissible rows","work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/README.md","Use component/cluster/branch-apparent labels with source status","Do not export K without admitted tap/plane basis"
"Localized fixed K as faithful H1 closure",demoted_to_diagnostic,"Localized fixed-K-only scoring worsens mdot and lacks reset/redevelopment physics","work_products/2026-07/2026-07-14/2026-07-14_localized_fixed_k_forward_score/README.md","Use as negative diagnostic evidence","Do not claim it unlocks H1 or forward-v1"
"One global internal Nu",rejected,"Thermal gate has 0 fit-admissible rows and upcomer is recirculating, invalidating single-stream Nu labels","work_products/2026-07/2026-07-14/2026-07-14_upcomer_recirculation_internal_nu_admissibility/README.md","Use section-effective or diagnostic labels where recirculation exists","Do not fit internal Nu to absorb thermal residuals"
"Fully developed Nu as default active closure",reference,"LitRev keeps fully developed Nu as comparison; current branches need development, mixed-convection, heat-loss, and validity gates","work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/README.md","Report as reference/validation comparator","Do not use as active closure without admission"
"Chen 2017 mixed Nu as automatically TAMU-active",demoted_to_conditional,"HITEC-specific source does not guarantee TAMU geometry/range/BC overlap; current upcomer evidence is recirculating","work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/README.md","Run only where source-envelope and validity gates admit","Do not promote outside/unknown overlap rows"
"One global heat-loss UA",rejected,"Heat loss must separate heater realization, cooler/HX, passive convection, radiation metadata, storage, wall effects, and residual","work_products/2026-07/2026-07-14/2026-07-14_boundary_internal_nu_residual_guardrails/README.md","Use path-separated resistance network or explicitly labeled envelope calibration","Do not hide heat residual in internal Nu or global UA"
"Radiation-off parity claim",rejected,"Current CFD rcExternalTemperature includes radiative exchange inside realized wallHeatFlux; separate 1D radiation must avoid double counting","operational_notes/maps/thermal-boundary-and-radiation.md","Use radiation sensitivity or setup-only radiation model","Do not add radiation on top of realized CFD wallHeatFlux replay"
"Universal f_D/K/Nu in recirculating sections",rejected,"Material reverse/secondary flow invalidates single-stream coefficient labels","work_products/2026-07/2026-07-14/2026-07-14_upcomer_recirculation_internal_nu_admissibility/README.md","Use section-effective/diagnostic labels","Do not fit or publish ordinary-pipe coefficient names"
"ROM prediction claim",future_method,"No current FOM snapshot envelope, stabilization, or withheld validation exists","reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md","Use as future archive-design requirement","Do not claim predictive ROM validation"
