priority,pathway,thing_to_try,expected_product,provenance_author_title,source_status,acceptance_gate
1,source_envelope,"Compute branchwise Re/Pr/Gr/Gr_star/Ri/Ra/Gz/Bo/L_over_D/reset-distance envelope","CSV table with TAMU ranges and source-overlap flags","Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube; Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes; Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",gate,"Every source-bounded closure has inside/outside/unknown overlap status"
1,properties,"Run replication and updated property-mode sensitivity","Mass-flow, pressure, heat, Re, Pr, Gz, residual comparison by property mode","Reis, Seo, and Hassan, Molten Salt Flow Visualization to Characterize Boundary Layer Behavior and Heat Transfer in a Natural Circulation Loop; Sohal et al., Engineering Database of Liquid Salt Thermophysical and Thermochemical Properties; Jin et al., Accurate Viscosity Measurement of Nitrates/Nitrites Salts for Concentrated Solar Power; Santini et al., Measurement of Thermal Conductivity of Molten Salts in the Range 100-500 C",direct_plus_sensitivity,"No fitted closure accepted until property sensitivity is reported"
1,hydraulic_reset,"Create hydraulic and thermal reset-distance map","Branch table with last reset, reset type, x_from_reset, L_plus, Gz","Shah, A Correlation for Laminar Hydrodynamic Entry Length Solutions for Circular and Noncircular Ducts; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts: A Scaling and Modeling Approach",source_bounded,"Every branch has reset provenance and no-reset/aggressive-reset sensitivity"
1,cfd_pressure,"Reduce CFD pressure sections into named f_D_Delta_p or K_Delta_p rows","Section/component/cluster/branch-apparent pressure-loss table","Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Csizmadia and Hos, CFD-Based Estimation and Experiments on the Loss Coefficient for Bingham and Power-Law Fluids Through Diffusers and Elbows",method,"Hydrostatic, kinetic, straight-pipe corrections and velocity basis are explicit"
1,heat_loss,"Separate jacket, passive, radiation, heater-efficiency, and residual heat paths","Resistance-network calibration/sensitivity ledger","VDI Heat Atlas; Reis, Seo, and Hassan, Consequences of Molten Salt Solidification in a Natural Circulation Flow Visualization Loop Due to Heater Failure",architecture,"No internal Nu adjustment absorbs passive or jacket heat residual"
2,minor_losses,"Build TAMU fitting inventory and K_source_status map","Fitting table with geometry, pressure basis, velocity basis, source status, unresolved priority","Lin et al., State-of-the-Art Review on Measurement of Pressure Losses of Fluid Flow Through Pipe Fittings; Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Pressure Loss Coefficients; Salehi et al., Experimental Determination and Computational Fluid Dynamics Predictions of Pressure Loss in Close-Coupled Elbows (RP-1682)",source_bounded,"No universal K is admitted without geometry/range/basis match"
2,internal_htc,"Bake off Nu_FD_ref, forced developing Nu, Chen 2017 mixed candidate, and CFD Nu_i","Branch HTC score table with temperature error and residual movement","Shah and London, Laminar Flow Forced Convection Heat Transfer and Flow Friction in Straight and Curved Ducts; Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts; Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube",reference_and_source_bounded,"HTC candidate cannot improve temperature by corrupting heat-loss residual"
2,mixed_convection,"Test Chen 2017 only where TAMU envelope overlaps","Conditional source-bounded mixed-convection branch table","Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube",conditional,"Re, Pr, Gr, Gz, L/D, geometry, and boundary-condition overlap are documented"
2,nonuniform_heating,"Record heating pattern and wall heat-flux reconstruction fields","Heating-pattern and wall-temperature metadata table","Chen et al., Flow and Mixed Convection Heat Transfer of Hitec Salt in Multi-Sided Heating Pipes; Shen et al., Convective Heat Transfer of Molten Salt in Receiver Tube with Axially and Circumferentially Non-Uniform Heat Flux",diagnostic_method,"Heater pattern and wall-temperature basis are explicit before Nu extraction"
2,inclination,"Add axial and transverse buoyancy components for inclined branches","Branch table with theta, g_parallel, g_perpendicular, aided/opposed/transverse flags","Yang et al., Performance Evaluation of Flow and Mixed Convective Heat Transfer of Hitec Salt in Inclined Tube with Single Surface Heating",diagnostic,"Inclined branches are not collapsed into generic vertical/horizontal labels"
2,cfd_validity,"Add reverse-flow and secondary-flow metrics to CFD extraction","Plane-level invalid-single-stream diagnostics","Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",method_diagnostic,"Section-effective closure is flagged when reverse/secondary flow is material"
2,radiation,"Bound radiation with emissivity and view-factor sensitivity","Radiation contribution table by section and surface temperature","VDI Heat Atlas",method_sensitivity,"Radiation is not set to zero without a quantitative bound"
3,experiments_pressure,"Design pressure-tap campaign around quartz/fitting clusters","Measurement plan with tap placement, uncertainty, and expected K/f extraction","Lin et al., State-of-the-Art Review on Measurement of Pressure Losses of Fluid Flow Through Pipe Fittings; Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings",method,"Plan separates static, hydrostatic, kinetic, straight-pipe, and fitting terms"
3,experiments_thermal,"Add wall/surface/coolant temperature instrumentation priorities","Thermal measurement plan for internal HTC and heat-loss separation","Shen et al., Convective Heat Transfer of Molten Salt in Receiver Tube with Axially and Circumferentially Non-Uniform Heat Flux; VDI Heat Atlas",method,"Measurements separate wall conduction, external loss, jacket removal, and internal h"
3,cfd_closure,"Use CFD to extract section closures and validity limits","CFD package with mesh evidence, CHT flags, pressure losses, Nu_i, heat-loss terms, reverse-flow diagnostics","Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics; Csizmadia and Hos, CFD-Based Estimation and Experiments on the Loss Coefficient for Bingham and Power-Law Fluids Through Diffusers and Elbows",method,"CFD coefficient names match plane isolation and validation scope"
3,transients,"Activate startup/freezing/oscillation pathway only if thesis scope includes time dependence","Conditional transient model requirements and storage terms","Welander, On the Oscillatory Instability of a Differentially Heated Fluid Loop; Creveling et al., Stability Characteristics of a Single-Phase Free Convection Loop; Vijayan and Austregesilo, Scaling Laws for Single-Phase Natural Circulation Loops; Reis, Seo, and Hassan, Consequences of Molten Salt Solidification in a Natural Circulation Flow Visualization Loop Due to Heater Failure",conditional,"Transient literature remains out of steady closure unless startup/relaxation/freeze is active"
3,rom,"Archive CFD/1D outputs so a future ROM can use closure-relevant state variables","ROM-ready state-vector and validation metadata schema","Manthey et al., Reduced Order Modeling of a Natural Circulation System by Proper Orthogonal Decomposition; Vergari et al., Reduced Order Modeling Approach for Parametrized Thermal-Hydraulics Problems: Inclusion of the Energy Equation in the POD-FV-ROM Method; Acierno et al., Development and Application of Reduced-Order Models for Thermal-Fluid Dynamics in Molten Salt Reactors",method_future,"No ROM prediction claim until FOM, snapshots, stabilization, and withheld validation exist"
3,residuals,"Localize pressure and heat residuals after explicit terms","Residual attribution table by branch/fitting/heat path","VDI Heat Atlas; Lin et al., Measurement Methods and Techniques for Pressure Losses in Pipe Fittings; Muzychka and Yovanovich, Pressure Drop in Laminar Developing Flow in Noncircular Ducts",architecture,"Residuals are not hidden inside global friction, Nu, K, or UA multipliers"
