case_slug,fluid,group,series,unit,n_window,t_start_s,t_end_s,window_s,verdict,mean,autocorr_corrected_sem,relative_sem_percent,rmse_about_trend,rmse_about_mean,signed_drift_over_window,absolute_drift_over_window,drift_percent_of_mean,drift_ratio,autocorrelation_time,effective_n,near_zero_mean,trend_resolved,presentation_note
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,mdot,lower (heater),kg/s,302,3457.0,3756.33125,299.33125,steady,-0.011244798815430458,9.7233574473663e-07,0.00864698214,1.2797331266298803e-06,3.0590773997145493e-06,9.58787665e-06,9.58787665e-06,0.0852649906,7.5088291265423885,30.511145636183294,9.898022303097559,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 0 (0.887519 0.70409 0),K,302,3457.0,3756.33125,299.33125,steady,431.90672935761586,0.012403810835834262,0.00287187256,0.011928374853791312,0.03664652794424871,-0.119569684,0.119569684,0.0276841448,10.046366070349164,34.59804378296192,8.728817209853993,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 1 (0.887519 -0.245426 0),K,302,3457.0,3756.33125,299.33125,steady,424.60568247351085,0.012955046493462748,0.00305107704,0.011841652953789061,0.03847820387313131,-0.126332705,0.126332705,0.0297529474,10.692337590837493,34.23381599870348,8.821686720856288,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 2 (-0 0 0),K,302,3457.0,3756.33125,299.33125,steady,421.81280503311217,0.012752957011937465,0.00302336886,0.017325065952643673,0.04312942743724966,-0.136291244,0.136291244,0.032310836,7.884283891351984,26.404706775901637,11.437354808106466,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 3 (-0 0.323501 0),K,302,3457.0,3756.33125,299.33125,steady,430.3152565165566,0.011699323603021854,0.00271877964,0.012169499816619148,0.035369355530749005,-0.114597226,0.114597226,0.0266309931,9.437795706835534,33.04259575886123,9.139717781373482,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 4 (-0 0.574779 0),K,302,3457.0,3756.33125,299.33125,steady,431.42829100993447,0.011901866876483532,0.00275871266,0.011830031381533575,0.03528017406198873,-0.114693115,0.114693115,0.0265845141,9.716741423765358,34.369695248755676,8.786810526373046,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 5 (-0 0.949515 0),K,302,3457.0,3756.33125,299.33125,steady,433.3581042516565,0.0111327447753397,0.0025689481,0.01163601495116559,0.03419233826114405,-0.110945166,0.110945166,0.0256012672,9.555937689661054,32.01502504278576,9.433070865832493,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,wall_temperature,wall T (spatial mean),K,302,3457.0,3756.33125,299.33125,steady,429.82471676535266,0.012356452177197469,0.00287476539,0.012091427465069804,0.036623943324275876,-0.119291954,0.119291954,0.0277536283,9.887870593042068,34.37671089547048,8.785017301925528,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,heat,total_Q,W,302,3457.0,3756.33125,299.33125,quasi-steady (bounded drift/oscillation),-9.132436622516586,0.01601440704502133,0.17535744,0.015567907148120634,0.04745889854225714,0.15470479,0.15470479,1.69401439,9.959618987725445,34.38692644548916,8.78240747915451,False,True,"total_Q is a near-zero net residual; emphasize absolute W and drift, not only relative percent."
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,mdot,lower (heater),kg/s,301,7615.0,7915.0,300,steady,-0.013199343369335544,1.8805500774743145e-07,0.00142473002,1.4504453844386714e-06,1.4783753264888627e-06,-9.87482004e-07,9.87482004e-07,0.00748129643,0.6808129520150257,4.8704253336591385,61.80158392323806,False,False,
