case_slug,fluid,group,series,unit,n_window,t_start_s,t_end_s,window_s,verdict,mean,autocorr_corrected_sem,relative_sem_percent,rmse_about_trend,rmse_about_mean,signed_drift_over_window,absolute_drift_over_window,drift_percent_of_mean,drift_ratio,autocorrelation_time,effective_n,near_zero_mean,trend_resolved,presentation_note
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,mdot,lower (heater),kg/s,301,7615.0,7915.0,300,steady,-0.013199343369335544,1.8805500774743145e-07,0.00142473002,1.4504453844386714e-06,1.4783753264888627e-06,-9.87482004e-07,9.87482004e-07,0.00748129643,0.6808129520150257,4.8704253336591385,61.80158392323806,False,False,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 0 (0.887519 0.70409 0),K,301,7615.0,7915.0,300,steady,450.8767079966778,0.0016764005239395707,0.000371809076,0.018544855944072514,0.018821722803867333,0.0111051629,0.0111051629,0.00246301544,0.5988271333141482,2.387829565588812,126.05589793247105,False,False,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 1 (0.887519 -0.245426 0),K,301,7615.0,7915.0,300,steady,445.510906714286,0.002924645436008002,0.000656469997,0.036364163105793476,0.03650277102617554,0.0109725369,0.0109725369,0.00246291096,0.30174039473863273,1.9322409088521644,155.7776769040705,False,False,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 2 (-0 0 0),K,301,7615.0,7915.0,300,steady,441.6814575813955,0.0003897506619350314,8.82424778e-05,0.0004795517860283563,0.003130604787642077,0.0106811989,0.0106811989,0.00241830367,22.273296083375897,4.665344604720572,64.51827796288335,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 3 (-0 0.323501 0),K,301,7615.0,7915.0,300,steady,449.6749669534878,0.00037971885445192607,8.44429604e-05,0.00026545573808218413,0.002947200954511383,0.0101341819,0.0101341819,0.00225366824,38.17654115674215,4.9965624663236525,60.241416379503086,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 4 (-0 0.574779 0),K,301,7615.0,7915.0,300,steady,450.4687004119599,0.0003826744892291524,8.49502949e-05,0.0001199999170391676,0.0029104718029906917,0.0100401852,0.0100401852,0.00222883081,83.66826756360216,5.20353794333104,57.84525899071568,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 5 (-0 0.949515 0),K,301,7615.0,7915.0,300,steady,452.33891857807316,0.0003519303955885446,7.78023692e-05,0.0002614679430370633,0.002912275460333937,0.0100143504,0.0100143504,0.00221390421,38.30049006775903,4.395569482168963,68.47804390785643,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,wall_temperature,wall T (spatial mean),K,301,7615.0,7915.0,300,steady,448.93545971337954,0.00036198762508353385,8.06324422e-05,0.0009618048437152493,0.0029422403316052147,0.00960031639,0.00960031639,0.00213846249,9.981563781264974,4.556146234217238,66.06460471778797,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,heat,total_Q,W,301,7615.0,7915.0,300,not steady (drifting),0.14139438870431895,0.0011735670864995423,0.829995516,0.009120557825472659,0.009547825617298642,-0.00975104618,0.00975104618,6.89634594,1.0691282669540916,4.547507045916402,66.19011184826944,False,False,"total_Q is a near-zero net residual; emphasize absolute W and drift, not only relative percent."
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,mdot,lower (heater),kg/s,301,7318.0,7618.0,300,steady,-0.014981961293455155,8.565540097978569e-07,0.0057172355,4.370304160865561e-06,4.5367366366126035e-06,-4.20371763e-06,4.20371763e-06,0.0280585269,0.9618821661655093,10.729731720934225,28.052891519434212,False,False,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 0 (0.887519 0.70409 0),K,301,7318.0,7618.0,300,steady,463.77197750498345,0.003981762099484342,0.000858560304,0.02564558558896563,0.026026117737430417,0.0153098115,0.0153098115,0.00330115062,0.5969764847128076,7.045281205326877,42.72363177958269,False,False,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 1 (0.887519 -0.245426 0),K,301,7318.0,7618.0,300,steady,459.6434260963457,0.003746040488478561,0.000814988375,0.046630019562285796,0.046912146237820584,0.0177367304,0.0177367304,0.00385880215,0.3803714984352926,1.9192909913673608,156.82874632030578,False,False,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 2 (-0 0 0),K,301,7318.0,7618.0,300,steady,456.2742559202657,0.002074715343416944,0.000454707956,0.005572721508478273,0.00885091418670836,0.0237411848,0.0237411848,0.00520327074,4.260249646478028,16.538924813715795,18.19949019602408,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 3 (-0 0.323501 0),K,301,7318.0,7618.0,300,steady,463.4707694418602,0.0010876276243209954,0.000234670166,0.0011053760617568559,0.00585333692551222,0.0198456719,0.0198456719,0.00428196839,17.953773881138446,10.392497004008504,28.96320296112675,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 4 (-0 0.574779 0),K,301,7318.0,7618.0,300,steady,463.9731995282392,0.0012199345793987623,0.000262932122,0.0008667908908288134,0.005701358362656418,0.0194557554,0.0194557554,0.00419329294,22.445731300104654,13.78106875645625,21.84155708961146,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 5 (-0 0.949515 0),K,301,7318.0,7618.0,300,steady,465.49954596677713,0.0008228973645619871,0.000176777265,0.003582212212652553,0.00668503663238453,0.0194873786,0.0194873786,0.00418633676,5.440040251860598,4.560896906003753,65.99579122338362,False,True,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,wall_temperature,wall T (spatial mean),K,301,7318.0,7618.0,300,steady,461.7136774469193,0.0010343322029161945,0.000224020265,0.0017255650019729711,0.005733679771940202,0.0188784043,0.0188784043,0.00408876869,10.940419095167986,9.795344631679976,30.72888308865721,False,True,
