case_slug,fluid,group,series,reason
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,mdot,lower (heater),live_or_active_case:salt1_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 0 (0.887519 0.70409 0),live_or_active_case:salt1_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 1 (0.887519 -0.245426 0),live_or_active_case:salt1_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 2 (-0 0 0),live_or_active_case:salt1_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 3 (-0 0.323501 0),live_or_active_case:salt1_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 4 (-0 0.574779 0),live_or_active_case:salt1_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 5 (-0 0.949515 0),live_or_active_case:salt1_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,wall_temperature,wall T (spatial mean),live_or_active_case:salt1_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,heat,total_Q,live_or_active_case:salt1_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,mdot,lower (heater),live_or_active_case:salt1_jin_lo10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 0 (0.887519 0.70409 0),live_or_active_case:salt1_jin_lo10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 1 (0.887519 -0.245426 0),live_or_active_case:salt1_jin_lo10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 2 (-0 0 0),live_or_active_case:salt1_jin_lo10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 3 (-0 0.323501 0),live_or_active_case:salt1_jin_lo10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 4 (-0 0.574779 0),live_or_active_case:salt1_jin_lo10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 5 (-0 0.949515 0),live_or_active_case:salt1_jin_lo10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,wall_temperature,wall T (spatial mean),live_or_active_case:salt1_jin_lo10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,heat,total_Q,live_or_active_case:salt1_jin_lo10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,mdot,lower (heater),live_or_active_case:salt4_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 0 (0.887519 0.70409 0),live_or_active_case:salt4_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 1 (0.887519 -0.245426 0),live_or_active_case:salt4_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 2 (-0 0 0),live_or_active_case:salt4_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 3 (-0 0.323501 0),live_or_active_case:salt4_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 4 (-0 0.574779 0),live_or_active_case:salt4_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 5 (-0 0.949515 0),live_or_active_case:salt4_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,wall_temperature,wall T (spatial mean),live_or_active_case:salt4_jin_hi10q_corrected
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,heat,total_Q,live_or_active_case:salt4_jin_hi10q_corrected
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,mdot,lower (heater),live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 0 (0.887519 0.70409 0),live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 1 (0.887519 -0.245426 0),live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 2 (-0 0 0),live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 3 (-0 0.323501 0),live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 4 (-0 0.574779 0),live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 5 (-0 0.949515 0),live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,wall_temperature,wall T (spatial mean),live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,heat,total_Q,live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate
