asset_family,source_id,case_label,domain_name,target_value
straight_section_friction,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,test_section_span,46.163210316366786
straight_section_friction,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,test_section_span,53.573765793842185
straight_section_friction,val_salt_test_2_coarse_mesh_laminar,Salt 2 val,lower_leg,2.7248192153153044
straight_section_friction,val_salt_test_2_coarse_mesh_laminar,Salt 2 val,test_section_span,42.36576072197514
straight_section_friction,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,lower_leg,2.182920658319686
straight_section_friction,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,test_section_span,35.23147986216345
straight_section_friction,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,lower_leg,2.5230015434682858
straight_section_friction,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,test_section_span,40.522781179988066
straight_section_friction,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,lower_leg,1.6636004069258814
straight_section_friction,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,test_section_span,26.714861457611974
straight_section_friction,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,lower_leg,1.846950237665355
straight_section_friction,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,test_section_span,30.66803329834763
salt_nu,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,left_lower_leg,4.230616665159522
salt_nu,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,left_lower_leg,3.9243500348142626
salt_nu,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,left_lower_leg,3.1465036613965633
salt_nu,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,left_lower_leg,5.090273089410228
salt_nu,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,left_lower_leg,4.1526168448897165
salt_nu,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,left_lower_leg,6.761028035533995
salt_nu,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,left_lower_leg,5.297303743555994
